iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
222,Acipenser brevirostrum,Shortnose Sturgeon,2004,VU,NA,NA,NA,NA,NA,NA,A2ce; B1ab(iii),VU,0.4,2020-1
224,Acipenser naccarii,Adriatic sturgeon,2011,CR,NA,NA,NA,NA,NA,NA,"A2bcde; B2ab(i,ii,iii,iv,v)",CR,0.8,2020-1
225,Acipenser nudiventris,Ship sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
229,Acipenser stellatus,Stellate sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
230,Acipenser sturio,Atlantic sturgeon,2010,CR,NA,NA,NA,NA,10,NA,"A2cde; B2ab(ii,iii,v)",CR,0.8,2020-1
232,Acipenser gueldenstaedtii,Russian sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2bcde,CR,0.8,2020-1
233,Acipenser medirostris,Green Sturgeon,2006,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
234,Acipenser transmontanus,White Sturgeon,2004,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
235,Acipenser persicus,Persian Sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
236,Acipenser sinensis,Chinese Sturgeon,2010,CR,NA,NA,NA,NA,8,NA,"A2bcd; B2ab(i,ii,iii,iv,v); C2a(ii)",CR,0.8,2020-1
241,Acipenser mikadoi,Sakhalin Sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
242,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,2006,VU,NA,NA,NA,NA,NA,NA,A2cde,VU,0.4,2020-1
243,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,2006,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
245,Acipenser oxyrinchus,Gulf Sturgeon,2006,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
678,Agathothoma finalis,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
907,Alosa immaculata,NA,2008,VU,NA,NA,NA,NA,NA,NA,B2ab(v),VU,0.4,2020-1
908,Alosa alabamae,Alabama Shad,2010,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
1086,Amblyrhynchus cristatus,Marine Iguana,2004,VU,NA,NA,NA,NA,NA,NA,B2ac(iv),VU,0.4,2020-1
1308,Anisotremus moricandi,Brownstriped Grunt,2015,LC,2,12,NA,NA,NA,NA,NA,LC,0,2020-1
1615,Choranthias salmopunctatus,NA,2015,LC,30,35,NA,NA,NA,NA,NA,LC,0,2020-1
1793,Aonyx capensis,African Clawless Otter,2015,NT,0,10,3000,0,NA,NA,NA,NT,0.2,2020-1
1866,Aplochiton marinus,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2055,Arctocephalus australis,South American Fur Seal,2016,LC,NA,600,5,NA,1973796,8591520,NA,LC,0,2020-1
2057,Arctocephalus galapagoensis,Galápagos Fur Seal,2015,EN,0,115,5,0,109400,119277,A2ab,EN,0.6,2020-1
2058,Arctocephalus gazella,Antarctic Fur Seal,2016,LC,NA,181,50,NA,17531216,39315299,NA,LC,0,2020-1
2059,Arctocephalus philippii,Juan Fernández Fur Seal,2015,LC,0,170,5,0,1128008,3945710,NA,LC,0,2020-1
2060,Arctocephalus pusillus,Afro-Australian Fur Seal,2015,LC,NA,204,50,NA,828836,19612766,NA,LC,0,2020-1
2061,Arctocephalus townsendi,Guadalupe Fur Seal,2015,LC,0,82,5,0,503372,1496773,NA,LC,0,2020-1
2062,Arctocephalus tropicalis,Subantarctic Fur Seal,2015,LC,NA,208,50,NA,13434900,39445704,NA,LC,0,2020-1
2064,Arctocephalus australis ssp. australis,South American Fur Seal,2016,LC,NA,600,5,NA,1656296,3617248,NA,LC,0,2020-1
2066,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,2015,LC,NA,204,50,NA,470040,3104650,NA,LC,0,2020-1
2067,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,2015,LC,NA,200,5,NA,358800,1143109,NA,LC,0,2020-1
2113,Arius madagascariensis,Madagascar Sea Catfish,2016,LC,NA,NA,NA,NA,NA,63500,NA,LC,0,2020-1
2179,Assiminea infirma,Badwater Snail,1996,VU,NA,NA,NA,NA,NA,NA,B1+2c,VU,0.4,2020-1
2181,Assiminea palauensis,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2182,Assiminea pecos,Pecos Assiminea,1996,EN,NA,NA,NA,NA,NA,NA,B1+2c,EN,0.6,2020-1
2218,Astraea heliotropium,NA,2000,LR/lc,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2352,Atherina boyeri,Black Sea Silverside,2008,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2467,Balaena mysticetus,Bowhead Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2468,Balaena mysticetus Bering-Chukchi-Beaufort Sea subpopulation,Bowhead Whale Bering-Chukchi-Beaufort Seas subpopulation,1996,LR/cd,NA,NA,NA,NA,NA,NA,NA,VU,0.4,2020-1
2469,Balaena mysticetus Okhotsk Sea subpopulation,Okhotsk Sea Bowhead Whale,2018,EN,NA,NA,NA,NA,NA,NA,D,EN,0.6,2020-1
2472,Balaena mysticetus East Greenland-Svalbard-Barents Sea subpopulation,Bowhead Whale,2018,EN,NA,NA,NA,NA,NA,NA,D,EN,0.6,2020-1
2474,Balaenoptera acutorostrata,Common Minke Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2475,Balaenoptera borealis,Sei Whale,2018,EN,NA,NA,NA,NA,NA,NA,A1abd,EN,0.6,2020-1
2476,Balaenoptera edeni,Bryde's Whale,2018,LC,300,0,NA,NA,NA,NA,NA,LC,0,2020-1
