stressor,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2,impact_2plus_km2,impact_3plus_km2,range_km2,iucn_sid
art_fish,1459515.5363306508,336790.11805257143,27947.517692636015,215292.99172659998,3916.5297078824137,NA,NA,12201631.75976385,10030
dem_dest,2866289.3457193156,154800.29101312073,17193.43442300766,168125.22453490712,23761.15351305633,NA,NA,12201631.75976385,10030
dem_nondest_hb,2214149.16258075,154128.76117243175,2597.04779821874,62262.780007314315,20271.643409561686,NA,NA,12201631.75976385,10030
cum_all,3890704.192146147,571675.3640681069,33940.63771620771,357542.92264574487,22253.049413933535,NA,NA,12201631.75976385,10030
cum_climate,0,NA,NA,NA,NA,NA,NA,12201631.75976385,10030
art_fish,1459515.5363306508,336790.11805257143,27947.517692636015,215292.99172659998,3916.5297078824137,NA,NA,12201631.75976385,10030
dem_dest,2866289.3457193156,154800.29101312073,17193.43442300766,168125.22453490712,23761.15351305633,NA,NA,12201631.75976385,10030
dem_nondest_hb,2214149.16258075,154128.76117243175,2597.04779821874,62262.780007314315,20271.643409561686,NA,NA,12201631.75976385,10030
cum_fishing,3890704.192146147,571675.3640681069,33940.63771620771,357542.92264574487,22253.049413933535,NA,NA,12201631.75976385,10030
cum_land-based,0,NA,NA,NA,NA,NA,NA,12201631.75976385,10030
cum_ocean,0,NA,NA,NA,NA,NA,NA,12201631.75976385,10030
cum_all,0,NA,NA,NA,NA,NA,NA,230.5382074187193,10056
cum_climate,0,NA,NA,NA,NA,NA,NA,230.5382074187193,10056
cum_fishing,0,NA,NA,NA,NA,NA,NA,230.5382074187193,10056
cum_land-based,0,NA,NA,NA,NA,NA,NA,230.5382074187193,10056
cum_ocean,0,NA,NA,NA,NA,NA,NA,230.5382074187193,10056
cum_all,0,NA,NA,NA,NA,NA,NA,2441506.9871196197,10066
cum_climate,0,NA,NA,NA,NA,NA,NA,2441506.9871196197,10066
cum_fishing,0,NA,NA,NA,NA,NA,NA,2441506.9871196197,10066
cum_land-based,0,NA,NA,NA,NA,NA,NA,2441506.9871196197,10066
cum_ocean,0,NA,NA,NA,NA,NA,NA,2441506.9871196197,10066
art_fish,4142077.2863654587,1563254.2351141633,64564.669073444435,424536.10212339147,85704.32372361633,NA,NA,6718877.888769192,10070
cum_all,4142077.2863654587,1563254.2351141633,64564.669073444435,424536.10212339147,85704.32372361633,0,0,6718877.888769192,10070
cum_climate,0,NA,NA,NA,NA,NA,NA,6718877.888769192,10070
art_fish,4142077.2863654587,1563254.2351141633,64564.669073444435,424536.10212339147,85704.32372361633,NA,NA,6718877.888769192,10070
cum_fishing,4142077.2863654587,1563254.2351141633,64564.669073444435,424536.10212339147,85704.32372361633,0,0,6718877.888769192,10070
cum_land-based,0,NA,NA,NA,NA,NA,NA,6718877.888769192,10070
cum_ocean,0,NA,NA,NA,NA,NA,NA,6718877.888769192,10070
cum_all,0,NA,NA,NA,NA,NA,NA,526521.3132027553,10072
cum_climate,0,NA,NA,NA,NA,NA,NA,526521.3132027553,10072
cum_fishing,0,NA,NA,NA,NA,NA,NA,526521.3132027553,10072
cum_land-based,0,NA,NA,NA,NA,NA,NA,526521.3132027553,10072
cum_ocean,0,NA,NA,NA,NA,NA,NA,526521.3132027553,10072
cum_all,0,NA,NA,NA,NA,NA,NA,1519048.5346299596,10082
cum_climate,0,NA,NA,NA,NA,NA,NA,1519048.5346299596,10082
cum_fishing,0,NA,NA,NA,NA,NA,NA,1519048.5346299596,10082
cum_land-based,0,NA,NA,NA,NA,NA,NA,1519048.5346299596,10082
cum_ocean,0,NA,NA,NA,NA,NA,NA,1519048.5346299596,10082
cum_all,0,NA,NA,NA,NA,NA,NA,7802010.11696119,10087
cum_climate,0,NA,NA,NA,NA,NA,NA,7802010.11696119,10087
cum_fishing,0,NA,NA,NA,NA,NA,NA,7802010.11696119,10087
cum_land-based,0,NA,NA,NA,NA,NA,NA,7802010.11696119,10087
cum_ocean,0,NA,NA,NA,NA,NA,NA,7802010.11696119,10087
direct_human,9515.81368313999,231.41145156045593,0,0,0,NA,NA,61632.292971736526,10088
cum_all,9515.81368313999,231.41145156045593,0,0,0,0,0,61632.292971736526,10088
cum_climate,0,NA,NA,NA,NA,NA,NA,61632.292971736526,10088
cum_fishing,0,NA,NA,NA,NA,NA,NA,61632.292971736526,10088
direct_human,9515.81368313999,231.41145156045593,0,0,0,NA,NA,61632.292971736526,10088
cum_land-based,9515.81368313999,231.41145156045593,0,0,0,0,0,61632.292971736526,10088
cum_ocean,0,NA,NA,NA,NA,NA,NA,61632.292971736526,10088
art_fish,4410.789647303366,528.3167168059881,0,0,0,NA,NA,8281.910322871083,104019954
dem_dest,4815.104756002368,1267.9601203343716,1162.296776973174,103.0435912546564,0,NA,NA,8281.910322871083,104019954
dem_nondest_hb,5026.431442724763,0,0,0,0,NA,NA,8281.910322871083,104019954
dem_nondest_lb,1479.286807056767,0,0,0,0,NA,NA,8281.910322871083,104019954
cum_all,5026.431442724763,1796.2768371403597,1162.296776973174,103.0435912546564,0,4815.104756002368,4410.789647303366,8281.910322871083,104019954
cum_climate,0,NA,NA,NA,NA,NA,NA,8281.910322871083,104019954
art_fish,4410.789647303366,528.3167168059881,0,0,0,NA,NA,8281.910322871083,104019954
dem_dest,4815.104756002368,1267.9601203343716,1162.296776973174,103.0435912546564,0,NA,NA,8281.910322871083,104019954
dem_nondest_hb,5026.431442724763,0,0,0,0,NA,NA,8281.910322871083,104019954
dem_nondest_lb,1479.286807056767,0,0,0,0,NA,NA,8281.910322871083,104019954
cum_fishing,5026.431442724763,1796.2768371403597,1162.296776973174,103.0435912546564,0,4815.104756002368,4410.789647303366,8281.910322871083,104019954
cum_land-based,0,NA,NA,NA,NA,NA,NA,8281.910322871083,104019954
cum_ocean,0,NA,NA,NA,NA,NA,NA,8281.910322871083,104019954
direct_human,30533.213256393676,9888.691754948512,210.45343392087284,101.2970919496376,0,NA,NA,478447.1117932206,104023514
cum_all,30533.213256393676,9888.691754948512,210.45343392087284,101.2970919496376,0,0,0,478447.1117932206,104023514
cum_climate,0,NA,NA,NA,NA,NA,NA,478447.1117932206,104023514
cum_fishing,0,NA,NA,NA,NA,NA,NA,478447.1117932206,104023514
direct_human,30533.213256393676,9888.691754948512,210.45343392087284,101.2970919496376,0,NA,NA,478447.1117932206,104023514
cum_land-based,30533.213256393676,9888.691754948512,210.45343392087284,101.2970919496376,0,0,0,478447.1117932206,104023514
cum_ocean,0,NA,NA,NA,NA,NA,NA,478447.1117932206,104023514
art_fish,310507.01641058724,74794.80186193329,28406.847620764485,83775.31279876984,4922.514598668584,NA,NA,491502.2108376022,104050689
dem_dest,257786.24756811565,13887.307031525665,641.8393164868095,5450.831315474572,0,NA,NA,491502.2108376022,104050689
dem_nondest_hb,153080.86030304866,3616.131449537617,0,6852.3988058385985,1050.5206765973714,NA,NA,491502.2108376022,104050689
dem_nondest_lb,131032.15158727721,7120.48679869943,103.0435912546564,4136.588910811234,2491.3844556447957,NA,NA,491502.2108376022,104050689
cum_all,411198.069886241,86568.842026235,28837.360250528898,89194.70709526393,8464.419730910751,NA,NA,491502.2108376022,104050689
