stressor,impact_km2,coastal_km2,iucn_sid
art_fish,1156261.741,4888780.049,10030
dem_dest,2445749.239,4888780.049,10030
dem_nondest_hb,1806394.321,4888780.049,10030
cum_all,3115029.589,4888780.049,10030
cum_climate,0,4888780.049,10030
art_fish,1156261.741,4888780.049,10030
dem_dest,2445749.239,4888780.049,10030
dem_nondest_hb,1806394.321,4888780.049,10030
cum_fishing,3115029.589,4888780.049,10030
cum_land-based,0,4888780.049,10030
cum_ocean,0,4888780.049,10030
cum_all,0,230.538,10056
cum_climate,0,230.538,10056
cum_fishing,0,230.538,10056
cum_land-based,0,230.538,10056
cum_ocean,0,230.538,10056
cum_all,0,2441506.987,10066
cum_climate,0,2441506.987,10066
cum_fishing,0,2441506.987,10066
cum_land-based,0,2441506.987,10066
cum_ocean,0,2441506.987,10066
art_fish,4142077.286,6718877.889,10070
cum_all,4142077.286,6718877.889,10070
cum_climate,0,6718877.889,10070
art_fish,4142077.286,6718877.889,10070
cum_fishing,4142077.286,6718877.889,10070
cum_land-based,0,6718877.889,10070
cum_ocean,0,6718877.889,10070
cum_all,0,526521.313,10072
cum_climate,0,526521.313,10072
cum_fishing,0,526521.313,10072
cum_land-based,0,526521.313,10072
cum_ocean,0,526521.313,10072
cum_all,0,1519048.535,10082
cum_climate,0,1519048.535,10082
cum_fishing,0,1519048.535,10082
cum_land-based,0,1519048.535,10082
cum_ocean,0,1519048.535,10082
cum_all,0,7802010.117,10087
cum_climate,0,7802010.117,10087
cum_fishing,0,7802010.117,10087
cum_land-based,0,7802010.117,10087
cum_ocean,0,7802010.117,10087
direct_human,9515.814,61632.293,10088
cum_all,9515.814,61632.293,10088
cum_climate,0,61632.293,10088
cum_fishing,0,61632.293,10088
direct_human,9515.814,61632.293,10088
cum_land-based,9515.814,61632.293,10088
cum_ocean,0,61632.293,10088
art_fish,4410.79,8281.91,104019954
dem_dest,4815.105,8281.91,104019954
dem_nondest_hb,5026.431,8281.91,104019954
dem_nondest_lb,1479.287,8281.91,104019954
cum_all,5026.431,8281.91,104019954
cum_climate,0,8281.91,104019954
art_fish,4410.79,8281.91,104019954
dem_dest,4815.105,8281.91,104019954
dem_nondest_hb,5026.431,8281.91,104019954
dem_nondest_lb,1479.287,8281.91,104019954
cum_fishing,5026.431,8281.91,104019954
cum_land-based,0,8281.91,104019954
cum_ocean,0,8281.91,104019954
direct_human,30533.213,478447.112,104023514
cum_all,30533.213,478447.112,104023514
cum_climate,0,478447.112,104023514
cum_fishing,0,478447.112,104023514
direct_human,30533.213,478447.112,104023514
cum_land-based,30533.213,478447.112,104023514
cum_ocean,0,478447.112,104023514
art_fish,310507.016,491502.211,104050689
dem_dest,257786.248,491502.211,104050689
dem_nondest_hb,153080.86,491502.211,104050689
dem_nondest_lb,131032.152,491502.211,104050689
cum_all,411198.07,491502.211,104050689
cum_climate,0,491502.211,104050689
art_fish,310507.016,491502.211,104050689
dem_dest,257786.248,491502.211,104050689
dem_nondest_hb,153080.86,491502.211,104050689
dem_nondest_lb,131032.152,491502.211,104050689
cum_fishing,411198.07,491502.211,104050689
cum_land-based,0,491502.211,104050689
cum_ocean,0,491502.211,104050689
art_fish,2275735.174,4344180.698,104061138
dem_dest,2675271.852,4344180.698,104061138
dem_nondest_hb,1463127.302,4344180.698,104061138
dem_nondest_lb,459456.527,4344180.698,104061138
cum_all,2854758.07,4344180.698,104061138
cum_climate,0,4344180.698,104061138
art_fish,2275735.174,4344180.698,104061138
dem_dest,2675271.852,4344180.698,104061138
dem_nondest_hb,1463127.302,4344180.698,104061138
dem_nondest_lb,459456.527,4344180.698,104061138
cum_fishing,2854758.07,4344180.698,104061138
cum_land-based,0,4344180.698,104061138
cum_ocean,0,4344180.698,104061138
cum_all,0,4819.471,104062579
cum_climate,0,4819.471,104062579
cum_fishing,0,4819.471,104062579
cum_land-based,0,4819.471,104062579
cum_ocean,0,4819.471,104062579
dem_dest,545001.046,774225.881,104176764
dem_nondest_hb,326408.913,774225.881,104176764
direct_human,51547.12,774225.881,104176764
organic,33745.03,774225.881,104176764
cum_all,570199.57,774225.881,104176764
cum_climate,0,774225.881,104176764
dem_dest,545001.046,774225.881,104176764
dem_nondest_hb,326408.913,774225.881,104176764
cum_fishing,557628.252,774225.881,104176764
direct_human,51547.12,774225.881,104176764
organic,33745.03,774225.881,104176764
cum_land-based,67560.792,774225.881,104176764
cum_ocean,0,774225.881,104176764
cum_all,0,5108609.579,107259870
cum_climate,0,5108609.579,107259870
cum_fishing,0,5108609.579,107259870
cum_land-based,0,5108609.579,107259870
cum_ocean,0,5108609.579,107259870
