meow,pct_impact_mean,a_km2,impact
1,5.9026470545441185,437003.50330887956,fishing
2,25.198794118832456,381146.8910440207,fishing
3,16.107038975253037,619647.3951630028,fishing
4,12.07057615921695,585307.6819241835,fishing
5,24.144377835198227,368163.3985622695,fishing
6,5.803752295290866,337672.10135011,fishing
7,2.713195929179891,314224.4449077915,fishing
8,0.13613680364895753,1243280.3070409298,fishing
9,0.27823886513515267,245499.6091407016,fishing
10,0.029237985606512855,588498.5401936525,fishing
11,0.054618930350716306,469027.3556703618,fishing
12,3.861175819146631,363002.4864674868,fishing
13,5.91643796757743,625989.8156198129,fishing
14,47.63307097469685,991917.6922279028,fishing
15,0,912735.6785137028,fishing
16,0,554690.6367060692,fishing
17,0.5266998614720912,1006751.6030658919,fishing
18,26.306446933558863,1808482.2632537503,fishing
19,46.53594386342144,86379.34652876822,fishing
20,39.20579168524653,375562.4523208267,fishing
21,47.944435583668664,205458.4415290292,fishing
22,68.07648421450949,250887.56641851045,fishing
23,54.69008820299944,293347.638679646,fishing
24,73.83008454740417,373629.9483770984,fishing
25,74.18905552768422,700661.4890127811,fishing
26,63.99880301903579,759877.4971220953,fishing
27,37.62304833053193,664622.4297342574,fishing
28,41.06113036334745,550990.6730757578,fishing
29,17.952909198727802,1638499.634232241,fishing
30,65.34559229624931,131434.72017669465,fishing
31,42.00610468819053,315020.8496070272,fishing
32,33.591593147691114,475275.4649369879,fishing
33,41.232527273285356,392320.13464174065,fishing
34,35.4087976530744,368722.2789928037,fishing
35,46.09602086152937,756074.4900246201,fishing
36,61.77098655383927,83455.7029989649,fishing
37,23.485204391562135,415035.1337133741,fishing
38,33.13330197053497,336529.88936936663,fishing
39,27.00626518361535,260798.0894264821,fishing
40,48.25278838209208,186315.0381580247,fishing
41,46.90426748497597,313904.83501272893,fishing
42,21.08022260369299,335514.2986818218,fishing
43,40.279565005309735,602698.4710451809,fishing
44,25.77555887412741,458185.0741050381,fishing
45,58.25573278653341,1051098.77028853,fishing
46,16.75053118503564,833331.8590369456,fishing
47,34.83620861510076,914561.6457683725,fishing
48,44.89380509035726,239318.74019729983,fishing
49,50.508207777204376,989108.4444543401,fishing
50,59.461216957319486,438180.64540827705,fishing
51,54.748245307018095,582576.1534791223,fishing
52,64.03623569800568,699524.5165283782,fishing
53,6.5660053276085515,1204842.4278165721,fishing
54,27.92827717895458,779564.9358326622,fishing
55,31.261146439040505,391315.0229728563,fishing
56,63.13058282412327,14591.147141733269,fishing
57,24.298576002469126,344603.96595393796,fishing
58,16.96930691570829,332440.45597944874,fishing
59,21.028079043070996,526969.2908619803,fishing
60,56.56559644532337,263791.59308810177,fishing
61,21.362668354406747,180821.41750349477,fishing
62,1.174822273869787,379679.8297220616,fishing
63,2.7538595332990585,944174.4527247056,fishing
64,9.456435522084009,850844.903300597,fishing
65,11.125902862460553,1078948.4838970767,fishing
66,25.89995889669855,583249.4298869185,fishing
67,7.833378573755032,799503.8706593511,fishing
68,24.296750985080408,246979.769276333,fishing
69,36.57558144726647,745649.6223095356,fishing
70,40.087315728696545,170113.6165654306,fishing
71,23.7081982191172,449381.8330580544,fishing
72,43.21612563674163,554182.4046587453,fishing
73,0.17450880552308418,406592.5452538885,fishing
74,1.8321969038508537,312096.3327580963,fishing
75,25.664254890391096,661075.2851048874,fishing
76,29.554872300325275,633614.1680736048,fishing
77,1.53095354817582,437432.269502024,fishing
78,2.091440192251879,863547.2090102574,fishing
79,10.409515865476083,768070.3358888923,fishing
80,43.388319829794334,332359.24366119376,fishing
81,32.6048786418375,640231.662407033,fishing
82,45.783252659591376,360724.1752317213,fishing
83,48.776429622513746,394299.79417180276,fishing
84,8.623670580520665,414771.4119673981,fishing
85,31.552274349956093,232195.63367227642,fishing
86,38.278307523354044,387274.4916703486,fishing
87,59.02132043568486,229343.59663120002,fishing
88,53.8186711450283,228033.72049280765,fishing
89,20.138833649176096,551402.8474694128,fishing
90,76.13767921373054,239659.30804761217,fishing
91,60.58276922534061,276494.7720439704,fishing
92,47.66845980923526,540087.2639581981,fishing
93,6.911471606010535,442847.29753372323,fishing
94,11.932425073688426,309179.67518270615,fishing
95,35.46014960349269,471943.1400006261,fishing
96,6.855929133157486,1182895.016196785,fishing
97,9.635754715710265,827607.7002533287,fishing
98,2.2866837057136302,1009187.9726887239,fishing
99,10.619946586596042,430308.2897307923,fishing
100,22.165371600293824,1159827.2237952524,fishing
101,41.16599133971363,264919.83306377707,fishing
102,17.59658326932492,336756.93452847993,fishing
103,60.05470654641242,630420.6899636602,fishing
104,42.713842793763696,658738.4660392737,fishing
105,11.376679551811483,1303584.3854967542,fishing
106,0.08273338753986058,632067.640984556,fishing
107,32.960752107136486,433802.1660193724,fishing
108,63.85637379589808,478104.79747529025,fishing
109,40.57478755197316,777921.4778746357,fishing
110,67.08934613795603,258384.42428674278,fishing
111,67.62050491074784,727616.9939375902,fishing
112,67.88821875697599,305387.14706167486,fishing
113,64.0332493689133,278257.86532671005,fishing
114,48.155462384785345,1268100.7136890253,fishing
115,60.628168007594155,271402.8467712251,fishing
116,84.89178835953294,185194.6573842501,fishing
117,69.17654018258266,1351277.8497120922,fishing
118,91.77944574556756,163302.26057424862,fishing
119,59.16696169089497,603518.4535269557,fishing
120,2.538279013556997,833064.6443210944,fishing
121,33.49231024318306,1011278.5350560276,fishing
122,29.213263627747182,1125070.0965791508,fishing
123,5.6908203057528,987827.3855647149,fishing
124,6.351654961825967,2240625.252718024,fishing
125,4.741905375117006,994360.1745867889,fishing
126,46.69665280520826,561347.4272912784,fishing
127,24.16560923835342,916929.9019559001,fishing
128,73.3298363342091,774832.7899368298,fishing
129,66.57911814636117,267337.86446437496,fishing
130,71.58743019284331,609483.6295501335,fishing
131,67.57366831517353,906384.525614196,fishing
132,59.4212255878369,631057.2898156901,fishing
133,87.98770466071937,69325.63220997447,fishing
134,31.408035815518087,711858.3104490334,fishing
135,20.886960334095786,1654693.1965407648,fishing
136,25.633567763314087,660078.9059531935,fishing
137,39.23250904411406,226835.62044081735,fishing
138,10.135670956841532,72787.19832941075,fishing
139,51.44223961444745,372284.2689380048,fishing
140,1.6575264275464408,591339.2249854084,fishing
141,2.7387617691162913,357619.7686888723,fishing
142,2.2187854137478142,184572.02956031534,fishing
143,0.1078998469482698,209813.34316403122,fishing
144,2.321540696681372,592562.6492981836,fishing
145,2.578262731108137,148432.546399443,fishing
146,0.5524212487726635,767990.8700853921,fishing
147,9.902365431131804,772907.2719177959,fishing
148,1.8603047331819198,1497647.7778206936,fishing
149,0.5408889609886378,1167964.1744443544,fishing
150,0.15526622300488774,733801.3558584446,fishing
151,0.04350196029577939,745394.6331085009,fishing
152,4.933386098142744,2661470.123846186,fishing
153,4.991432799620257,2194960.350186288,fishing
154,5.66283517218069,2255878.3240125254,fishing
155,2.36244909546317,1498691.312437189,fishing
156,2.293904275834927,2499131.9321985925,fishing
157,4.420833585027022,762967.0584032369,fishing
158,0.4466640715916422,2410767.6866919356,fishing
159,1.1066071449777912,1180456.0267651642,fishing
160,0.93068444444541365,1697786.3756136943,fishing
161,0,480019.8363764698,fishing
162,3.1689372442725885,741373.313301399,fishing
163,0.6392237310569033,665277.3678252506,fishing
164,3.487088506731568,641033.3066576186,fishing
165,3.8102173496530387,435952.9826949672,fishing
166,13.043070613454944,657427.7166649073,fishing
167,18.643773207138107,391566.51918069343,fishing
168,12.744243904559289,285779.1742522276,fishing
169,3.149125734021224,337066.06532222044,fishing
170,13.058534736502573,515295.67456201883,fishing
171,33.7458011323491,254414.62629868902,fishing
172,15.682617627306477,214484.361509202,fishing
173,25.45832892389182,396393.84949382715,fishing
174,25.763064737965593,231849.82634953634,fishing
175,31.744239585003058,315164.9359442506,fishing
176,20.93033909517853,656299.4766310736,fishing
177,16.42657709096952,297618.708236414,fishing
178,22.199043275840395,295999.7012567507,fishing
179,2.0500632203169897,889916.7625583553,fishing
180,32.00954268811235,374922.35952440876,fishing
181,45.10703748992284,261392.7731864523,fishing
182,61.30142232318766,31290.321629748276,fishing
183,45.86425566577832,366022.1876598157,fishing
184,60.928177324590116,208326.19709484885,fishing
185,57.430163657000286,437307.3946444613,fishing
186,12.038672624996542,415662.127770712,fishing
187,16.406546784285997,655007.0655288335,fishing
188,31.48541830561028,214039.0036292437,fishing
189,0.36640070504771816,964177.1349181269,fishing
190,10.22932852130139,417200.7956468385,fishing
191,7.80155482645465,418342.13441955537,fishing
192,8.66956906816014,366358.3892092179,fishing
193,2.618831613451701,325647.43824395916,fishing
194,0,396052.40844513214,fishing
195,0.48746922471193893,550838.7274356685,fishing
196,13.187413152019198,355401.7117683848,fishing
197,4.451265735171274,236299.0390370515,fishing
198,2.205349982636541,368307.4849206504,fishing
199,17.604209484507287,706968.9793570383,fishing
200,13.47222503556342,261802.3278232772,fishing
201,11.350420259288565,107243.05400740252,fishing
202,1.7439614076243777,246025.30614997927,fishing
203,4.873956177734449,190126.7777424796,fishing
204,2.0614541930257317,251738.1126809299,fishing
205,1.4159799972532356,441679.7612338397,fishing
206,0.8172363436883221,322244.3799664752,fishing
207,2.5051109782279886,185669.70579155957,fishing
208,1.6417036944798247,304048.4536507994,fishing
209,0.5405845903096538,541476.6059485067,fishing
210,1.1075988605724625,188414.3329821956,fishing
211,2.1530088515302395,182501.5519759565,fishing
212,0,262832.76373001776,fishing
213,0,255082.66313200977,fishing
214,0.290266979922897,400907.68270975165,fishing
215,0,429349.4603581441,fishing
216,0,327084.8089972363,fishing
217,0,256493.83638744548,fishing
218,0,122191.36071135566,fishing
219,0,405401.43119429634,fishing
220,11.291069411050367,403383.3486709624,fishing
221,11.340388951857076,277083.3430798923,fishing
222,6.692028701538989,365234.51545838435,fishing
223,7.328696335459261,444173.76560779987,fishing
224,0.1260446117032899,2222803.9511057204,fishing
225,0,233511.62259110418,fishing
226,0.2454402086103289,724539.6581941938,fishing
227,0.009858981432850494,1253450.1856690329,fishing
228,0,1054900.0308235232,fishing
229,0.2636489587210384,1021146.2689656466,fishing
230,0.18057035946846065,388993.922393804,fishing
231,0.9602621812769491,214670.36392451148,fishing
232,6.540525256628388,168165.39408977533,fishing
1,0.0029548133349690873,437003.50330887956,land-based
2,0.01671218337920591,381146.8910440207,land-based
3,0.01631934096294202,619647.3951630028,land-based
4,0.23813906811085556,585307.6819241835,land-based
5,0.6204070948587356,368163.3985622695,land-based
6,0.05464051371789886,337672.10135011,land-based
7,0.009415169377077877,314224.4449077915,land-based
8,0.6508251668045182,1243280.3070409298,land-based
