eez,stressor,n_spp,n_imp,mean_imp_pct,a_wt_mean_imp_pct,med_imp_pct,sd_imp_pct
0,climate,1271,524,0.3612695249754227,0.18425121188239033,0,0.45353719177609386
0,cumulative,1271,1005,0.5690256756880977,0.36658748165622596,0.7223282842261467,0.424538810973643
0,fishing,1271,861,0.33952544185667666,0.19185050414597565,0.3837254365682534,0.317631818947951
0,land-based,1271,616,0.0663722595839168,0.013365947323247444,0,0.12534356418923417
0,ocean,1271,438,0.24482535444876438,0.1307445903222638,0,0.34227852706616696
1,climate,78,39,0.499982716643658,0.06598259859490942,0.4996629745513309,0.5032188956406575
1,cumulative,78,64,0.5419707654393807,0.14764877584148633,0.8820494489679962,0.48439033089714123
1,fishing,78,19,0.00492575655747206,0.011860142829423975,0,0.008736230584012796
1,land-based,78,44,0.08104369286180718,8.474232889177164e-4,6.239148841653416e-4,0.08359077603990138
1,ocean,78,40,0.1710904513564071,0.07132037936547762,0.299356753658354,0.18892811834407888
2,climate,83,36,0.43373493975903615,0.04048052641906411,0,0.4986022189969834
2,cumulative,83,64,0.497938361840549,0.14494091272392123,0.25745682783673085,0.47391362730013725
2,fishing,83,20,0.01739756901683364,0.038499942275021855,0,0.03260459612212473
2,land-based,83,42,0.12071727269611503,0.001086803919029843,8.67568791793458e-4,0.16042714131151195
2,ocean,83,39,0.4537538531013897,0.07041316777670589,0,0.49002830027031624
3,climate,91,33,0.3416241436201462,0.11728681307750509,0,0.4603938058827841
3,cumulative,91,40,0.3848273647651665,0.1832205059028702,0,0.4719377499224225
3,fishing,91,0,0,0,0,0
3,land-based,91,29,0.005565655780070942,1.3480865597555102e-4,0,0.00907293839451146
3,ocean,91,28,0.26251905244794677,0.07050679623848202,0,0.3969827044072648
4,climate,32,8,0.12005146931564785,0.12090192955487424,0,0.21986969709895662
4,cumulative,32,11,0.12690350345795326,0.1292479978283233,0,0.21705509310665622
4,fishing,32,0,0,0,0,0
4,land-based,32,0,0,0,0,0
4,ocean,32,3,0.0068520341423054226,0.008346068273449065,0,0.021644722993290087
5,climate,285,208,0.7282690303802547,0.2661152642163027,1,0.44396952436292647
5,cumulative,285,244,0.7436832453478918,0.3253478036182895,1,0.43154187102953157
5,fishing,285,26,1.242187822503886e-4,5.636056094191029e-4,0,4.4000916868921813e-4
5,land-based,285,208,0.03207166801157753,0.007913697572201762,0.04060519530019341,0.02380179280811993
5,ocean,285,204,0.4597555371146165,0.16704748248775278,0.6248716213938121,0.29499001537506003
6,climate,258,196,0.7596825181600022,0.2918489140297795,1,0.4280980362386381
6,cumulative,258,232,0.7795705597830016,0.34249330782671306,1,0.40283680648759024
6,fishing,258,34,0.006292807317206738,0.015832980939940303,0,0.02479734229583857
6,land-based,258,200,0.1318771468719855,0.034458406307661574,0.1751136688845101,0.07670718441450929
6,ocean,258,194,0.3368812267921641,0.11733407481165545,0.444270338171312,0.19755708756555032
7,climate,352,283,0.803974414159294,0.3035265373088626,1,0.397549608107463
7,cumulative,352,326,0.8310593875277579,0.40147377063528544,1,0.3520359028797413
7,fishing,352,38,0.018949280872344716,0.07104163020429095,0,0.07730731129884302
7,land-based,352,290,0.15664747134579088,0.0466196270637991,0.19262880450825628,0.080436415912952
7,ocean,352,280,0.3114249250721346,0.11503099982064018,0.3750043543602743,0.16190495507775154
8,climate,275,219,0.7963010838588723,0.14823124168688603,1,0.40340455919247387
8,cumulative,275,248,0.8186746231809091,0.2600231460404154,1,0.3718867056714421
8,fishing,275,22,0.007996501268585537,0.049438825182524335,0,0.028190804452489233
8,land-based,275,172,0.12342738521209011,0.01258070817858993,0.1899145988581442,0.10386930673972201
8,ocean,275,217,0.48892538887558573,0.1078077703333719,0.6714111427737522,0.28908932998385783
9,climate,289,229,0.7861611040097559,0.12468373482003198,1,0.40529757717364495
9,cumulative,289,260,0.8042968041882543,0.24213873875391737,1,0.376789848537315
9,fishing,289,27,0.011002367941477407,0.06933712433492473,0,0.0392665828571398
9,land-based,289,232,0.09872429700012439,0.007486325262397904,0.11468381592854884,0.060200629243380384
9,ocean,289,225,0.3296649095076849,0.07640431874452948,0.43111550806424864,0.1855698418333351
10,climate,218,169,0.7655842272544473,0.08376841419807013,1,0.4171874096153669
10,cumulative,218,199,0.782734460879402,0.16521036905552555,1,0.3878813850971688
10,fishing,218,22,0.012699910152986505,0.06103356547070196,0,0.038068178294102396
10,land-based,218,172,0.08894391018563232,0.0011715058612555096,0.11893203564831656,0.05174409172514785
10,ocean,218,3,0.004107116335370296,0.02145902884551201,0,0.034849294219360234
11,climate,227,174,0.7634233411499053,0.1797642583164675,1,0.42270775899011426
11,cumulative,227,207,0.7827729148061202,0.2646842478224268,1,0.3921416792348138
11,fishing,227,29,0.012235649371323234,0.055057343475468444,0,0.037774966924394464
11,land-based,227,175,0.14202511393445283,0.018229721239210777,0.19373484447665493,0.08591600169254944
11,ocean,227,169,0.26485219887563594,0.06232128532031175,0.3531541705837411,0.1563890434693638
12,climate,51,6,0.11679715608697269,0.13508899440454591,0,0.3230449719087664
12,cumulative,51,30,0.24147423195820816,0.26666357179759514,0.1300351186931773,0.36902735189947483
12,fishing,51,21,0.053543872403073005,0.06192948631446364,0,0.06463397157792149
12,land-based,51,0,0,0,0,0
12,ocean,51,4,0.07354632016660029,0.07243613085296188,0,0.2546362085214665
13,climate,171,122,0.7105176897036958,0.13477337933962502,1,0.4519763531046538
13,cumulative,171,150,0.7523597693676088,0.28281892260912306,1,0.4101100327684066
13,fishing,171,21,0.019199445326201006,0.07471824564473101,0,0.05172727442954352
13,land-based,171,126,0.065093400561298,0.003842751812365072,0.0901248872093643,0.04681697016591352
13,ocean,171,121,0.6916545244307775,0.11436927909702693,0.9766319042136615,0.445932350005125
14,climate,384,247,0.6412290719518443,0.26133600372817567,1,0.47877332513812687
14,cumulative,384,350,0.8027394208138992,0.5860138738984979,1,0.33418206685540625
14,fishing,384,321,0.22443742613697962,0.3148813070221775,0.10842293913643156,0.24725330003332466
14,land-based,384,249,0.11412244977376822,0.04021223375004539,0.16863687140597694,0.11078848020178822
14,ocean,384,250,0.6510416666666666,0.2964772404919781,1,0.47726260166563544
15,climate,471,338,0.7151242907218349,0.5885434548764994,1,0.45114537677908323
15,cumulative,471,435,0.8629538691014076,0.8378114304616611,1,0.3166455951644253
15,fishing,471,418,0.16590451247638335,0.25420856783018175,0.040867850508180065,0.3055248644765327
15,land-based,471,353,0.21231617972597447,0.16817370213301078,0.2839672734446444,0.13623755892361608
15,ocean,471,338,0.4511258876267268,0.3755649450105208,0.6194389944829233,0.28846462511770926
16,climate,446,253,0.43790840792209607,0.3456976038006483,0.6832869086714883,0.39806906157692923
16,cumulative,446,382,0.5511470694237455,0.4758611435561893,0.8979167536095591,0.4473014947955101
16,fishing,446,286,0.010625629113173557,0.013700065684811236,1.707352092671967e-4,0.042268251086190416
16,land-based,446,262,0.00954019251678447,0.004747106787589578,0.004313347826990098,0.02943941350656549
16,ocean,446,243,0.46015980263035755,0.38441774409858015,0.8081054217863107,0.4269091913439541
17,climate,435,320,0.6258014889627814,0.37056513203467056,0.7853506143352944,0.39059411251176535
17,cumulative,435,399,0.766740292048906,0.7119976021111427,0.9072760548387017,0.3509545936318402
17,fishing,435,217,0.08426390602773054,0.28558022298694213,0,0.25167561712429226
17,land-based,435,334,0.09512071291018086,0.048647325911290465,0.10793890324722219,0.06856748867134052
17,ocean,435,314,0.4481322042206105,0.2831964270548221,0.6238644576477427,0.2851575674902679
18,climate,274,214,0.7810213152903116,0.28738386265360927,1,0.41431015957512657
18,cumulative,274,253,0.8034809675604847,0.3623807307221523,1,0.3799222188578706
18,fishing,274,246,0.16040698970631878,0.0768028711432455,0.195532018810611,0.06982334550208416
18,land-based,274,214,0.10604380782550857,0.02821408032794916,0.13934805542151354,0.06008940643457645
18,ocean,274,209,0.47537030006970155,0.15831023176802916,0.6217640554627937,0.26572162953818934
19,climate,234,177,0.7542189624155686,0.12805237028440072,1,0.42917746773348137
19,cumulative,234,207,0.7667578264822101,0.1808980607362795,1,0.40852476894995127
19,fishing,234,27,0.00894420114691036,0.03864107323478242,0,0.028504630530520707
19,land-based,234,180,0.151951018816214,0.00590471185656369,0.2066601394128106,0.09131867063348538
19,ocean,234,174,0.21440414891118273,0.022519767654786974,0.2895853733944893,0.12643511132064425
20,climate,100,10,0.09508932318888644,0.08544251122619823,0,0.28698816910160474
