iucn_sid,taxon,var_priority,priority
907,clupeiformes,0,0.009527619016523289
1793,mammals,0,0.09984146477216269
2057,mammals,5.438478646573553e-4,0.050526366623703425
2469,mammals,5.135576448793161e-10,0.07562701104661142
2475,mammals,3.156393496627012e-8,0.029858797700531087
2478,mammals,2.8763790135655124e-8,0.0266498474347521
2480,mammals,1.2697393912339757e-10,3.48940728962307e-4
3590,mammals,1.0444977475502517e-5,0.04172106745560046
3851,sharks_and_rays,3.202058194710855e-9,0.03889318126280369
3852,sharks_and_rays,4.5977062389507004e-8,0.023709006159769883
3853,sharks_and_rays,4.21334806261946e-9,0.04843065431114359
3854,sharks_and_rays,3.7267740815794554e-8,0.041225124798038505
3897,sea_turtles,1.3575937076837551e-6,0.038019056320510156
4160,mammals,1.6469458476851776e-7,0.07480082630328351
4161,mammals,0,0.08419841539723173
4162,mammals,9.360568184158742e-7,0.08564310464301456
4615,sea_turtles,1.3402829331544027e-9,0.0033237972668907667
6204,mammals,1.1402913744568308e-7,0.007603573521323181
6229,sharks_and_rays,1.1954244065200566e-7,0.022726333201777783
6494,sea_turtles,1.0192224113284708e-9,0.001748383852957564
6909,mammals,3.907806934980459e-9,0.05803448267825135
7750,mammals,3.246482885974985e-7,0.01795785310331002
7859,groupers,6.249718203703096e-7,0.040688791509160833
7860,groupers,9.246146642721477e-6,0.03374176409231162
7861,groupers,2.0497257302249916e-7,0.0470894697431831
7862,groupers,3.958248610686074e-6,0.014740416790668637
8005,sea_turtles,4.079734938260287e-7,0.03745223761409438
8099,mammals,5.2972699212171896e-9,0.06830371590016815
8239,mammals,2.6316585732242126e-8,0.011345506721208497
9281,sharks_and_rays,5.391068324903655e-8,0.0740459488713623
10030,sharks_and_rays,8.346684893664135e-8,0.019689277445787967
10070,syngnathiformes,8.990528505586175e-9,0.039633367077407174
10088,syngnathiformes,0,0.008857907006579928
11130,wrasses_and_parrotfishes,7.677262620767007e-8,0.0014208552970830825
11200,sharks_and_rays,7.988521167975586e-9,0.006220654735726998
11533,sea_turtles,5.2979143465455116e-8,0.006664610738965026
11534,sea_turtles,4.000270283912551e-10,0.005780521884042208
12303,mammals,4.0458760274240815e-6,0.06774774775686547
12305,mammals,3.113452482062338e-5,0.0584770298336307
12419,mammals,5.196458659785198e-9,0.08412618275899227
12421,mammals,0,0.11033457671332123
12427,mammals,0,0.1000674870181269
13653,mammals,2.6472575328732625e-9,0.07975502618837839
13654,mammals,0,6.657154687779777e-4
14049,groupers,1.4730719819254474e-7,0.05116399701781033
14050,groupers,1.114014999730554e-6,0.0669963762193551
14051,groupers,4.473691757739319e-4,0.013573650581776793
14549,mammals,2.7116056182011306e-10,0.07668642762612339
15106,mammals,1.4165082616840295e-8,0.0031661311931340877
15419,mammals,2.4486403871339053e-10,0.07523300246329186
17026,mammals,2.192811668067486e-8,0.008423019023852611
17028,mammals,0.0010546408596867232,0.08778359958693616
17029,mammals,7.384240037222069e-7,0.06344345364778768
17978,mammals,1.0083440755114955e-6,0.06564777355083505
18596,mammals,3.0289133985259194e-7,0.017474628310038133
19488,sharks_and_rays,1.21740996793199e-7,0.04142269372725827
20047,tunas_and_billfishes,7.806187114706548e-5,0.03925246805505327
20425,mammals,1.0536807801331953e-9,0.08214314855903693
21856,tunas_and_billfishes,9.911454034766348e-8,0.012361228275413328
21857,tunas_and_billfishes,2.4014503893831635e-7,0.014052746953304007
21858,tunas_and_billfishes,5.919614998214902e-11,2.103860710693956e-4
21859,tunas_and_billfishes,2.0209090151183386e-7,0.012814622593591297
21860,tunas_and_billfishes,1.1545308531038515e-6,0.01637524029899469
22103,mammals,1.096556678826368e-9,0.0729098877458486
22104,mammals,2.191134275229439e-10,0.07826009047668268
22823,mammals,4.942865767447512e-8,0.031110688241364398
39339,sharks_and_rays,2.3206156120581815e-7,0.0135838785421657
39341,sharks_and_rays,2.5972609120488956e-7,0.015911974343614077
39345,sharks_and_rays,6.7960580855117864e-9,0.006587562243954712
39346,sharks_and_rays,0,0.0024635240841078374
39348,sharks_and_rays,4.501431660286579e-7,0.0062402769200786854
39349,sharks_and_rays,7.566945532602808e-7,0.0017382571937248211
39350,sharks_and_rays,2.9144473041272807e-6,0.06694594519229377
39352,sharks_and_rays,8.422398868166491e-8,0.039746949708975035
39353,sharks_and_rays,0,0.0013301788230228127
39358,sharks_and_rays,6.502333963415252e-8,0.032349412007623576
39359,sharks_and_rays,3.261673424667325e-7,0.03565433537437878
39360,sharks_and_rays,9.65558580634721e-6,0.00436426126548137
39361,sharks_and_rays,2.7222637647194253e-5,0.022091940661766726
39362,sharks_and_rays,2.202569599593908e-6,0.008683186190155245
39365,sharks_and_rays,1.644469066906384e-8,0.02347484733617145
39367,sharks_and_rays,2.1341919233879704e-8,0.02811387044412988
39368,sharks_and_rays,6.633927142064728e-8,0.031747745932017686
39369,sharks_and_rays,4.703463216040061e-9,0.030877222008117128
39370,sharks_and_rays,4.316085685114639e-7,0.016734494623073328
39371,sharks_and_rays,8.239714087248156e-7,0.06891954941418352
39372,sharks_and_rays,3.996708459520012e-7,0.03662684814226917
39374,sharks_and_rays,2.853360158933313e-7,0.015100070263987655
39378,sharks_and_rays,2.847455482036589e-8,0.032197935862297446
39379,sharks_and_rays,5.525453334099806e-7,0.09480233606803816
39380,sharks_and_rays,7.388528452069589e-7,0.025367533272341116
39381,sharks_and_rays,2.1827200166408457e-7,0.01324704579091959
39383,sharks_and_rays,9.277879488597267e-9,0.037112633337091104
39384,sharks_and_rays,7.452635264320784e-10,0.01085411023869383
39385,sharks_and_rays,8.842489912522956e-8,0.031531908431066624
39386,sharks_and_rays,1.433128838552308e-7,0.023541792624174836
39388,sharks_and_rays,1.1198954892255378e-7,0.03576287379385878
39389,sharks_and_rays,1.3132288570013572e-8,0.04877645432520359
39390,sharks_and_rays,1.2461234837132454e-8,0.04107356984503847
39393,sharks_and_rays,8.392923240947187e-9,0.04488011406399153
39394,sharks_and_rays,1.7495319456230856e-6,0.060732789909419785
39397,sharks_and_rays,4.1672425989401636e-7,0.050084772712879755
39399,sharks_and_rays,1.05134289280927e-8,0.03659875911224033
39400,sharks_and_rays,7.219230022202602e-7,0.06474500372614958
39412,sharks_and_rays,5.97333904935119e-8,0.048343470081484374
39771,sharks_and_rays,1.0170481781660613e-6,0.034208216757996505
40797,sharks_and_rays,3.9520912089276166e-8,0.04282675633011847
40802,syngnathiformes,1.9813673138297296e-8,0.044803199887970824
41008,syngnathiformes,3.12139791616055e-8,0.0431446479424873
41064,sharks_and_rays,4.66613961065282e-6,0.08170190684111704
41668,mammals,9.576560768983623e-4,0.04426203855858712
41712,mammals,9.135663285556137e-8,0.02099030194094168
41714,mammals,1.1043035606204447e-8,0.048963630255824786
41730,sharks_and_rays,2.234034790185882e-9,0.04665564607359916
41737,sharks_and_rays,1.5602977998113654e-9,0.03936311255388817
41738,sharks_and_rays,3.12186191283245e-8,0.034700711013004995
41740,sharks_and_rays,1.1690668233757127e-8,0.0013005773397624654
41741,sharks_and_rays,9.72596496357192e-8,0.03662562378591193
41747,sharks_and_rays,7.249354747889944e-8,0.02348058568756731
41749,sharks_and_rays,1.809323776723369e-8,0.015135650380632219
41754,mammals,0,0.07223164621667902
41755,mammals,3.04875992265934e-8,0.02969642116852029
41761,mammals,2.2662720031606008e-5,0.07803053990348542
41762,mammals,8.288490186982168e-9,0.06679025804337013
41791,sharks_and_rays,2.555247980942431e-9,0.06365984976526655
41792,sharks_and_rays,1.9080278332597068e-9,0.04390710691289394
41797,sharks_and_rays,1.0638971873230429e-6,0.03337736385620987
41810,sharks_and_rays,1.802060224059717e-8,0.044016107018581295
41816,sharks_and_rays,1.9593457822050775e-8,0.03227003469146218
41819,sharks_and_rays,7.059518732722621e-8,0.0018566944267937521
41823,sharks_and_rays,1.3358740931953833e-7,0.0235592730077748
41832,sharks_and_rays,1.8655136896383178e-7,0.033546392634821266
41835,sharks_and_rays,7.349508762296788e-9,0.03223776055245951
41836,sharks_and_rays,1.787414367066083e-8,0.037807389776649575
41848,sharks_and_rays,1.9291971130727917e-8,0.047349901978386566
41853,sharks_and_rays,2.8672852791526776e-8,0.04693933158756847
41854,sharks_and_rays,8.12466664936908e-8,0.07119804206726128
41871,sharks_and_rays,7.465317972450802e-8,0.01844570348545426
41874,sharks_and_rays,2.23169769414927e-8,0.043261184550830695
42706,sharks_and_rays,1.689784651853481e-10,5.253552700818135e-5
42707,sharks_and_rays,1.3082582995187605e-8,1.0496147862881628e-4
42712,sharks_and_rays,3.168623475870503e-8,3.173680640099713e-4
42726,sharks_and_rays,9.246213738841197e-7,0.01649954689657193
42727,sharks_and_rays,8.367262280048163e-9,2.3388087919691146e-4
42729,sharks_and_rays,3.154853664372934e-9,5.154336887768802e-5
42730,sharks_and_rays,4.938271663548053e-5,0.006352984552280541
43974,groupers,3.3666938774238384e-7,0.06848355725331845
44166,mammals,0,0.09688006592373642
44496,sharks_and_rays,1.5758621239246662e-6,0.0049843150360623974
44575,sharks_and_rays,4.6834354609736167e-5,0.07187584562825086
44577,sharks_and_rays,3.241949861388507e-5,0.010456668311371306
44578,sharks_and_rays,1.1183265748267088e-4,0.02427248025300923
44581,sharks_and_rays,4.783468797160384e-7,0.06431789863215127
44586,sharks_and_rays,3.2221263212790606e-6,0.013251282775373328
44591,sharks_and_rays,3.1341726575606054e-7,0.026718224229649565
44595,sharks_and_rays,0,0.08459295591380826
44607,sharks_and_rays,4.541589321718016e-6,0.014143028930562235
44617,sharks_and_rays,1.6462344882942255e-5,0.06676488171198422
44642,sharks_and_rays,2.5333703105954588e-5,0.06418629855434296
44656,sharks_and_rays,3.776356347319495e-6,0.024305970722312473
44677,groupers,1.3118230134760207e-6,0.05618754315355516
44678,groupers,4.701592290514034e-8,0.014271784823622355
44681,groupers,2.128810407889243e-6,0.03147483620289198
44683,groupers,1.1100558030192468e-6,0.013443064559735873
44993,sharks_and_rays,4.5352023581833564e-7,0.04345233539343663
46865,sharks_and_rays,3.8936790842877367e-7,0.009639854258385613
60087,sharks_and_rays,2.2309153754050666e-7,0.06683676303778663
60088,sharks_and_rays,5.235027380340174e-8,2.8876053815159945e-4
60095,sharks_and_rays,0.00010927980843827912,0.10283658166775836
60100,sharks_and_rays,9.081819787596633e-7,0.0034495280440212618
60104,sharks_and_rays,2.6040050682437938e-8,0.00121116590734328
60105,sharks_and_rays,4.758716657578645e-7,0.0011855207438347414
60113,sharks_and_rays,2.321079934803345e-7,0.06587884617112001
60117,sharks_and_rays,3.065665359492297e-8,0.06282776299654319
60125,sharks_and_rays,4.545789819767129e-6,0.05517782969281211
60128,sharks_and_rays,8.159619287076299e-7,0.059689465620510765
60129,sharks_and_rays,2.182838487016024e-8,0.06527426885176461
60130,sharks_and_rays,3.8648905464749223e-7,0.059969033737851854
60131,sharks_and_rays,0,0.11683545750398473
60147,sharks_and_rays,1.484940637385281e-6,0.08592065264788382
60148,sharks_and_rays,1.3469727916770692e-8,0.07178999415757249
60151,sharks_and_rays,8.115674002622414e-4,0.08223783599324594
60153,sharks_and_rays,2.4599198955023303e-5,0.03316623283154532
60155,sharks_and_rays,0,0.11735615795159118
60160,sharks_and_rays,1.771199044253969e-8,0.06486569576464571
60166,sharks_and_rays,1.4322642070862938e-7,0.06920756716299854
60167,sharks_and_rays,3.944170873074195e-8,0.08341095532105622
60168,sharks_and_rays,3.1098404785534955e-7,0.06535778619549205
60170,sharks_and_rays,8.315755500806934e-9,0.07996384207378467
60171,sharks_and_rays,6.602475557563572e-10,0.003558514194988343
60172,sharks_and_rays,4.725749758706222e-6,0.07183745468747502
60175,sharks_and_rays,9.618151747145747e-8,0.07029083658229657
60176,sharks_and_rays,0,0.1154023564333148
60180,sharks_and_rays,9.277285625087617e-7,0.08168368785785847
60181,sharks_and_rays,0,0.10359782702081381
60182,sharks_and_rays,3.265864659565897e-10,0.07984740340234472
60195,sharks_and_rays,4.52803729231373e-7,0.0029978571817323857
60198,sharks_and_rays,3.5231215378355335e-6,0.02579264685508889
60199,sharks_and_rays,2.2154169674617882e-7,0.015860220597787446
60200,sharks_and_rays,2.4467655036124973e-7,0.015483017928570276
60202,sharks_and_rays,4.833256308649489e-6,0.03285488332941193
60203,sharks_and_rays,4.5530615493155343e-7,0.07325238025534936
60213,sharks_and_rays,7.616654480767658e-7,0.031224562085130726
60217,sharks_and_rays,2.1028796669562329e-7,0.033350509815135806
60218,sharks_and_rays,1.5721331136545465e-5,0.036133680125784044
60219,sharks_and_rays,2.9921598041585366e-7,0.017862110629059423
60222,sharks_and_rays,3.039917583694932e-8,0.04852506246695285
60225,sharks_and_rays,2.931087607810417e-7,0.01684620964961376
61337,groupers,3.4215597532836332e-6,0.019139482539330815
61339,groupers,3.536075761632342e-7,0.021292057675767154
61398,sharks_and_rays,3.2831423038401125e-6,0.04928520743547007
61401,sharks_and_rays,1.5728840863561705e-5,0.004112509223254906
61402,sharks_and_rays,2.080920454445235e-6,0.001594448909813781
61403,sharks_and_rays,2.2456630601556077e-5,0.0402798202279673
61404,sharks_and_rays,2.641786132257808e-5,0.02877442884497092
61406,sharks_and_rays,8.465536731523068e-6,0.08057359494594915
61408,sharks_and_rays,2.2920866589258654e-7,0.030965697835878523
61417,sharks_and_rays,8.181549903684302e-7,0.03592787206752482
61418,sharks_and_rays,1.0903535950556277e-6,0.037194977557633055
61419,sharks_and_rays,2.3293693968837e-5,0.06185795506493555
61442,mammals,0,0.08272501422929182
63102,sharks_and_rays,7.387695612677647e-7,0.013401108985382834
