iucn_sid,stressor,sens
2060,oa,FALSE
2060,slr,TRUE
2060,sst,FALSE
3897,oa,FALSE
3897,slr,TRUE
3897,sst,FALSE
6336,oa,FALSE
6336,slr,NA
6336,sst,TRUE
6494,oa,FALSE
6494,slr,FALSE
6494,sst,FALSE
8010,oa,TRUE
8010,slr,FALSE
8010,sst,FALSE
8153,oa,FALSE
8153,slr,NA
8153,sst,TRUE
10340,oa,FALSE
10340,slr,TRUE
10340,sst,FALSE
11142,oa,FALSE
11142,slr,NA
11142,sst,FALSE
11696,oa,FALSE
11696,slr,FALSE
11696,sst,FALSE
12246,oa,FALSE
12246,slr,TRUE
12246,sst,TRUE
14049,oa,FALSE
14049,slr,FALSE
14049,sst,FALSE
15269,oa,FALSE
15269,slr,TRUE
15269,sst,TRUE
17023,oa,TRUE
17023,slr,FALSE
17023,sst,FALSE
31382,oa,FALSE
31382,slr,TRUE
31382,sst,FALSE
33705,oa,FALSE
33705,slr,TRUE
33705,sst,FALSE
34364,oa,FALSE
34364,slr,TRUE
34364,sst,FALSE
41670,oa,TRUE
41670,slr,NA
41670,sst,FALSE
44678,oa,FALSE
44678,slr,FALSE
44678,sst,FALSE
132859,oa,TRUE
132859,slr,NA
132859,sst,TRUE
132860,oa,TRUE
132860,slr,NA
132860,sst,TRUE
132861,oa,TRUE
132861,slr,NA
132861,sst,TRUE
132862,oa,TRUE
132862,slr,NA
132862,sst,TRUE
132863,oa,TRUE
132863,slr,NA
132863,sst,TRUE
132864,oa,TRUE
132864,slr,NA
132864,sst,TRUE
132865,oa,TRUE
132865,slr,NA
132865,sst,TRUE
132866,oa,TRUE
132866,slr,NA
132866,sst,TRUE
132867,oa,TRUE
132867,slr,NA
132867,sst,TRUE
132868,oa,TRUE
132868,slr,NA
132868,sst,TRUE
132869,oa,TRUE
132869,slr,NA
132869,sst,TRUE
132870,oa,TRUE
132870,slr,NA
132870,sst,TRUE
132871,oa,TRUE
132871,slr,NA
132871,sst,TRUE
132873,oa,TRUE
132873,slr,NA
132873,sst,TRUE
132874,oa,TRUE
132874,slr,NA
132874,sst,TRUE
132875,oa,TRUE
132875,slr,NA
132875,sst,TRUE
132876,oa,TRUE
132876,slr,NA
132876,sst,TRUE
132877,oa,TRUE
132877,slr,NA
132877,sst,TRUE
132878,oa,TRUE
132878,slr,NA
132878,sst,TRUE
132879,oa,TRUE
132879,slr,NA
132879,sst,TRUE
132880,oa,TRUE
132880,slr,NA
132880,sst,TRUE
132881,oa,TRUE
132881,slr,NA
132881,sst,TRUE
132882,oa,TRUE
132882,slr,NA
132882,sst,TRUE
132883,oa,TRUE
132883,slr,NA
