iucn_sid,stressor,sensitive
1793,art_fish,TRUE
1793,dem_dest,FALSE
1793,dem_nondest_hb,TRUE
1793,dem_nondest_lb,FALSE
1793,pel_hb,NA
1793,pel_lb,NA
2055,art_fish,TRUE
2055,dem_dest,FALSE
2055,dem_nondest_hb,TRUE
2055,dem_nondest_lb,FALSE
2055,pel_hb,FALSE
2055,pel_lb,FALSE
2057,art_fish,TRUE
2057,dem_dest,NA
2057,dem_nondest_hb,NA
2057,dem_nondest_lb,NA
2057,pel_hb,NA
2057,pel_lb,NA
2058,art_fish,TRUE
2058,dem_dest,NA
2058,dem_nondest_hb,NA
2058,dem_nondest_lb,NA
2058,pel_hb,NA
2058,pel_lb,NA
2060,art_fish,NA
2060,dem_dest,FALSE
2060,dem_nondest_hb,FALSE
2060,dem_nondest_lb,FALSE
2060,pel_hb,TRUE
2060,pel_lb,FALSE
2061,art_fish,TRUE
2061,dem_dest,FALSE
2061,dem_nondest_hb,FALSE
2061,dem_nondest_lb,FALSE
2061,pel_hb,FALSE
2061,pel_lb,FALSE
2062,art_fish,TRUE
2062,dem_dest,NA
2062,dem_nondest_hb,NA
2062,dem_nondest_lb,NA
2062,pel_hb,NA
2062,pel_lb,NA
2467,art_fish,TRUE
2467,dem_dest,NA
2467,dem_nondest_hb,NA
2467,dem_nondest_lb,NA
2467,pel_hb,NA
2467,pel_lb,NA
2469,art_fish,NA
2469,dem_dest,NA
2469,dem_nondest_hb,NA
2469,dem_nondest_lb,NA
2469,pel_hb,FALSE
2469,pel_lb,FALSE
2474,art_fish,FALSE
2474,dem_dest,NA
2474,dem_nondest_hb,NA
2474,dem_nondest_lb,NA
2474,pel_hb,FALSE
2474,pel_lb,FALSE
2475,art_fish,TRUE
2475,dem_dest,NA
2475,dem_nondest_hb,NA
2475,dem_nondest_lb,NA
2475,pel_hb,NA
2475,pel_lb,NA
2476,art_fish,NA
2476,dem_dest,NA
2476,dem_nondest_hb,NA
2476,dem_nondest_lb,NA
2476,pel_hb,FALSE
2476,pel_lb,FALSE
2478,art_fish,TRUE
2478,dem_dest,NA
2478,dem_nondest_hb,NA
2478,dem_nondest_lb,NA
2478,pel_hb,NA
2478,pel_lb,NA
2480,art_fish,TRUE
2480,dem_dest,NA
2480,dem_nondest_hb,NA
2480,dem_nondest_lb,NA
2480,pel_hb,NA
2480,pel_lb,NA
2636,art_fish,NA
2636,dem_dest,FALSE
2636,dem_nondest_hb,FALSE
2636,dem_nondest_lb,FALSE
2636,pel_hb,NA
2636,pel_lb,NA
2763,art_fish,TRUE
2763,dem_dest,NA
2763,dem_nondest_hb,NA
2763,dem_nondest_lb,NA
2763,pel_hb,NA
2763,pel_lb,NA
3590,art_fish,TRUE
3590,dem_dest,NA
3590,dem_nondest_hb,NA
3590,dem_nondest_lb,NA
3590,pel_hb,NA
3590,pel_lb,NA
3851,art_fish,TRUE
3851,dem_dest,FALSE
3851,dem_nondest_hb,FALSE
3851,dem_nondest_lb,FALSE
3851,pel_hb,NA
3851,pel_lb,NA
3852,art_fish,TRUE
3852,dem_dest,NA
3852,dem_nondest_hb,NA
3852,dem_nondest_lb,NA
3852,pel_hb,TRUE
3852,pel_lb,TRUE
3853,art_fish,TRUE
3853,dem_dest,FALSE
3853,dem_nondest_hb,TRUE
3853,dem_nondest_lb,TRUE
3853,pel_hb,TRUE
3853,pel_lb,TRUE
3854,art_fish,TRUE
3854,dem_dest,FALSE
3854,dem_nondest_hb,TRUE
3854,dem_nondest_lb,TRUE
3854,pel_hb,TRUE
3854,pel_lb,TRUE
3855,art_fish,TRUE
3855,dem_dest,FALSE
3855,dem_nondest_hb,TRUE
3855,dem_nondest_lb,FALSE
3855,pel_hb,TRUE
3855,pel_lb,FALSE
3897,art_fish,TRUE
3897,dem_dest,NA
3897,dem_nondest_hb,NA
3897,dem_nondest_lb,NA
3897,pel_hb,NA
3897,pel_lb,NA
4159,art_fish,FALSE
4159,art_fish,TRUE
4159,dem_dest,TRUE
4159,dem_nondest_hb,TRUE
4159,dem_nondest_lb,TRUE
4159,pel_hb,TRUE
4159,pel_lb,TRUE
4160,art_fish,TRUE
4160,dem_dest,FALSE
4160,dem_nondest_hb,TRUE
4160,dem_nondest_lb,FALSE
4160,pel_hb,TRUE
4160,pel_lb,FALSE
4161,art_fish,TRUE
4161,dem_dest,NA
4161,dem_nondest_hb,NA
4161,dem_nondest_lb,NA
4161,pel_hb,TRUE
4161,pel_lb,TRUE
4162,art_fish,NA
4162,dem_dest,NA
4162,dem_nondest_hb,NA
4162,dem_nondest_lb,NA
4162,pel_hb,TRUE
4162,pel_lb,FALSE
4292,art_fish,FALSE
4292,art_fish,TRUE
4292,dem_dest,NA
4292,dem_nondest_hb,NA
4292,dem_nondest_lb,NA
4292,pel_hb,TRUE
4292,pel_lb,FALSE
4361,art_fish,TRUE
4361,dem_dest,NA
4361,dem_nondest_hb,NA
4361,dem_nondest_lb,NA
4361,pel_hb,NA
4361,pel_lb,NA
4362,art_fish,TRUE
4362,dem_dest,NA
4362,dem_nondest_hb,NA
4362,dem_nondest_lb,NA
4362,pel_hb,NA
4362,pel_lb,NA
4615,art_fish,TRUE
4615,dem_dest,TRUE
4615,dem_nondest_hb,FALSE
4615,dem_nondest_lb,FALSE
4615,pel_hb,FALSE
4615,pel_lb,FALSE
5272,art_fish,FALSE
5272,dem_dest,NA
5272,dem_nondest_hb,NA
5272,dem_nondest_lb,NA
5272,pel_hb,NA
5272,pel_lb,NA
6204,art_fish,TRUE
6204,dem_dest,FALSE
6204,dem_nondest_hb,FALSE
6204,dem_nondest_lb,FALSE
6204,pel_hb,FALSE
6204,pel_lb,FALSE
6229,art_fish,TRUE
6229,dem_dest,TRUE
6229,dem_nondest_hb,TRUE
6229,dem_nondest_lb,FALSE
6229,pel_hb,TRUE
6229,pel_lb,FALSE
6335,art_fish,TRUE
6335,dem_dest,NA
