iucn_sid,stressor,code,sens
222,art_fish,5.4.3,TRUE
222,dem_dest,NA,FALSE
222,dem_nondest_hb,NA,FALSE
222,dem_nondest_lb,NA,FALSE
222,pel_hb,NA,FALSE
222,pel_lb,NA,FALSE
224,art_fish,5.4.1,TRUE
224,dem_dest,NA,FALSE
224,dem_nondest_hb,NA,FALSE
224,dem_nondest_lb,NA,FALSE
224,pel_hb,NA,FALSE
224,pel_lb,NA,FALSE
225,art_fish,5.4.1,TRUE
225,art_fish,5.4.3,TRUE
225,dem_dest,NA,FALSE
225,dem_nondest_hb,NA,FALSE
225,dem_nondest_lb,NA,FALSE
225,pel_hb,NA,FALSE
225,pel_lb,NA,FALSE
229,art_fish,5.4.1,TRUE
229,dem_dest,5.4.2,TRUE
229,dem_nondest_hb,5.4.2,FALSE
229,dem_nondest_lb,5.4.2,FALSE
229,pel_hb,5.4.2,FALSE
229,pel_lb,5.4.2,FALSE
230,art_fish,5.4.1,FALSE
230,art_fish,5.4.3,TRUE
230,dem_dest,5.4.2,FALSE
230,dem_dest,5.4.4,TRUE
230,dem_nondest_hb,5.4.2,FALSE
230,dem_nondest_hb,5.4.4,TRUE
230,dem_nondest_lb,5.4.2,FALSE
230,dem_nondest_lb,5.4.4,FALSE
230,pel_hb,5.4.2,FALSE
230,pel_hb,5.4.4,TRUE
230,pel_lb,5.4.2,FALSE
230,pel_lb,5.4.4,FALSE
232,art_fish,5.4.1,TRUE
232,art_fish,5.4.3,TRUE
232,dem_dest,NA,FALSE
232,dem_nondest_hb,NA,FALSE
232,dem_nondest_lb,NA,FALSE
232,pel_hb,NA,FALSE
232,pel_lb,NA,FALSE
233,art_fish,5.4.1,TRUE
233,art_fish,5.4.3,TRUE
233,dem_dest,NA,FALSE
233,dem_nondest_hb,NA,FALSE
233,dem_nondest_lb,NA,FALSE
233,pel_hb,NA,FALSE
233,pel_lb,NA,FALSE
234,art_fish,5.4.1,TRUE
234,art_fish,5.4.3,TRUE
234,dem_dest,NA,FALSE
234,dem_nondest_hb,NA,FALSE
234,dem_nondest_lb,NA,FALSE
234,pel_hb,NA,FALSE
234,pel_lb,NA,FALSE
235,art_fish,5.4.1,TRUE
235,art_fish,5.4.3,TRUE
235,dem_dest,NA,FALSE
235,dem_nondest_hb,NA,FALSE
235,dem_nondest_lb,NA,FALSE
235,pel_hb,NA,FALSE
235,pel_lb,NA,FALSE
236,art_fish,5.4.1,TRUE
236,art_fish,5.4.3,TRUE
236,dem_dest,5.4.2,FALSE
236,dem_dest,5.4.4,FALSE
236,dem_nondest_hb,NA,FALSE
236,dem_nondest_lb,NA,FALSE
236,pel_hb,5.4.2,TRUE
236,pel_hb,5.4.4,TRUE
236,pel_lb,5.4.2,FALSE
236,pel_lb,5.4.4,FALSE
241,art_fish,5.4.1,TRUE
241,art_fish,5.4.3,TRUE
241,dem_dest,5.4.2,TRUE
241,dem_dest,5.4.4,TRUE
241,dem_nondest_hb,5.4.2,FALSE
241,dem_nondest_hb,5.4.4,FALSE
241,dem_nondest_lb,5.4.2,FALSE
241,dem_nondest_lb,5.4.4,FALSE
241,pel_hb,5.4.2,FALSE
241,pel_hb,5.4.4,FALSE
241,pel_lb,5.4.2,FALSE
241,pel_lb,5.4.4,FALSE
242,art_fish,5.4.1,TRUE
242,art_fish,5.4.3,TRUE
242,dem_dest,NA,FALSE
242,dem_nondest_hb,NA,FALSE
242,dem_nondest_lb,NA,FALSE
242,pel_hb,NA,FALSE
242,pel_lb,NA,FALSE
243,art_fish,5.4.1,TRUE
243,dem_dest,NA,FALSE
243,dem_nondest_hb,NA,FALSE
243,dem_nondest_lb,NA,FALSE
243,pel_hb,NA,FALSE
243,pel_lb,NA,FALSE
245,art_fish,5.4.1,TRUE
245,art_fish,5.4.3,TRUE
245,dem_dest,NA,FALSE
245,dem_nondest_hb,NA,FALSE
245,dem_nondest_lb,NA,FALSE
245,pel_hb,NA,FALSE
245,pel_lb,NA,FALSE
907,art_fish,5.4.1,TRUE
907,dem_dest,NA,FALSE
907,dem_nondest_hb,NA,FALSE
907,dem_nondest_lb,NA,FALSE
907,pel_hb,NA,FALSE
907,pel_lb,NA,FALSE
908,art_fish,5.4.1,FALSE
908,dem_dest,NA,FALSE
908,dem_nondest_hb,NA,FALSE
908,dem_nondest_lb,NA,FALSE
908,pel_hb,NA,FALSE
908,pel_lb,NA,FALSE
1308,art_fish,5.4.1,FALSE
1308,dem_dest,NA,FALSE
1308,dem_nondest_hb,NA,FALSE
1308,dem_nondest_lb,NA,FALSE
1308,pel_hb,NA,FALSE
1308,pel_lb,NA,FALSE
1793,art_fish,5.4.3,TRUE
1793,dem_dest,5.4.4,FALSE
1793,dem_nondest_hb,5.4.4,TRUE
1793,dem_nondest_lb,5.4.4,FALSE
1793,pel_hb,5.4.4,TRUE
1793,pel_lb,5.4.4,FALSE
2055,art_fish,5.4.1,TRUE
2055,dem_dest,5.4.2,FALSE
2055,dem_dest,5.4.4,FALSE
2055,dem_nondest_hb,5.4.2,FALSE
2055,dem_nondest_hb,5.4.4,TRUE
2055,dem_nondest_lb,5.4.2,FALSE
2055,dem_nondest_lb,5.4.4,FALSE
2055,pel_hb,5.4.2,FALSE
2055,pel_hb,5.4.4,FALSE
2055,pel_lb,5.4.2,FALSE
2055,pel_lb,5.4.4,FALSE
2057,art_fish,5.4.3,TRUE
2057,dem_dest,5.4.2,FALSE
2057,dem_nondest_hb,5.4.2,FALSE
2057,dem_nondest_lb,5.4.2,FALSE
2057,pel_hb,5.4.2,FALSE
2057,pel_lb,5.4.2,FALSE
2058,art_fish,5.4.3,TRUE
2058,dem_dest,5.4.2,FALSE
2058,dem_nondest_hb,5.4.2,FALSE
2058,dem_nondest_lb,5.4.2,FALSE
2058,pel_hb,5.4.2,FALSE
2058,pel_lb,5.4.2,FALSE
2059,art_fish,NA,FALSE
2059,dem_dest,5.4.2,FALSE
2059,dem_dest,5.4.4,FALSE
2059,dem_nondest_hb,5.4.2,FALSE
2059,dem_nondest_hb,5.4.4,TRUE
2059,dem_nondest_lb,5.4.2,FALSE
2059,dem_nondest_lb,5.4.4,FALSE
2059,pel_hb,5.4.2,FALSE
2059,pel_hb,5.4.4,TRUE
2059,pel_lb,5.4.2,FALSE
2059,pel_lb,5.4.4,FALSE
2060,art_fish,NA,FALSE
2060,dem_dest,5.4.2,TRUE
2060,dem_dest,5.4.4,TRUE
2060,dem_nondest_hb,5.4.2,TRUE
2060,dem_nondest_hb,5.4.4,TRUE
2060,dem_nondest_lb,5.4.2,FALSE
2060,dem_nondest_lb,5.4.4,FALSE
2060,pel_hb,5.4.2,TRUE
2060,pel_hb,5.4.4,TRUE
2060,pel_lb,5.4.2,FALSE
2060,pel_lb,5.4.4,FALSE
2061,art_fish,5.4.3,TRUE
2061,dem_dest,5.4.2,FALSE
2061,dem_nondest_hb,5.4.2,FALSE
2061,dem_nondest_lb,5.4.2,FALSE
2061,pel_hb,5.4.2,FALSE
2061,pel_lb,5.4.2,FALSE
2062,art_fish,5.4.3,TRUE
2062,dem_dest,5.4.2,FALSE
2062,dem_nondest_hb,5.4.2,FALSE
2062,dem_nondest_lb,5.4.2,FALSE
2062,pel_hb,5.4.2,FALSE
2062,pel_lb,5.4.2,FALSE
2064,art_fish,5.4.3,TRUE
2064,dem_dest,5.4.4,TRUE
2064,dem_nondest_hb,5.4.4,TRUE
2064,dem_nondest_lb,5.4.4,FALSE
2064,pel_hb,5.4.4,FALSE
2064,pel_lb,5.4.4,FALSE
2066,art_fish,NA,FALSE
2066,dem_dest,5.4.2,FALSE
2066,dem_dest,5.4.4,FALSE
2066,dem_nondest_hb,5.4.2,TRUE
2066,dem_nondest_hb,5.4.4,TRUE
2066,dem_nondest_lb,5.4.2,FALSE
2066,dem_nondest_lb,5.4.4,FALSE
2066,pel_hb,5.4.2,TRUE
2066,pel_hb,5.4.4,TRUE
2066,pel_lb,5.4.2,FALSE
2066,pel_lb,5.4.4,FALSE
2067,art_fish,NA,FALSE
2067,dem_dest,5.4.4,TRUE
2067,dem_nondest_hb,5.4.4,TRUE
2067,dem_nondest_lb,5.4.4,FALSE
2067,pel_hb,5.4.4,TRUE
2067,pel_lb,5.4.4,FALSE
2467,art_fish,5.4.1,TRUE
2467,dem_dest,5.4.2,FALSE
2467,dem_dest,5.4.4,FALSE
2467,dem_nondest_hb,NA,FALSE
2467,dem_nondest_lb,NA,FALSE
2467,pel_hb,5.4.2,FALSE
2467,pel_hb,5.4.4,TRUE
2467,pel_lb,5.4.2,FALSE
2467,pel_lb,5.4.4,FALSE
2469,art_fish,NA,FALSE
2469,dem_dest,5.4.2,FALSE
2469,dem_dest,5.4.4,FALSE
2469,dem_nondest_hb,NA,FALSE
2469,dem_nondest_lb,NA,FALSE
2469,pel_hb,5.4.2,FALSE
2469,pel_hb,5.4.4,TRUE
2469,pel_lb,5.4.2,FALSE
2469,pel_lb,5.4.4,FALSE
2472,art_fish,NA,FALSE
2472,dem_dest,5.4.2,FALSE
2472,dem_dest,5.4.4,FALSE
2472,dem_nondest_hb,NA,FALSE
2472,dem_nondest_lb,NA,FALSE
2472,pel_hb,5.4.2,FALSE
2472,pel_hb,5.4.4,FALSE
2472,pel_lb,5.4.2,FALSE
2472,pel_lb,5.4.4,FALSE
2474,art_fish,5.4.1,FALSE
2474,art_fish,5.4.3,FALSE
