iucn_sid,cat_score,sens,code,stressor
191822,0,0,1.1,direct_human
191822,0,0,1.2,direct_human
191822,0,0,1.3,direct_human
191822,0,0,6.1,direct_human
194309,NA,0,1.1,direct_human
194309,NA,0,1.2,direct_human
194309,NA,0,1.3,direct_human
194309,NA,0,6.1,direct_human
194302,NA,0,6.1,direct_human
194307,NA,0,6.1,direct_human
194299,0.4,0,2.4.3,nutrient
194299,0.4,0,6.1,direct_human
194299,0.4,0,6.3,direct_human
166868,NA,0,1.1,direct_human
166868,NA,0,1.2,direct_human
166868,NA,0,1.3,direct_human
191823,0.4,0,1.1,direct_human
191823,0.4,0,1.2,direct_human
191823,0.4,0,1.3,direct_human
191823,0.4,0,6.1,direct_human
191823,0.4,0,9.1.1,nutrient
191823,0.4,0,9.1.2,nutrient
191823,0.4,0,9.1.2,organic
191823,0.4,0,9.3.1,nutrient
191823,0.4,0,9.3.3,organic
199659,NA,0,6.1,direct_human
199659,NA,0,6.3,direct_human
172363,0,0,6.1,direct_human
194301,NA,0,6.1,direct_human
194301,NA,0,6.3,direct_human
194303,0.2,0,6.1,direct_human
194303,0.2,0,6.3,direct_human
14134431,NA,0,2.4.2,nutrient
14134431,NA,0,9.1.1,nutrient
14134431,NA,0,9.1.2,nutrient
14134431,NA,0,9.1.2,organic
161618,0.2,1,1.1,direct_human
161621,0.4,1,1.1,direct_human
161621,0.4,1,1.2,direct_human
161621,0.4,1,9.3.1,nutrient
61417,0.8,0,1.1,direct_human
61417,0.8,0,1.2,direct_human
61417,0.8,0,1.3,direct_human
61418,0.8,0,1.1,direct_human
61418,0.8,0,1.2,direct_human
61418,0.8,0,1.3,direct_human
61418,0.8,0,6.1,direct_human
39332,0.8,0,1.1,direct_human
39332,0.8,0,1.2,direct_human
39332,0.8,0,1.3,direct_human
39332,0.8,0,6.1,direct_human
161465,0.6,1,1.1,direct_human
161465,0.6,1,2.4.2,nutrient
107604987,0.8,1,1.1,direct_human
161515,NA,1,1.1,direct_human
161598,0.4,1,1.1,direct_human
161598,0.4,1,1.2,direct_human
161660,NA,1,1.1,direct_human
60154,NA,1,1.1,direct_human
161692,0.4,0,2.4.2,nutrient
60171,0.2,0,2.4.3,nutrient
60171,0.2,1,6.1,direct_human
3853,0.4,1,1.1,direct_human
161428,0.8,1,1.1,direct_human
161428,0.8,1,1.3,direct_human
41870,NA,0,9.2.2,organic
60168,0.2,1,2.4.2,nutrient
161648,0,1,6.1,direct_human
195320,0.6,1,9.3.1,nutrient
195320,0.6,1,9.3.3,organic
161540,0.4,1,1.1,direct_human
161540,0.4,1,2.4.2,nutrient
161540,0.4,1,9.2.2,organic
44587,NA,1,9.3.3,organic
64442,0.6,0,6.1,direct_human
39418,0.6,0,4.3,shipping
