iucn_sid,sens,stressor,code
222,TRUE,direct_human,1.1
222,TRUE,direct_human,1.2
222,TRUE,shipping,4.3
222,FALSE,nutrient,9.1.1
222,TRUE,organic,9.2.1
224,TRUE,nutrient,9.1.1
230,TRUE,shipping,4.3
232,TRUE,organic,9.2.1
233,TRUE,direct_human,1.1
233,TRUE,shipping,4.3
235,TRUE,organic,9.2.1
236,TRUE,shipping,4.3
236,TRUE,nutrient,9.1.1
236,TRUE,organic,9.2.1
241,TRUE,organic,9.2.1
242,TRUE,direct_human,1.1
242,TRUE,direct_human,1.2
242,FALSE,nutrient,2.4.3
242,TRUE,shipping,4.3
242,TRUE,nutrient,9.1.1
243,TRUE,direct_human,1.1
243,TRUE,direct_human,1.2
243,FALSE,nutrient,2.4.3
243,TRUE,nutrient,9.1.1
245,TRUE,direct_human,1.1
245,TRUE,direct_human,1.2
245,FALSE,nutrient,2.4.3
245,TRUE,shipping,4.3
245,TRUE,nutrient,9.1.1
908,TRUE,shipping,4.3
1086,TRUE,organic,9.2.1
1308,FALSE,direct_human,1.1
1308,FALSE,direct_human,1.3
1793,TRUE,direct_human,1.1
1793,TRUE,direct_human,1.2
2055,TRUE,direct_human,6.1
2055,TRUE,direct_human,6.3
2055,TRUE,organic,9.2.1
2057,TRUE,organic,9.2.1
2059,FALSE,organic,9.2.1
2060,TRUE,direct_human,6.1
2060,FALSE,organic,9.2.1
2061,TRUE,shipping,4.3
2061,TRUE,nutrient,9.1.2
2061,TRUE,organic,9.1.2
2061,TRUE,organic,9.2.1
2064,TRUE,organic,9.2.1
2066,TRUE,direct_human,6.1
2067,TRUE,organic,9.2.1
2467,TRUE,direct_human,1.2
2467,TRUE,shipping,4.3
2467,FALSE,organic,9.2.1
2472,FALSE,shipping,4.3
2475,TRUE,shipping,4.3
2476,TRUE,shipping,4.3
2476,TRUE,organic,9.2.1
2478,TRUE,shipping,4.3
2621,TRUE,direct_human,1.1
2958,FALSE,direct_human,1.1
2958,FALSE,direct_human,1.2
2958,FALSE,shipping,4.3
2958,FALSE,direct_human,6.1
2958,FALSE,nutrient,9.1.2
2958,FALSE,organic,9.1.2
3590,TRUE,organic,9.2.1
3778,FALSE,shipping,4.3
3853,TRUE,direct_human,1.1
3897,TRUE,direct_human,1.1
3897,TRUE,direct_human,1.2
3897,TRUE,direct_human,1.3
3897,TRUE,direct_human,6.1
3897,TRUE,direct_human,6.3
3897,TRUE,light,9.6.1
3898,TRUE,direct_human,1.1
4160,TRUE,nutrient,2.4.3
4161,FALSE,direct_human,1.1
4161,FALSE,direct_human,1.2
4161,TRUE,direct_human,1.3
4161,TRUE,shipping,4.3
4161,TRUE,direct_human,6.1
4162,TRUE,shipping,4.3
4292,FALSE,shipping,4.3
4615,TRUE,direct_human,1.3
4982,FALSE,direct_human,1.1
4982,FALSE,direct_human,1.2
4982,FALSE,nutrient,9.1.1
4982,FALSE,nutrient,9.1.2
4982,FALSE,organic,9.1.2
4982,FALSE,nutrient,9.3.1
5272,FALSE,organic,9.2.1
5659,FALSE,direct_human,1.1
5659,FALSE,direct_human,1.2
5659,FALSE,direct_human,1.3
5659,FALSE,nutrient,2.4.3
6204,FALSE,shipping,4.3
6335,FALSE,direct_human,1.2
6335,FALSE,shipping,4.3
6335,FALSE,organic,9.3.3
6336,TRUE,organic,9.3.3
6494,TRUE,direct_human,1.2
6494,TRUE,direct_human,1.3
6814,FALSE,direct_human,1.1
6814,FALSE,direct_human,1.2
6814,FALSE,direct_human,1.3
6814,FALSE,nutrient,9.1.1
6814,FALSE,nutrient,9.1.2
6814,FALSE,organic,9.1.2
6814,FALSE,nutrient,9.3.1
6909,TRUE,direct_human,1.1
6909,TRUE,shipping,4.3
6909,FALSE,direct_human,6.1
6909,TRUE,organic,9.2.1
7750,TRUE,direct_human,6.1
7750,TRUE,organic,9.2.1
8005,FALSE,direct_human,1.3
8005,TRUE,direct_human,6.1
8005,TRUE,organic,9.2.1
8010,TRUE,organic,9.2.1
8012,FALSE,shipping,4.3
8012,FALSE,organic,9.2.1
8013,TRUE,direct_human,1.2
8013,TRUE,shipping,4.3
8013,FALSE,organic,9.2.1
8099,TRUE,direct_human,1.2
8099,TRUE,shipping,4.3
8099,TRUE,organic,9.2.1
8153,TRUE,shipping,4.3
9281,TRUE,direct_human,1.2
9461,TRUE,direct_human,6.1
10056,FALSE,direct_human,1.1
10056,FALSE,direct_human,1.2
10056,FALSE,direct_human,1.3
10056,FALSE,direct_human,6.1
10056,FALSE,nutrient,9.1.1
10056,FALSE,nutrient,9.1.2
10056,FALSE,organic,9.1.2
10056,FALSE,nutrient,9.3.1
10057,FALSE,direct_human,1.1
10057,FALSE,direct_human,1.2
10057,FALSE,direct_human,1.3
10060,FALSE,direct_human,1.1
10060,FALSE,direct_human,1.2
