iucn_sid,sens,stressor,code,score_num,category
222,TRUE,direct_human,1.1,3,land-based
222,TRUE,direct_human,1.2,3,land-based
222,FALSE,nutrient,9.1.1,NA,land-based
222,TRUE,organic,9.2.1,3,land-based
224,TRUE,nutrient,9.1.1,3,land-based
232,TRUE,organic,9.2.1,3,land-based
233,TRUE,direct_human,1.1,3,land-based
235,TRUE,organic,9.2.1,3,land-based
236,TRUE,nutrient,9.1.1,3,land-based
236,TRUE,organic,9.2.1,3,land-based
241,TRUE,organic,9.2.1,3,land-based
242,TRUE,direct_human,1.1,3,land-based
242,TRUE,direct_human,1.2,3,land-based
242,FALSE,nutrient,2.4.3,1,land-based
242,TRUE,nutrient,9.1.1,3,land-based
243,TRUE,direct_human,1.1,3,land-based
243,TRUE,direct_human,1.2,3,land-based
243,FALSE,nutrient,2.4.3,1,land-based
243,TRUE,nutrient,9.1.1,3,land-based
245,TRUE,direct_human,1.1,3,land-based
245,TRUE,direct_human,1.2,3,land-based
245,FALSE,nutrient,2.4.3,1,land-based
245,TRUE,nutrient,9.1.1,3,land-based
1086,TRUE,organic,9.2.1,3,land-based
1308,FALSE,direct_human,1.1,NA,land-based
1308,FALSE,direct_human,1.3,NA,land-based
1793,TRUE,direct_human,1.1,3,land-based
1793,TRUE,direct_human,1.2,3,land-based
2055,TRUE,direct_human,6.1,3,land-based
2055,TRUE,direct_human,6.3,3,land-based
2055,TRUE,organic,9.2.1,3,land-based
2057,TRUE,organic,9.2.1,5,land-based
2059,FALSE,organic,9.2.1,1,land-based
2060,TRUE,direct_human,6.1,4,land-based
2060,FALSE,organic,9.2.1,NA,land-based
2061,TRUE,nutrient,9.1.2,3,land-based
2061,TRUE,organic,9.1.2,3,land-based
2061,TRUE,organic,9.2.1,3,land-based
2064,TRUE,organic,9.2.1,3,land-based
2066,TRUE,direct_human,6.1,4,land-based
2067,TRUE,organic,9.2.1,3,land-based
2467,TRUE,direct_human,1.2,3,land-based
2467,FALSE,organic,9.2.1,1,land-based
2476,TRUE,organic,9.2.1,3,land-based
2621,TRUE,direct_human,1.1,6,land-based
2958,FALSE,direct_human,1.1,NA,land-based
2958,FALSE,direct_human,1.2,NA,land-based
2958,FALSE,direct_human,6.1,NA,land-based
2958,FALSE,nutrient,9.1.2,NA,land-based
2958,FALSE,organic,9.1.2,NA,land-based
3590,TRUE,organic,9.2.1,3,land-based
3853,TRUE,direct_human,1.1,3,land-based
