tx1,tx2,area_km2,str
chondrichthyes,chondrichthyes,83129583.12245646,fishing
actinopterygii,actinopterygii,76760966.11890253,fishing
actinopterygii,chondrichthyes,76585788.52114424,fishing
chondrichthyes,actinopterygii,76585788.52114424,fishing
mammalia,mammalia,55233012.62590687,fishing
mammalia,chondrichthyes,53174154.52136925,fishing
chondrichthyes,mammalia,53174154.52136925,fishing
actinopterygii,mammalia,49780715.12166721,fishing
mammalia,actinopterygii,49780715.12166721,fishing
aves,aves,21849552.541035485,fishing
aves,chondrichthyes,19104336.795136344,fishing
chondrichthyes,aves,19104336.795136344,fishing
mammalia,aves,19072822.048012603,fishing
aves,mammalia,19072822.048012603,fishing
reptilia,reptilia,18889938.011646263,fishing
reptilia,chondrichthyes,18441312.41443551,fishing
chondrichthyes,reptilia,18441312.41443551,fishing
reptilia,mammalia,18244679.91825914,fishing
mammalia,reptilia,18244679.91825914,fishing
reptilia,actinopterygii,17138446.714322936,fishing
actinopterygii,reptilia,17138446.714322936,fishing
actinopterygii,aves,15435822.529079754,fishing
aves,actinopterygii,15435822.529079754,fishing
reptilia,aves,11877173.689065121,fishing
aves,reptilia,11877173.689065121,fishing
cnidaria,chondrichthyes,4928571.467243644,fishing
cnidaria,reptilia,4928571.467243644,fishing
chondrichthyes,cnidaria,4928571.467243644,fishing
reptilia,cnidaria,4928571.467243644,fishing
cnidaria,cnidaria,4928571.467243644,fishing
cnidaria,mammalia,4923986.027439883,fishing
mammalia,cnidaria,4923986.027439883,fishing
cnidaria,actinopterygii,4922505.867379231,fishing
actinopterygii,cnidaria,4922505.867379231,fishing
cnidaria,aves,2428677.1868875986,fishing
aves,cnidaria,2428677.1868875986,fishing
plantae,chondrichthyes,193608.42857332274,fishing
plantae,mammalia,193608.42857332274,fishing
plantae,reptilia,193608.42857332274,fishing
chondrichthyes,plantae,193608.42857332274,fishing
mammalia,plantae,193608.42857332274,fishing
reptilia,plantae,193608.42857332274,fishing
plantae,plantae,193608.42857332274,fishing
plantae,actinopterygii,190595.71341147527,fishing
actinopterygii,plantae,190595.71341147527,fishing
plantae,cnidaria,184837.4978152436,fishing
cnidaria,plantae,184837.4978152436,fishing
plantae,aves,41693.35811040845,fishing
aves,plantae,41693.35811040845,fishing
myxini,chondrichthyes,7810.354887011432,fishing
myxini,reptilia,7810.354887011432,fishing
chondrichthyes,myxini,7810.354887011432,fishing
reptilia,myxini,7810.354887011432,fishing
myxini,myxini,7810.354887011432,fishing
