eez,impact,adj_r2,term,estimate,std.error,statistic,p.value,sig
1,all,0.011162114998945483,year,0.25109647694905857,0.2380215218446359,1.0549318187829968,0.318951804845221,FALSE
1,climate,0.43764403181933687,year,0.5475499300243409,0.1847646253103102,2.9634997992972774,0.015869052726238366,TRUE
1,fishing,0.5770091174858863,year,-0.35993591647082623,0.09406699513416608,-3.8263783801901616,0.004050130891942251,TRUE
1,land-based,0.4252873563218619,year,1.0460776154248438e-18,6.039531928586761e-19,1.7320508075691619,0.1173068030141858,FALSE
1,ocean,0.9435954875883954,year,0.058325760680752195,0.004496040864786347,12.9726936286474,3.953713804378917e-7,TRUE
2,all,0.14281266616340837,year,0.41800552134919716,0.2560041179583473,1.6328078027917035,0.13694343073983486,FALSE
2,climate,0.7626258711584679,year,0.4852905643818827,0.08431540402002037,5.755657225655377,2.743351163004709e-4,TRUE
2,fishing,-0.0749203011048516,year,-0.11849811832744525,0.21526785343485222,-0.5504682489125439,0.5953948619535909,FALSE
2,land-based,0.5098039215686501,year,2.0921552308496876e-18,1.2079063857173523e-18,1.7320508075691619,0.1173068030141858,FALSE
2,ocean,0.8987792534055165,year,0.0791107790385638,0.008348569374021215,9.475968335932853,5.590355726694759e-6,TRUE
3,all,0.8060410323034877,year,0.9315006007014124,0.1427894510299622,6.523595363539503,1.0843782560880346e-4,TRUE
3,climate,0.8044163926446805,year,0.9490483475359773,0.14621691305159348,6.490687894642531,1.1266490231736268e-4,TRUE
3,fishing,0.29238785083610597,year,-0.03269087148932632,0.014430509769301868,-2.265399629808633,0.049735701724248724,TRUE
3,land-based,0.45454545454547723,year,-7.845582115686328e-19,4.5296489464400715e-19,-1.7320508075691616,0.11730680301418583,FALSE
3,ocean,0.976058805766808,year,0.020498845808903148,0.0010139869035486217,20.21608537266498,8.258308289427058e-9,TRUE
4,all,0.035468182123285064,year,0.4133336004560338,0.3534283832751133,1.1694974711023407,0.27224244168320805,FALSE
4,climate,-0.004770381697900339,year,0.347959190559733,0.35652554465637887,0.9759726779047427,0.35457967152566916,FALSE
4,fishing,NaN,year,0,0,NaN,NaN,NA
4,land-based,NaN,year,0,0,NaN,NaN,NA
4,ocean,0.9440834331106165,year,0.06537440989630076,0.0050163809284479,13.032186117597735,3.801400081159793e-7,TRUE
5,all,0.7915090338198622,year,1.606028634489809,0.2572901377354678,6.242091704817085,1.510547287895412e-4,TRUE
5,climate,0.7929609698329716,year,2.664103556269737,0.42496624057848187,6.2689769254217635,1.4628499322219836e-4,TRUE
5,fishing,0.5445774169191806,year,-0.35809665872074603,0.09948039534206549,-3.5996706435416037,0.0057512672337195385,TRUE
5,land-based,0.5980931969743808,year,-0.00558595994620058,0.0014016951117367482,-3.985146198647568,0.003180966395354325,TRUE
5,ocean,0.9512412953150202,year,0.2951614695041221,0.021078038139932254,14.003270491523589,2.0466949302463236e-7,TRUE
6,all,0.4920724878480154,year,0.6201163778536662,0.18968284436234592,3.2692275357758502,0.009694678915125212,TRUE
6,climate,0.436024499099153,year,0.7706356070063518,0.2608017164580273,2.954871683639305,0.016093034112871385,TRUE
6,fishing,-0.0655328881172812,year,-0.05061605235186168,0.0815777552784673,-0.6204639019434007,0.5503388360361214,FALSE
6,land-based,0.7768279421206619,year,0.023447660612571294,0.003918380395935468,5.984018457445716,2.0651082665676518e-4,TRUE
6,ocean,0.9557733155659918,year,0.17188928419798294,0.0116657066615849,14.734579668800801,1.3171837381996203e-7,TRUE
7,all,0.08694671576684088,year,0.2611508940379045,0.18690560222670868,1.3972341702264193,0.1958314889577212,FALSE
7,climate,0.5607149236047382,year,0.8230480912777385,0.2218445516709922,3.710021657409755,0.004844820101151861,TRUE
7,fishing,0.15319596062454655,year,-0.324001474542485,0.19331377462375757,-1.6760392536594049,0.12804818893842757,FALSE
7,land-based,0.9760474896683261,year,0.06603651794633243,0.003267322289775554,20.21120418790053,8.275923213868164e-9,TRUE
7,ocean,0.9454248067866289,year,0.2681648090218796,0.02031589869529983,13.199751241323165,3.406167653423471e-7,TRUE
8,all,0.6886067361430883,year,1.1054898520503047,0.22994274852825777,4.8076743412260745,9.633638279838033e-4,TRUE
8,climate,0.6909268663274061,year,0.9272776306907063,0.19187645654652968,4.832680608034073,9.304323990224146e-4,TRUE
8,fishing,0.17043675465223995,year,0.12724896416914028,0.07280842429596425,1.7477230883596206,0.1144529660667784,FALSE
8,land-based,0.3655425862244085,year,0.009953036385238288,0.0038276665090471703,2.6002882857513936,0.028724642277547653,TRUE
8,ocean,0.32016070458901014,year,0.0773160611987754,0.03235758194110476,2.38942642066089,0.0405955422728051,TRUE
9,all,0.9344738479476822,year,1.0893741319979588,0.09090410027220498,11.983773325250633,7.789145495380784e-7,TRUE
9,climate,0.8092663138882877,year,0.6807467481929474,0.10329874444527855,6.590077661142978,1.0041606661520984e-4,TRUE
9,fishing,0.8466878195145559,year,0.4181232107526467,0.05576146538085446,7.498425801704417,3.6988459456690784e-5,TRUE
9,land-based,-0.05326713697463403,year,5.293805985519521e-4,7.52986120826458e-4,0.703041641685132,0.4998101890101845,FALSE
9,ocean,0.957366312706083,year,0.10080749552549896,0.006712207026319214,15.018531927013427,1.1160690816998441e-7,TRUE
10,all,0.3603167389712729,year,-0.6805388465256103,0.2642448558373528,-2.5754100089066387,0.02992106548554457,TRUE
10,climate,0.437980938339082,year,-0.8454188101257009,0.28510418793057246,-2.965297761012105,0.015822782691127125,TRUE
10,fishing,0.2702529631384829,year,0.06026350681825149,0.027787496840784104,2.1687274375071413,0.058234048560706686,FALSE
10,land-based,0.6666666666666419,year,5.039229429475726e-4,1.0996500145153688e-4,4.582575694955622,0.0013229505842679054,TRUE
10,ocean,0.9495874408343612,year,0.11000585950057214,0.007994070026600608,13.760932683166768,2.3796756501648624e-7,TRUE
11,all,-0.037149755719634525,year,0.1277927176305075,0.15951559760277734,0.8011299180205215,0.44369131196874634,FALSE
11,climate,-0.1073400743517905,year,0.03295988701641319,0.18826716603408478,0.17506975704115063,0.8649000979386405,FALSE
11,fishing,-0.10760830710038283,year,0.023284974706548524,0.13801926134127387,0.1687081533422559,0.8697568914921858,FALSE
11,land-based,0.6612696812667286,year,-0.006919511844608283,0.0015274447325986948,-4.5301225615121785,0.001425946568630161,TRUE
11,ocean,0.9649202652231649,year,0.09926793643550236,0.005974525542616454,16.615199939714284,4.6271228428313636e-8,TRUE
12,all,0.5531947464166557,year,0.3765500094725815,0.10293818409085576,3.658020712122037,0.005251645386486876,TRUE
12,climate,-0.04428862588508964,year,0.05834487757317756,0.07688302105610607,0.7588785764622836,0.46733356701938433,FALSE
