code,desc
1,Residential & commercial development
1.1,Residential & commercial development: Housing & urban areas
1.2,Residential & commercial development: Commercial & industrial areas
1.3,Residential & commercial development: Tourism & recreation areas
2,Agriculture & aquaculture
2.1,Agriculture & aquaculture: Annual & perennial non-timber crops
2.1.1,Agriculture & aquaculture: Annual & perennial non-timber crops: Shifting agriculture
2.1.2,Agriculture & aquaculture: Annual & perennial non-timber crops: Small-holder farming
2.1.3,Agriculture & aquaculture: Annual & perennial non-timber crops: Agro-industry farming
2.1.4,Agriculture & aquaculture: Annual & perennial non-timber crops: Scale Unknown/Unrecorded
2.2,Agriculture & aquaculture: Wood & pulp plantations
2.2.1,Agriculture & aquaculture: Wood & pulp plantations: Small-holder plantations
2.2.2,Agriculture & aquaculture: Wood & pulp plantations: Agro-industry plantations
2.2.3,Agriculture & aquaculture: Wood & pulp plantations: Scale Unknown/Unrecorded
2.3,Agriculture & aquaculture: Livestock farming & ranching
2.3.1,Agriculture & aquaculture: Livestock farming & ranching: Nomadic grazing
2.3.2,"Agriculture & aquaculture: Livestock farming & ranching: Small-holder grazing, ranching or farming"
2.3.3,"Agriculture & aquaculture: Livestock farming & ranching: Agro-industry grazing, ranching or farming"
2.3.4,Agriculture & aquaculture: Livestock farming & ranching: Scale Unknown/Unrecorded
2.4,Agriculture & aquaculture: Marine & freshwater aquaculture
2.4.1,Agriculture & aquaculture: Marine & freshwater aquaculture: Subsistence/artisanal aquaculture
2.4.2,Agriculture & aquaculture: Marine & freshwater aquaculture: Industrial aquaculture
2.4.3,Agriculture & aquaculture: Marine & freshwater aquaculture: Scale Unknown/Unrecorded
3,Energy production & mining
3.1,Energy production & mining: Oil & gas drilling
3.2,Energy production & mining: Mining & quarrying
3.3,Energy production & mining: Renewable energy
4,Transportation & service corridors
4.1,Transportation & service corridors: Roads & railroads
4.2,Transportation & service corridors: Utility & service lines
4.3,Transportation & service corridors: Shipping lanes
4.4,Transportation & service corridors: Flight paths
5,Biological resource use
5.1,Biological resource use: Hunting & collecting terrestrial animals
5.1.1,Biological resource use: Hunting & collecting terrestrial animals: Intentional use (species being assessed is the target)
5.1.2,Biological resource use: Hunting & collecting terrestrial animals: Unintentional effects (species being assessed is not the target)
5.1.3,Biological resource use: Hunting & collecting terrestrial animals: Persecution/control
5.1.4,Biological resource use: Hunting & collecting terrestrial animals: Motivation Unknown/Unrecorded
5.2,Biological resource use: Gathering terrestrial plants
5.2.1,Biological resource use: Gathering terrestrial plants: Intentional use (species being assessed is the target)
5.2.2,Biological resource use: Gathering terrestrial plants: Unintentional effects (species being assessed is not the target)
5.2.3,Biological resource use: Gathering terrestrial plants: Persecution/control
5.2.4,Biological resource use: Gathering terrestrial plants: Motivation Unknown/Unrecorded
5.3,Biological resource use: Logging & wood harvesting
5.3.1,Biological resource use: Logging & wood harvesting: Intentional use: subsistence/small scale (species being assessed is the target [harvest]
5.3.2,Biological resource use: Logging & wood harvesting: Intentional use: large scale (species being assessed is the target)[harvest]
5.3.3,Biological resource use: Logging & wood harvesting: Unintentional effects: subsistence/small scale (species being assessed is not the target)[harvest]
5.3.4,Biological resource use: Logging & wood harvesting: Unintentional effects: large scale (species being assessed is not the target)[harvest]
5.3.5,Biological resource use: Logging & wood harvesting: Motivation Unknown/Unrecorded
5.4,Biological resource use: Fishing & harvesting aquatic resources
5.4.1,Biological resource use: Fishing & harvesting aquatic resources: Intentional use: subsistence/small scale (species being assessed is the target)[harvest]
5.4.2,Biological resource use: Fishing & harvesting aquatic resources: Intentional use: large scale (species being assessed is the target)[harvest]
5.4.3,Biological resource use: Fishing & harvesting aquatic resources: Unintentional effects: subsistence/small scale (species being assessed is not the target)[harvest]
5.4.4,Biological resource use: Fishing & harvesting aquatic resources: Unintentional effects: large scale (species being assessed is not the target)[harvest]
5.4.5,Biological resource use: Fishing & harvesting aquatic resources: Persecution/control
5.4.6,Biological resource use: Fishing & harvesting aquatic resources: Motivation Unknown/Unrecorded
