range_km2,eez,iucn_sid
12201631.75976385,0,10030
117952.6014723256,14,10030
1555773.9688913154,16,10030
5546.888893764089,17,10030
72747.02878477682,28,10030
14453.173518028701,29,10030
3275.5636441971265,30,10030
502250.18129904446,31,10030
203098.9179228532,41,10030
157040.17924705305,55,10030
85986.38373335403,58,10030
3311.3669208871815,59,10030
420.90687413977173,60,10030
97967.38429832744,61,10030
204518.8236818993,62,10030
184898.6253838117,63,10030
128528.54157036802,64,10030
323183.997826398,67,10030
54916.12126835279,68,10030
22483.587640246333,76,10030
380449.163653138,80,10030
6234.13725831066,81,10030
10813.464294808693,82,10030
126815.22354153743,84,10030
122208.82572959796,88,10030
23849.351827153692,100,10030
467774.2408247245,101,10030
536899.8986746448,102,10030
32575.746780527366,108,10030
55824.30207209739,110,10030
8453.06746889581,112,10030
3064.2369574747313,125,10030
314.37027797705167,126,10030
141843.86931428986,129,10030
26573.89422264242,130,10030
159362.15306778692,131,10030
142515.3991724952,132,10030
13926.603306825758,133,10030
147974.9629939419,135,10030
173706.1702485679,139,10030
308032.2236629137,162,10030
1570602.6402163333,163,10030
32649.97309861007,166,10030
90613.73954640077,171,10030
203453.4577706563,172,10030
60056.94854466582,173,10030
53565.20231609105,175,10030
26523.245703434208,176,10030
37022.33970609529,177,10030
177560.6991315346,179,10030
263903.36917932576,180,10030
89433.97778582445,181,10030
345865.8133452052,182,10030
75967.57763080031,183,10030
532419.2489039879,184,10030
211.32668672239527,185,10030
7236.629150486793,186,10030
52983.6173484389,187,10030
105.66334336119763,188,10030
45423.01212656225,198,10030
6832.314041787791,199,10030
304136.6519789689,200,10030
8453.06746889581,206,10030
90253.96022508747,209,10030
293234.9893322747,210,10030
99652.75830481946,214,10030
13224.509688739487,216,10030
189095.46858401998,218,10030
12892.674368902546,222,10030
144597.22901581836,223,10030
648810.4780314617,224,10030
2882.600796725812,227,10030
8679.239415455932,228,10030
8980.510942347315,244,10030
8905.411374612104,245,10030
316.9900300835929,250,10030
57480.85878849151,255,10030
10038.017619313776,267,10030
230.5382074187193,0,10056
230.5382074187193,102,10056
967271.9355984817,0,10057
497483.10526290856,16,10057
469788.83033557306,162,10057
2775018.9219180853,0,10060
43314.11148240874,5,10060
65095.605519526616,7,10060
57976.86523036649,14,10060
350834.61031991773,15,10060
264808.93024907063,16,10060
249994.2308794255,17,10060
19759.045208543957,20,10060
40152.943759972244,206,10060
92244.09875432553,209,10060
196572.24169636925,210,10060
1280893.8376335585,216,10060
7419.138567186248,231,10060
544.908482246758,237,10060
105408.35413516754,255,10060
0,NA,10060
645460.688002659,0,10063
645460.688002659,16,10063
229898.11089593646,0,10064
93787.13285608102,41,10064
115545.92235972198,102,10064
20565.055680133446,202,10064
268756.0237184085,0,10065
53963.40467879699,20,10065
196301.53395140189,210,10065
18491.085088209587,255,10065
2441506.9871196197,0,10066
11753.082125406292,55,10066
1088.0704588904712,108,10066
149697.88675477955,110,10066
12752.95427177391,111,10066
83334.32117002629,112,10066
2911.4180698977657,113,10066
14581.541427931455,114,10066
21535.237294229562,115,10066
14651.401425324311,116,10066
4320.8448291774675,117,10066
4081.5741094885893,118,10066
2078.336837037394,119,10066
5839.427908385314,120,10066
1019.9569041203991,121,10066
1936.8702138371289,122,10066
1740.3887901014716,123,10066
1720.3040197526382,124,10066
4120.870387937694,125,10066
23537.60129813417,126,10066
3946.220243302929,127,10066
13040.253756989949,129,10066
3750.6120566237287,130,10066
67963.36106035097,131,10066
38441.372235170194,132,10066
71302.67202050266,133,10066
249113.99414594352,135,10066
121543.40867564241,139,10066
8415.517667708633,140,10066
658916.6091014313,163,10066
6123.234423332432,164,10066
21209.514748726797,166,10066
54324.930496266294,167,10066
58843.13000040643,168,10066
47351.14983915077,169,10066
637725.4327451822,171,10066
207.8336818143316,220,10066
3305.2541764686284,221,10066
2006.7302805082718,244,10066
1297.6506526058736,245,10066
3698.217017641917,248,10066
928.265567795404,249,10066
2073.9705856258342,250,10066
3275.5636441971265,255,10066
0,NA,10066
1653901.158126202,0,10069
4469.297446448795,57,10069
16584.77866889252,58,10069
3311.3669208871815,59,10069
209.58018741737646,60,10069
72819.5085783624,61,10069
63775.250324784036,62,10069
62012.15705473887,63,10069
32156.586421437678,64,10069
5088.432240677043,65,10069
25339.990879693083,66,10069
66979.20745496372,67,10069
8424.250189425831,68,10069
38182.88998691246,76,10069
2246.8742309555814,77,10069
2459.074167330486,78,10069
5105.0240027719865,79,10069
131639.06082398052,80,10069
7585.92945550139,81,10069
6692.593903721986,82,10069
16819.683102530696,84,10069
10819.577075440897,176,10069
39029.94322995805,177,10069
140261.53892503184,179,10069
372786.38814397965,180,10069
107819.39953067283,181,10069
87835.92885716057,182,10069
28207.74643153898,183,10069
146114.0655754494,184,10069
105.66334336119763,185,10069
3855.402162928469,186,10069
44319.22319282069,187,10069
105.66334336119763,188,10069
36075.7358735541,193,10069
12011.564359493468,194,10069
36123.7646898591,214,10069
2882.600796725812,227,10069
8679.239415455932,228,10069
4966.177137976289,255,10069
0,NA,10069
6718877.888769192,0,10070
67197.52012552287,7,10070
8589.29458473398,8,10070
6326.701847437178,9,10070
13565.077487781951,13,10070
87415.02198813795,14,10070
351468.59038008493,15,10070
19991.329905820658,16,10070
263811.677841131,17,10070
241712.32053874282,20,10070
37651.953540043025,21,10070
46974.77873192812,24,10070
234985.6698765299,25,10070
44723.53828577463,26,10070
6073.45912386111,28,10070
2610.14655245342,29,10070
1581.4571455099008,30,10070
64139.39595104211,31,10070
2514.088971014891,32,10070
2424.144140292941,33,10070
599.0500299806274,35,10070
418.2871220332305,36,10070
16500.94658888715,37,10070
35942.12852084402,40,10070
93787.13285608102,41,10070
150062.9056464352,42,10070
11065.833777982478,43,10070
1824.2208638088168,44,10070
93535.63666251286,73,10070
39105.91606151633,102,10070
18061.445714395708,163,10070
24799.44865515591,202,10070
216120.83339699055,203,10070
59936.43996902076,204,10070
219939.55912479942,205,10070
382248.9335666296,206,10070
386238.8162733687,207,10070
623.5010517410209,208,10070
814037.3832037658,209,10070
395667.30485712946,210,10070
2076774.5909313716,216,10070
7419.138567186248,231,10070
544.908482246758,237,10070
8867.86158916999,247,10070
160999.4982382926,255,10070
0,NA,10070
526521.3132027553,0,10072
45842.17252658911,129,10072
21976.22891352606,130,10072
22478.348096670587,131,10072
20425.335548365667,132,10072
594.6837785690674,133,10072
20245.44588534726,134,10072
220269.64787378968,135,10072
16338.521926791462,136,10072
40341.56590928145,137,10072
93898.03569027201,138,10072
23900.000366830485,163,10072
211.32668672239527,224,10072
0,NA,10072
287846.1588515565,0,10074
62944.78887709484,45,10074
272.454244272392,46,10074
29660.835693125486,47,10074
11703.306832232995,48,10074
22487.953871189307,49,10074
83948.21641575846,50,10074
26373.919805020243,53,10074
3587.314170067637,54,10074
63.74730335851192,79,10074
18001.191412796245,191,10074
23195.287009233725,214,10074
103.0435912546564,215,10074
5504.099626151985,255,10074
0,NA,10074
44592.55066312799,0,10077
44592.55066312799,16,10077
1519048.5346299596,0,10082
1088.0704588904712,108,10082
149486.56006805715,110,10082
12647.290928412713,111,10082
83228.65782666509,112,10082
2911.4180698977657,113,10082
14581.541427931455,114,10082
19316.307083644413,115,10082
