scientific,common,order,family,iucn,seabird_all,seabird_pelagic,seabird_coastal
Aethia cristatella,Crested Auklet,CHARADRIIFORMES,Alcidae,LC,1,1,0
Aethia psittacula,Parakeet Auklet,CHARADRIIFORMES,Alcidae,LC,1,1,0
Aethia pusilla,Least Auklet,CHARADRIIFORMES,Alcidae,LC,1,1,0
Aethia pygmaea,Whiskered Auklet,CHARADRIIFORMES,Alcidae,LC,1,1,0
Alca torda,Razorbill,CHARADRIIFORMES,Alcidae,NT,1,1,0
Alle alle,Little Auk,CHARADRIIFORMES,Alcidae,LC,1,1,0
Anous albivittus,Grey Noddy,CHARADRIIFORMES,Laridae,LC,1,0,1
Anous ceruleus,Blue Noddy,CHARADRIIFORMES,Laridae,LC,1,0,1
Anous minutus,Black Noddy,CHARADRIIFORMES,Laridae,LC,1,0,1
Anous stolidus,Brown Noddy,CHARADRIIFORMES,Laridae,LC,1,0,1
Anous tenuirostris,Lesser Noddy,CHARADRIIFORMES,Laridae,LC,1,0,1
Aphrodroma brevirostris,Kerguelen Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Aptenodytes forsteri,Emperor Penguin,SPHENISCIFORMES,Spheniscidae,NT,1,1,0
Aptenodytes patagonicus,King Penguin,SPHENISCIFORMES,Spheniscidae,LC,1,1,0
Ardenna bulleri,Buller's Shearwater,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Ardenna carneipes,Flesh-footed Shearwater,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Ardenna creatopus,Pink-footed Shearwater,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Ardenna gravis,Great Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Ardenna grisea,Sooty Shearwater,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Ardenna pacifica,Wedge-tailed Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Ardenna tenuirostris,Short-tailed Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Aythya marila,Greater Scaup,ANSERIFORMES,Anatidae,LC,1,0,1
Brachyramphus brevirostris,Kittlitz's Murrelet,CHARADRIIFORMES,Alcidae,NT,1,1,0
Brachyramphus marmoratus,Marbled Murrelet,CHARADRIIFORMES,Alcidae,EN,1,1,0
Brachyramphus perdix,Long-billed Murrelet,CHARADRIIFORMES,Alcidae,NT,1,1,0
Bucephala clangula,Common Goldeneye,ANSERIFORMES,Anatidae,LC,1,0,1
Bucephala islandica,Barrow's Goldeneye,ANSERIFORMES,Anatidae,LC,1,0,1
Bulweria bulwerii,Bulwer's Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Bulweria fallax,Jouanin's Petrel,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Calonectris borealis,Cory's Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Calonectris diomedea,Scopoli's Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Calonectris edwardsii,Cape Verde Shearwater,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Calonectris leucomelas,Streaked Shearwater,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Catharacta antarctica,Brown Skua,CHARADRIIFORMES,Stercorariidae,LC,1,1,0
Catharacta chilensis,Chilean Skua,CHARADRIIFORMES,Stercorariidae,LC,1,1,0
Catharacta maccormicki,South Polar Skua,CHARADRIIFORMES,Stercorariidae,LC,1,1,0
Catharacta skua,Great Skua,CHARADRIIFORMES,Stercorariidae,LC,1,1,0
Cepphus carbo,Spectacled Guillemot,CHARADRIIFORMES,Alcidae,LC,1,1,0
Cepphus columba,Pigeon Guillemot,CHARADRIIFORMES,Alcidae,LC,1,1,0
Cepphus grylle,Black Guillemot,CHARADRIIFORMES,Alcidae,LC,1,1,0
Cerorhinca monocerata,Rhinoceros Auklet,CHARADRIIFORMES,Alcidae,LC,1,1,0
Chlidonias albostriatus,Black-fronted Tern,CHARADRIIFORMES,Laridae,EN,1,0,1
Chlidonias niger,Black Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Clangula hyemalis,Long-tailed Duck,ANSERIFORMES,Anatidae,VU,1,0,1
Creagrus furcatus,Swallow-tailed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Daption capense,Cape Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Diomedea amsterdamensis,Amsterdam Albatross,PROCELLARIIFORMES,Diomedeidae,EN,1,1,0
Diomedea antipodensis,Antipodean Albatross,PROCELLARIIFORMES,Diomedeidae,EN,1,1,0
Diomedea dabbenena,Tristan Albatross,PROCELLARIIFORMES,Diomedeidae,CR,1,1,0
Diomedea epomophora,Southern Royal Albatross,PROCELLARIIFORMES,Diomedeidae,VU,1,1,0
Diomedea exulans,Wandering Albatross,PROCELLARIIFORMES,Diomedeidae,VU,1,1,0
Diomedea sanfordi,Northern Royal Albatross,PROCELLARIIFORMES,Diomedeidae,EN,1,1,0
Eudyptes chrysocome,Southern Rockhopper Penguin,SPHENISCIFORMES,Spheniscidae,VU,1,1,0
Eudyptes chrysolophus,Macaroni Penguin,SPHENISCIFORMES,Spheniscidae,VU,1,1,0
Eudyptes moseleyi,Northern Rockhopper Penguin,SPHENISCIFORMES,Spheniscidae,EN,1,1,0
Eudyptes pachyrhynchus,Fiordland Penguin,SPHENISCIFORMES,Spheniscidae,VU,1,1,0
Eudyptes robustus,Snares Penguin,SPHENISCIFORMES,Spheniscidae,VU,1,1,0
Eudyptes schlegeli,Royal Penguin,SPHENISCIFORMES,Spheniscidae,NT,1,1,0
Eudyptes sclateri,Erect-crested Penguin,SPHENISCIFORMES,Spheniscidae,EN,1,1,0
Eudyptula minor,Little Penguin,SPHENISCIFORMES,Spheniscidae,LC,1,1,0
Fratercula arctica,Atlantic Puffin,CHARADRIIFORMES,Alcidae,VU,1,1,0
Fratercula cirrhata,Tufted Puffin,CHARADRIIFORMES,Alcidae,LC,1,1,0
Fratercula corniculata,Horned Puffin,CHARADRIIFORMES,Alcidae,LC,1,1,0
Fregata andrewsi,Christmas Frigatebird,SULIFORMES,Fregatidae,CR,1,1,0
Fregata aquila,Ascension Frigatebird,SULIFORMES,Fregatidae,VU,1,1,0
Fregata ariel,Lesser Frigatebird,SULIFORMES,Fregatidae,LC,1,1,0
Fregata magnificens,Magnificent Frigatebird,SULIFORMES,Fregatidae,LC,1,1,0
Fregata minor,Great Frigatebird,SULIFORMES,Fregatidae,LC,1,1,0
Fregetta grallaria,White-bellied Storm-petrel,PROCELLARIIFORMES,Oceanitidae,LC,1,1,0
Fregetta maoriana,New Zealand Storm-petrel,PROCELLARIIFORMES,Oceanitidae,CR,1,1,0
Fregetta tropica,Black-bellied Storm-petrel,PROCELLARIIFORMES,Oceanitidae,LC,1,1,0
Fulmarus glacialis,Northern Fulmar,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Fulmarus glacialoides,Southern Fulmar,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Garrodia nereis,Grey-backed Storm-petrel,PROCELLARIIFORMES,Oceanitidae,LC,1,1,0
Gavia adamsii,Yellow-billed Loon,GAVIIFORMES,Gaviidae,NT,1,0,1
Gavia arctica,Arctic Loon,GAVIIFORMES,Gaviidae,LC,1,0,1
Gavia immer,Common Loon,GAVIIFORMES,Gaviidae,LC,1,0,1
Gavia pacifica,Pacific Loon,GAVIIFORMES,Gaviidae,LC,1,0,1
Gavia stellata,Red-throated Loon,GAVIIFORMES,Gaviidae,LC,1,0,1
Gelochelidon macrotarsa,Australian Gull-billed Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Gelochelidon nilotica,Common Gull-billed Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Gulosus aristotelis,European Shag,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Gygis alba,Common White Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Gygis microrhyncha,Little White Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Halobaena caerulea,Blue Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Histrionicus histrionicus,Harlequin Duck,ANSERIFORMES,Anatidae,LC,1,0,1
Hydrobates castro,Band-rumped Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,LC,1,1,0
Hydrobates cheimomnestes,Ainley's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,VU,1,1,0
Hydrobates furcatus,Fork-tailed Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,LC,1,1,0
Hydrobates homochroa,Ashy Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,EN,1,1,0
Hydrobates hornbyi,Ringed Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,DD,1,1,0
Hydrobates jabejabe,Cape Verde Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,LC,1,1,0
Hydrobates leucorhous,Leach's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,VU,1,1,0
Hydrobates macrodactylus,Guadalupe Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,CR(PE),1,1,0
Hydrobates markhami,Markham's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,DD,1,1,0
