iucn_sid,subpop,poly_km2
62291168,NA,9829.986855456764
22693845,NA,1655740.645351571
22693842,NA,15100843.490833579
22735615,NA,956206.139205083
22727487,NA,22585025.728002913
22693770,NA,46401597.730386436
22693759,NA,28537974.32758609
22693839,NA,109967.509589497
22725033,NA,1943085.128140426
62290750,NA,311.43667458150935
22693814,NA,480800.22064508585
22693793,NA,16351827.571915664
22693836,NA,1266391.618118921
22693767,NA,5396919.968620976
22693832,NA,4811331.655741312
22693764,NA,17838317.193508234
62169677,NA,13778722.808119403
22693872,NA,4627324.646338633
22693777,NA,16664790.807719111
22693774,NA,966205.6039177413
22693780,NA,14469.491974082084
22694764,NA,31615737.687750127
22694782,NA,40459558.53185911
22694787,NA,22014949.558171563
22679978,NA,219432.2847374605
22689714,NA,28501967.683442853
22727265,NA,14445879.67510648
22727255,NA,3858090.3531527156
22695363,NA,5134943.646040501
61709141,NA,9384031.074567268
61709172,NA,76450.955201687
22693709,NA,1291070.2473749716
22680427,NA,14175646.461707937
62030970,NA,5441829.978191094
22693690,NA,130531.69130937014
22694469,NA,10822470.826589236
61650582,NA,14363969.715572584
22683112,NA,2739779.011275758
22683106,NA,146.64036663056453
22683099,NA,858.5531861183147
22694493,NA,4544666.528130216
22697879,NA,136305092.70286533
22679846,NA,3619491.7615151554
22694081,NA,1369039.5879983387
22696977,NA,860382.3067741082
22692535,NA,590995.5247028086
22696974,NA,22002041.420259953
22696926,NA,8505004.789834926
22729692,NA,2494974.1366231036
22696938,NA,7533663.443421036
22697037,NA,1110454.4576570024
22696916,NA,580944.3897092278
22696980,NA,4099474.3142016656
22695036,NA,12522294.387825998
22697211,NA,52752054.41832893
22693520,NA,2533948.276223018
22697702,NA,5889190.752999987
22728621,NA,2207239.5167859914
22696391,NA,8034280.027692931
22696495,NA,33926153.706354775
22697805,NA,853439.1775008636
22696453,NA,46898896.02490451
22697776,NA,1237828.6257154418
22697782,NA,3482086.870346077
22697797,NA,218967.41161218498
22692778,NA,85822.05366537686
22678632,NA,49330.85572395579
45354964,NA,92354733.0287447
22683399,NA,3837189.1931166705
22725660,NA,1216308.422652253
22725672,NA,24043.137192389364
22696354,NA,8273511.567125348
22694934,NA,10848787.836187365
22694931,NA,14508014.340128286
22697742,NA,4236549.837544857
22698465,NA,75851984.34141295
22728808,NA,1598996.3641777148
22698459,NA,191838607.6525739
22683422,NA,134276.0766847038
22692913,NA,40202890.585920244
22698398,NA,83986961.91461298
22698393,NA,51416850.406193554
22693102,NA,5609482.86086658
62026537,NA,5834872.385640005
62026481,NA,14869778.497581877
22729148,NA,28460926.47658502
22697847,NA,5436575.312359542
22697834,NA,22818831.589137107
22697842,NA,12626928.932489458
22697839,NA,6785817.150565405
22680153,NA,10083319.79099856
22694127,NA,13127791.617348902
22694148,NA,3439738.604442686
22694152,NA,3822399.386609335
22694132,NA,12608507.89322714
22694140,NA,1401430.3768659588
22694821,NA,66381046.04344194
22692146,NA,20832180.117323402
22692167,NA,2225901.749737527
22692151,NA,1728477.4136501802
22694830,NA,3989193.757676171
62015238,NA,667536.2411368795
22693656,NA,24.73465356928565
22693663,NA,812087.4595605851
22693669,NA,437048.97665973153
22693647,NA,867914.608248627
22693627,NA,140517.07106508873
22733462,NA,12169803.337423857
22725856,NA,278326.499742118
22683249,NA,7076437.931750173
22695105,NA,36161.24728487648
22695121,NA,52761.9932371572
22695115,NA,18331524.507157147
22695094,NA,8840397.205415856
22695091,NA,5585453.970237897
22698102,NA,75697806.65926874
22680423,NA,11164772.218532639
22698572,NA,19594360.107983224
22698562,NA,347898.5636230711
22698530,NA,78431.58701179174
22698543,NA,12040992.525238423
22698548,NA,22464440.648126658
22698557,NA,7927238.2329342915
22698485,NA,2556397.2764297253
22698520,NA,19566410.505283576
22735624,NA,736937.1848993581
22698477,NA,50310627.51116061
22698496,NA,11745531.824994745
22698535,NA,13675265.591116112
22692425,NA,2532556.070303535
22697314,NA,8171743.8988120435
22697334,NA,8168174.4584956765
22696589,NA,7046975.787507886
22717424,NA,11900668.987848511
22680163,NA,14958086.43321522
22680157,NA,29250560.83377032
22702103,NA,24111.68070170216
22694038,NA,959143.7525765849
22693185,NA,887016.7663265947
22706033,NA,4803477.780893432
22705916,NA,12981520.53069988
22705999,NA,95101.33817931815
22694321,NA,6058233.573562185
22704484,NA,2667021.5560866874
22704604,NA,767767.194052394
22712266,NA,4764528.413020235
22694834,NA,558060.9265170842
62030608,NA,3521562.8517285446
22694357,NA,369061.0388563646
22694455,NA,3760947.320500383
22694286,NA,140744.80288647945
22694282,NA,389151.94297880615
22694384,NA,2442213.000940484
22694413,NA,118958.19882365405
22694308,NA,32266951.643740673
22694387,NA,33691966.61284559
22694289,NA,2745922.2798661897
22694317,NA,13105610.170679586
22694329,NA,4370314.512215986
22694452,NA,2591.469396950392
22694373,NA,21573536.606039632
22694296,NA,1481289.5168270716
22694334,NA,6471916.141651439
22694303,NA,1840156.0653666395
22694340,NA,199174.004374996
22694417,NA,2378141.202578409
22694324,NA,13381546.922825182
22694292,NA,567776.3796844371
22694443,NA,2215897.276856792
62021891,NA,8538944.923723305
22694337,NA,157463.9609887533
22694432,NA,15309360.243366523
22694462,NA,8502803.191783562
22694420,NA,44468353.31038115
22694362,NA,2043799.5581920692
62030590,NA,25780599.39759062
22697713,NA,3076292.1343527036
22693348,NA,10469956.3106418
22692521,NA,1002596.3927137122
22693344,NA,4634264.808558525
22693158,NA,9184830.84539309
22693351,NA,3508614.021445196
22693162,NA,1926237.9490596834
22698436,NA,227464061.63570994
45354823,NA,22948.87417315885
22693154,NA,3016657.1580718127
22693150,NA,55640630.466721766
22680472,NA,8843717.279870588
22680130,NA,1859148.867510931
22728596,NA,24603.85937610035
22693899,NA,3.894299893839784
22683744,NA,4269964.773892302
22696743,NA,5853894.374665257
22697516,NA,2840531.6803420316
22680441,NA,6744994.517367717
22693133,NA,19801071.20879357
22695021,NA,13573105.090010464
22678576,NA,146297.35392522393
22683634,NA,16295521.193754662
22697800,NA,80802.25702358439
22683616,NA,13133154.898438165
22678588,NA,457462.425950798
22678620,NA,1488.6172534764196
22734972,NA,65546824.68598926
22680465,NA,13903839.294769894
22696725,NA,17477574.054303512
22696730,NA,20849.718727292628
22696675,NA,7286305.272108093
22696668,NA,1102841.44634984
22696806,NA,503893.88872991304
22696799,NA,2090157.9520357097
22697648,NA,14862622.684480602
22697654,NA,15368408.037328674
22696792,NA,32274289.62279698
22696779,NA,1187570.0105561148
22685200,NA,142134.6662623234
22698471,NA,29441980.124191415
22693195,NA,3937497.250110398
22693190,NA,42784794.192429885
22693178,NA,17013389.611597437
22693182,NA,102179.92710609884
22697219,NA,7791277.404088599
22698442,NA,1761960.9215999506
22694730,NA,43612393.63907044
22694722,NA,36453712.20408073
22694716,NA,1447946.7216908666
22698288,NA,1187638.328097158
22698300,NA,21746206.826779526
22697608,NA,6565542.055022044
22697599,NA,12289089.48845593
22697611,NA,8104503.233047079
22696649,NA,677593.379734491
22698119,NA,56286348.99091152
22698128,NA,6979667.1881171595
22698114,NA,84159114.99789311
104062546,NA,29593329.83223722
22697885,NA,36003028.995897785
22694938,NA,91737679.49113213
22698453,NA,104837176.15553318
22683213,NA,126305.17404454388
22683227,NA,5091973.149874937
22683230,NA,168034.9815354962
22698280,NA,469397.7599023155
22698293,NA,8731109.511250112
22733989,NA,6522501.953354893
22697590,NA,16248541.535319068
22697595,NA,14141427.797225477
22697619,NA,468456.2353196464
22693949,NA,24038096.217154108
22694791,NA,13310337.494151574
22696776,NA,10605367.976211676
22696810,NA,599089.916223598
22696773,NA,18298756.625746787
22696869,NA,5303.429992429832
22696907,NA,11947.095962286961
22696770,NA,203014.5484850734
22696840,NA,884.0957753841167
22696846,NA,1087.1515314108697
22696853,NA,13812.173296628553
22696766,NA,107865.70730336131
22696802,NA,775297.0382528537
22696861,NA,7234.208272888063
22728950,NA,3735420.422701795
22696876,NA,2064.163956468075
22696788,NA,4510039.584307617
22696887,NA,1348091.1530985618
22696782,NA,4379236.1164037855
22696813,NA,10948.166255442013
22693494,NA,15687868.465176027
22693490,NA,18561734.172107376
22696247,NA,23812.36380753178
22697369,NA,5490439.670263757
22693749,NA,15194251.567595908
22694086,NA,5977374.572439175
22697564,NA,14157612.500141036
22697555,NA,9210399.669359054
22697568,NA,210695.08859312162
22697561,NA,6262402.867651206
22693727,NA,4417306.412450766
22693740,NA,28684530.209221654
22693735,NA,8065017.368366474
22696602,NA,30707153.00127801
22696596,NA,2909991.5008735307
22680415,NA,3544014.4045974133
22692680,NA,1975889.793720096
22733705,NA,14237945.09909425
22727746,NA,33816689.356146395
22697913,NA,121009.88333486009
22697935,NA,146910.5920423749
22697925,NA,49574432.50181842
22697896,NA,74510.85605587295
