rgn_id,rgn_label,m49_code,iso3c,georgn,geosubrgn
1,Cocos Islands,166,CCK,Oceania,Australia and New Zealand
2,Christmas Island,162,CXR,Oceania,Australia and New Zealand
3,Norfolk Island,574,NFK,Oceania,Australia and New Zealand
5,New Caledonia,540,NCL,Oceania,Melanesia
6,Vanuatu,548,VUT,Oceania,Melanesia
7,Solomon Islands,90,SLB,Oceania,Melanesia
8,Palau,585,PLW,Oceania,Micronesia
9,Micronesia,583,FSM,Oceania,Micronesia
10,Nauru,520,NRU,Oceania,Micronesia
11,Marshall Islands,584,MHL,Oceania,Micronesia
13,Northern Mariana Islands and Guam,316,GUM,Oceania,Micronesia
13,Northern Mariana Islands and Guam,580,MNP,Oceania,Micronesia
14,Taiwan,NA,TWN,Asia,Eastern Asia
15,Philippines,608,PHL,Asia,South-eastern Asia
16,Australia,36,AUS,Oceania,Australia and New Zealand
17,Papua New Guinea,598,PNG,Oceania,Melanesia
18,Fiji,242,FJI,Oceania,Melanesia
19,Tuvalu,798,TUV,Oceania,Polynesia
20,Republic of Korea,410,KOR,Asia,Eastern Asia
21,Democratic People's Republic of Korea,408,PRK,Asia,Eastern Asia
24,Cambodia,116,KHM,Asia,South-eastern Asia
25,Thailand,764,THA,Asia,South-eastern Asia
29,Mayotte,175,MYT,Africa,Eastern Africa
31,Seychelles,690,SYC,Africa,Eastern Africa
32,Réunion,638,REU,Africa,Eastern Africa
37,Mauritius,480,MUS,Africa,Eastern Africa
38,British Indian Ocean Territory,86,IOT,Africa,Eastern Africa
39,Maldives,462,MDV,Asia,Southern Asia
40,Sri Lanka,144,LKA,Asia,Southern Asia
41,Mozambique,508,MOZ,Africa,Eastern Africa
42,Madagascar,450,MDG,Africa,Eastern Africa
43,Kenya,404,KEN,Africa,Eastern Africa
44,Somalia,706,SOM,Africa,Eastern Africa
45,Eritrea,232,ERI,Africa,Eastern Africa
46,Djibouti,262,DJI,Africa,Eastern Africa
47,Yemen,887,YEM,Asia,Western Asia
48,Oman,512,OMN,Asia,Western Asia
49,Sudan,729,SDN,Africa,Northern Africa
50,Saudi Arabia,682,SAU,Asia,Western Asia
51,Kuwait,414,KWT,Asia,Western Asia
52,Bahrain,48,BHR,Asia,Western Asia
53,Pakistan,586,PAK,Asia,Southern Asia
54,United Arab Emirates,784,ARE,Asia,Western Asia
59,Belgium,56,BEL,Europe,Western Europe
60,Gibraltar,292,GIB,Europe,Southern Europe
61,Tunisia,788,TUN,Africa,Northern Africa
62,Morocco,504,MAR,Africa,Northern Africa
63,Western Sahara,732,ESH,Africa,Northern Africa
64,Mauritania,478,MRT,Africa,Western Africa
65,Gambia,270,GMB,Africa,Western Africa
66,Senegal,686,SEN,Africa,Western Africa
67,Libya,434,LBY,Africa,Northern Africa
68,Malta,470,MLT,Europe,Southern Europe
69,Latvia,428,LVA,Europe,Northern Europe
70,Estonia,233,EST,Europe,Northern Europe
71,Bulgaria,100,BGR,Europe,Eastern Europe
72,Romania,642,ROU,Europe,Eastern Europe
73,Russian Federation,643,RUS,Europe,Eastern Europe
74,Georgia,268,GEO,Asia,Western Asia
75,Ukraine,804,UKR,Europe,Eastern Europe
76,Turkey,792,TUR,Asia,Western Asia
78,Lebanon,422,LBN,Asia,Western Asia
79,Israel,376,ISR,Asia,Western Asia
80,Greece,300,GRC,Europe,Southern Europe
81,Cyprus,196,CYP,Asia,Western Asia
82,Albania,8,ALB,Europe,Southern Europe
84,Algeria,12,DZA,Africa,Northern Africa
86,Saint Helena,654,SHN,Africa,Western Africa
89,South Georgia and the South Sandwich Islands,239,SGS,Latin America and the Caribbean,South America
95,Falkland Islands,238,FLK,Latin America and the Caribbean,South America
96,Sierra Leone,694,SLE,Africa,Western Africa
97,Liberia,430,LBR,Africa,Western Africa
98,Togo,768,TGO,Africa,Western Africa
99,Benin,204,BEN,Africa,Western Africa
101,Namibia,516,NAM,Africa,Southern Africa
102,South Africa,710,ZAF,Africa,Southern Africa
103,Sao Tome and Principe,678,STP,Africa,Middle Africa
104,Equatorial Guinea,226,GNQ,Africa,Middle Africa
105,Bouvet Island,74,BVT,Latin America and the Caribbean,South America
106,Ghana,288,GHA,Africa,Western Africa
108,Bermuda,60,BMU,Northern America,Northern America
110,Bahamas,44,BHS,Latin America and the Caribbean,Caribbean
111,Turks and Caicos Islands,796,TCA,Latin America and the Caribbean,Caribbean
112,Cuba,192,CUB,Latin America and the Caribbean,Caribbean
113,Cayman Islands,136,CYM,Latin America and the Caribbean,Caribbean
114,Haiti,332,HTI,Latin America and the Caribbean,Caribbean
115,Dominican Republic,214,DOM,Latin America and the Caribbean,Caribbean
117,British Virgin Islands,92,VGB,Latin America and the Caribbean,Caribbean
118,Anguilla,660,AIA,Latin America and the Caribbean,Caribbean
119,Saint Kitts and Nevis,659,KNA,Latin America and the Caribbean,Caribbean
120,Antigua and Barbuda,28,ATG,Latin America and the Caribbean,Caribbean
121,Montserrat,500,MSR,Latin America and the Caribbean,Caribbean
122,Saint Lucia,662,LCA,Latin America and the Caribbean,Caribbean
123,Dominica,212,DMA,Latin America and the Caribbean,Caribbean
124,Barbados,52,BRB,Latin America and the Caribbean,Caribbean
