iucn_sid,stressor,count
2060,oa,0
2060,slr,1
2060,sst,0
2066,oa,0
2066,slr,1
2066,sst,0
3897,oa,0
3897,slr,1
3897,sst,0
6336,oa,0
6336,slr,0
6336,sst,1
6494,oa,0
6494,slr,1
6494,sst,0
6814,oa,2
6814,slr,0
6814,sst,1
7750,oa,2
7750,slr,0
7750,sst,0
8010,oa,2
8010,slr,0
8010,sst,0
8153,oa,0
8153,slr,0
8153,sst,1
10060,oa,2
10060,slr,0
10060,sst,0
10064,oa,2
10064,slr,0
10064,sst,1
10083,oa,2
10083,slr,0
10083,sst,0
10340,oa,0
10340,slr,1
10340,sst,0
11142,oa,0
11142,slr,0
11142,sst,1
11696,oa,0
11696,slr,0
11696,sst,2
11987,oa,0
11987,slr,4
11987,sst,1
12246,oa,0
12246,slr,1
12246,sst,2
12695,oa,0
12695,slr,3
12695,sst,0
13145,oa,0
13145,slr,1
13145,sst,0
14049,oa,0
14049,slr,0
14049,sst,1
15269,oa,0
15269,slr,1
15269,sst,2
17023,oa,2
17023,slr,0
17023,sst,0
17177,oa,0
17177,slr,0
17177,sst,1
21309,oa,0
21309,slr,6
21309,sst,1
31382,oa,0
31382,slr,1
31382,sst,0
33705,oa,0
33705,slr,1
33705,sst,0
34364,oa,0
34364,slr,1
34364,sst,0
41005,oa,0
41005,slr,0
41005,sst,1
41670,oa,2
41670,slr,0
41670,sst,0
41716,oa,2
41716,slr,0
41716,sst,2
44678,oa,0
44678,slr,0
44678,sst,1
132859,oa,4
132859,slr,0
132859,sst,6
132860,oa,4
132860,slr,0
132860,sst,6
132861,oa,4
132861,slr,0
132861,sst,6
132862,oa,4
132862,slr,0
132862,sst,6
132863,oa,4
132863,slr,0
132863,sst,6
132864,oa,4
132864,slr,0
132864,sst,6
132865,oa,2
132865,slr,0
132865,sst,2
132866,oa,4
132866,slr,0
132866,sst,6
132867,oa,4
132867,slr,0
132867,sst,6
132868,oa,4
132868,slr,0
132868,sst,6
132869,oa,4
132869,slr,0
132869,sst,6
132870,oa,4
132870,slr,0
132870,sst,6
132871,oa,4
132871,slr,0
132871,sst,6
132873,oa,4
132873,slr,0
132873,sst,6
132874,oa,4
132874,slr,0
132874,sst,6
132875,oa,4
132875,slr,0
132875,sst,6
132876,oa,4
132876,slr,0
132876,sst,6
132877,oa,4
132877,slr,0
132877,sst,6
132878,oa,4
132878,slr,0
132878,sst,6
132879,oa,2
132879,slr,0
132879,sst,2
132880,oa,4
132880,slr,0
132880,sst,6
132881,oa,4
132881,slr,0
132881,sst,6
132882,oa,4
132882,slr,0
132882,sst,6
132883,oa,4
132883,slr,0
132883,sst,6
132884,oa,4
132884,slr,0
132884,sst,6
132885,oa,4
132885,slr,0
132885,sst,6
132886,oa,4
132886,slr,0
132886,sst,6
132887,oa,4
132887,slr,0
132887,sst,6
132888,oa,4
132888,slr,0
132888,sst,6
132889,oa,4
132889,slr,0
132889,sst,6
132890,oa,4
132890,slr,0
132890,sst,6
132891,oa,4
132891,slr,0
132891,sst,6
132892,oa,4
132892,slr,0
132892,sst,6
132893,oa,4
132893,slr,0
132893,sst,6
132894,oa,4
132894,slr,0
132894,sst,6
132895,oa,4
132895,slr,0
