iucn_sid,gear,count
222,btmtrawl,0
222,dredge,0
222,gillnet,0
222,longline,0
222,midtrawl,0
222,poleline,0
222,seine,0
222,trap,0
225,btmtrawl,0
225,dredge,0
225,gillnet,0
225,longline,0
225,midtrawl,0
225,poleline,0
225,seine,0
225,trap,0
229,btmtrawl,2
229,dredge,0
229,gillnet,0
229,longline,0
229,midtrawl,0
229,poleline,0
229,seine,0
229,trap,0
230,btmtrawl,1
230,dredge,0
230,gillnet,1
230,longline,0
230,midtrawl,0
230,poleline,0
230,seine,0
230,trap,0
232,btmtrawl,0
232,dredge,0
232,gillnet,0
232,longline,0
232,midtrawl,0
232,poleline,0
232,seine,0
232,trap,0
233,btmtrawl,1
233,dredge,0
233,gillnet,1
233,longline,0
233,midtrawl,0
233,poleline,0
233,seine,0
233,trap,0
234,btmtrawl,0
234,dredge,0
234,gillnet,0
234,longline,0
234,midtrawl,0
234,poleline,0
234,seine,0
234,trap,0
235,btmtrawl,0
235,dredge,0
235,gillnet,0
235,longline,0
235,midtrawl,0
235,poleline,0
235,seine,0
235,trap,0
236,btmtrawl,0
236,dredge,0
236,gillnet,3
236,longline,0
236,midtrawl,0
236,poleline,0
236,seine,0
236,trap,0
241,btmtrawl,1
241,dredge,0
241,gillnet,0
241,longline,0
241,midtrawl,0
241,poleline,0
241,seine,0
241,trap,0
242,btmtrawl,0
242,dredge,4
242,gillnet,0
242,longline,0
242,midtrawl,0
242,poleline,0
242,seine,0
242,trap,0
243,btmtrawl,0
243,dredge,0
243,gillnet,1
243,longline,0
243,midtrawl,0
243,poleline,0
243,seine,0
243,trap,0
245,btmtrawl,0
245,dredge,4
245,gillnet,1
245,longline,0
245,midtrawl,0
245,poleline,0
245,seine,0
245,trap,0
908,btmtrawl,0
908,dredge,0
908,gillnet,0
908,longline,0
908,midtrawl,0
908,poleline,0
908,seine,0
908,trap,0
1308,btmtrawl,0
1308,dredge,0
1308,gillnet,0
1308,longline,0
1308,midtrawl,0
1308,poleline,1
1308,seine,0
1308,trap,0
1615,btmtrawl,0
1615,dredge,0
1615,gillnet,0
1615,longline,2
1615,midtrawl,0
1615,poleline,0
1615,seine,0
1615,trap,0
1793,btmtrawl,0
1793,dredge,0
1793,gillnet,1
1793,longline,0
1793,midtrawl,0
1793,poleline,0
1793,seine,0
1793,trap,1
2055,btmtrawl,0
2055,dredge,0
2055,gillnet,0
2055,longline,0
2055,midtrawl,0
2055,poleline,0
2055,seine,0
2055,trap,1
2057,btmtrawl,1
2057,dredge,0
2057,gillnet,0
2057,longline,0
2057,midtrawl,1
2057,poleline,0
2057,seine,0
2057,trap,0
2058,btmtrawl,5
2058,dredge,0
2058,gillnet,0
2058,longline,0
2058,midtrawl,5
2058,poleline,0
2058,seine,0
2058,trap,0
2059,btmtrawl,2
2059,dredge,0
2059,gillnet,0
2059,longline,0
2059,midtrawl,2
2059,poleline,0
2059,seine,0
2059,trap,0
2060,btmtrawl,5
2060,dredge,0
2060,gillnet,0
2060,longline,0
2060,midtrawl,5
2060,poleline,0
2060,seine,0
2060,trap,0
2061,btmtrawl,1
2061,dredge,0
2061,gillnet,2
2061,longline,0
2061,midtrawl,1
2061,poleline,0
2061,seine,0
2061,trap,0
2062,btmtrawl,3
2062,dredge,0
2062,gillnet,0
2062,longline,0
2062,midtrawl,3
2062,poleline,0
2062,seine,0
2062,trap,0
2064,btmtrawl,2
2064,dredge,0
2064,gillnet,0
2064,longline,0
2064,midtrawl,0
2064,poleline,0
2064,seine,0
2064,trap,1
2066,btmtrawl,2
2066,dredge,0
2066,gillnet,0
2066,longline,0
2066,midtrawl,2
2066,poleline,0
2066,seine,0
2066,trap,0
2067,btmtrawl,5
2067,dredge,0
2067,gillnet,0
2067,longline,0
2067,midtrawl,4
2067,poleline,0
2067,seine,0
2067,trap,2
2113,btmtrawl,0
2113,dredge,0
2113,gillnet,0
2113,longline,0
2113,midtrawl,0
2113,poleline,0
2113,seine,0
2113,trap,0
2467,btmtrawl,2
2467,dredge,0
2467,gillnet,0
2467,longline,0
2467,midtrawl,2
2467,poleline,0
2467,seine,0
2467,trap,0
2469,btmtrawl,1
2469,dredge,0
2469,gillnet,0
2469,longline,0
2469,midtrawl,1
2469,poleline,0
2469,seine,0
2469,trap,1
2472,btmtrawl,1
2472,dredge,0
2472,gillnet,0
2472,longline,0
2472,midtrawl,1
2472,poleline,0
2472,seine,0
2472,trap,0
2474,btmtrawl,1
2474,dredge,0
2474,gillnet,2
2474,longline,0
2474,midtrawl,1
2474,poleline,0
2474,seine,0
2474,trap,0
2475,btmtrawl,1
2475,dredge,0
2475,gillnet,0
2475,longline,0
2475,midtrawl,1
2475,poleline,0
2475,seine,0
2475,trap,0
2476,btmtrawl,0
2476,dredge,0
2476,gillnet,0
2476,longline,0
2476,midtrawl,0
2476,poleline,0
2476,seine,0
2476,trap,1
2477,btmtrawl,0
2477,dredge,0
2477,gillnet,0
2477,longline,0
2477,midtrawl,0
2477,poleline,0
2477,seine,0
2477,trap,0
2478,btmtrawl,4
2478,dredge,0
2478,gillnet,0
2478,longline,0
2478,midtrawl,4
2478,poleline,0
2478,seine,0
2478,trap,0
2539,btmtrawl,0
2539,dredge,0
2539,gillnet,0
2539,longline,4
2539,midtrawl,0
2539,poleline,5
2539,seine,0
2539,trap,8
2636,btmtrawl,7
2636,dredge,0
2636,gillnet,0
2636,longline,0
2636,midtrawl,0
2636,poleline,0
2636,seine,0
2636,trap,1
2644,btmtrawl,1
2644,dredge,0
2644,gillnet,0
