iucn_sid,sciname,kng,phy,cls
195023,Engraulis anchoita,ANIMALIA,CHORDATA,Actinopterygii
183720,Opisthonema berlangai,ANIMALIA,CHORDATA,Actinopterygii
98895427,Coilia nasus,ANIMALIA,CHORDATA,Actinopterygii
154717,Anchoa choerostoma,ANIMALIA,CHORDATA,Actinopterygii
201946,Alosa aestivalis,ANIMALIA,CHORDATA,Actinopterygii
907,Alosa immaculata,ANIMALIA,CHORDATA,Actinopterygii
187944,Tenualosa toli,ANIMALIA,CHORDATA,Actinopterygii
198582,Sardinella maderensis,ANIMALIA,CHORDATA,Actinopterygii
98894402,Coilia mystus,ANIMALIA,CHORDATA,Actinopterygii
192284,Conus luquei,ANIMALIA,MOLLUSCA,Gastropoda
192523,Conus atlanticoselvagem,ANIMALIA,MOLLUSCA,Gastropoda
192530,Conus teodorae,ANIMALIA,MOLLUSCA,Gastropoda
192514,Conus tacomae,ANIMALIA,MOLLUSCA,Gastropoda
192406,Conus julii,ANIMALIA,MOLLUSCA,Gastropoda
192703,Conus trochulus,ANIMALIA,MOLLUSCA,Gastropoda
192544,Conus crotchii,ANIMALIA,MOLLUSCA,Gastropoda
192469,Conus derrubado,ANIMALIA,MOLLUSCA,Gastropoda
192572,Conus fontonae,ANIMALIA,MOLLUSCA,Gastropoda
192823,Conus fernandesi,ANIMALIA,MOLLUSCA,Gastropoda
192541,Conus immelmani,ANIMALIA,MOLLUSCA,Gastropoda
192785,Conus regonae,ANIMALIA,MOLLUSCA,Gastropoda
192602,Conus salreiensis,ANIMALIA,MOLLUSCA,Gastropoda
192343,Conus trencarti,ANIMALIA,MOLLUSCA,Gastropoda
192492,Conus xicoi,ANIMALIA,MOLLUSCA,Gastropoda
192475,Conus josephinae,ANIMALIA,MOLLUSCA,Gastropoda
192438,Conus felitae,ANIMALIA,MOLLUSCA,Gastropoda
192286,Conus lugubris,ANIMALIA,MOLLUSCA,Gastropoda
192626,Conus mordeirae,ANIMALIA,MOLLUSCA,Gastropoda
192350,Conus decoratus,ANIMALIA,MOLLUSCA,Gastropoda
22104,Trichechus senegalensis,ANIMALIA,CHORDATA,Mammalia
15106,Odobenus rosmarus,ANIMALIA,CHORDATA,Mammalia
2478,Balaenoptera physalus,ANIMALIA,CHORDATA,Mammalia
2475,Balaenoptera borealis,ANIMALIA,CHORDATA,Mammalia
17028,Phocoena sinus,ANIMALIA,CHORDATA,Mammalia
17031,Phocoena phocoena,ANIMALIA,CHORDATA,Mammalia
2057,Arctocephalus galapagoensis,ANIMALIA,CHORDATA,Mammalia
198920,Neophocaena phocaenoides,ANIMALIA,CHORDATA,Mammalia
44166,Aonyx cinereus,ANIMALIA,CHORDATA,Mammalia
2480,Balaenoptera bonaerensis,ANIMALIA,CHORDATA,Mammalia
136315,Orcaella heinsohni,ANIMALIA,CHORDATA,Mammalia
41754,Neophocaena asiaeorientalis,ANIMALIA,CHORDATA,Mammalia
17029,Phocoena spinipinnis,ANIMALIA,CHORDATA,Mammalia
15419,Orcaella brevirostris,ANIMALIA,CHORDATA,Mammalia
72050476,Arctocephalus australis,ANIMALIA,CHORDATA,Mammalia
181359,Sotalia guianensis,ANIMALIA,CHORDATA,Mammalia
194300,Tursiops truncatus,ANIMALIA,CHORDATA,Mammalia
20425,Sousa teuszii,ANIMALIA,CHORDATA,Mammalia
157011948,Dugong dugon,ANIMALIA,CHORDATA,Mammalia
41761,Pontoporia blainvillei,ANIMALIA,CHORDATA,Mammalia
17978,Pontoporia blainvillei,ANIMALIA,CHORDATA,Mammalia
