iucn_sid,spp_hab
222,pel
224,pel
225,pel
229,pel
230,pel
232,pel
233,pel
234,pel
235,pel
236,pel
241,pel
242,pel
243,pel
245,pel
907,pel
908,pel
1086,pel
1308,pel
1793,pel
2055,pel
2057,pel
2058,pel
2059,pel
2060,pel
2061,pel
2062,pel
2064,pel
2066,pel
2067,pel
2352,pel
2467,pel
2468,pel
2469,pel
2472,pel
2474,pel
2475,pel
2476,pel
2477,pel
2478,pel
2480,pel
2762,pel
2763,pel
3590,pel
3778,pel
3852,pel
3853,pel
3854,pel
3855,pel
3897,pel
4159,pel
4160,pel
4161,pel
4162,pel
4292,pel
4592,pel
4615,pel
5269,pel
5362,pel
6069,pel
6204,pel
6229,pel
6335,pel
6336,pel
6337,pel
6494,pel
7750,pel
8005,pel
8010,pel
8012,pel
8013,pel
8097,pel
8099,pel
8153,pel
8239,pel
8551,pel
8951,pel
9249,pel
9250,pel
9461,pel
9660,pel
10057,pel
10063,pel
10075,pel
10082,pel
10269,pel
10340,pel
10707,pel
10708,pel
10939,pel
11047,pel
11048,pel
11140,pel
11141,pel
11142,pel
11143,pel
11144,pel
11145,pel
11146,pel
11200,pel
11375,pel
11502,pel
11533,pel
11534,pel
11696,pel
11987,pel
12125,pel
12126,pel
12137,pel
12246,pel
12302,pel
12303,pel
12305,pel
12419,pel
12421,pel
12427,pel
12695,pel
13006,pel
13145,pel
13232,pel
13241,pel
13242,pel
13243,pel
13244,pel
13245,pel
13246,pel
13247,pel
13248,pel
13249,pel
13250,pel
13251,pel
13581,pel
13583,pel
13653,pel
13654,pel
13655,pel
13704,pel
14048,pel
14049,pel
14050,pel
14214,pel
14264,pel
14549,pel
14562,pel
15106,pel
15108,pel
15239,pel
15269,pel
15419,pel
15421,pel
15939,pel
16012,pel
16238,pel
16474,pel
16475,pel
16564,pel
16781,pel
16869,pel
17013,pel
17014,pel
17020,pel
17021,pel
17022,pel
17023,pel
17026,pel
17027,pel
17028,pel
17029,pel
17030,pel
17031,pel
17032,pel
17096,pel
17177,pel
17245,pel
17977,pel
17978,pel
18383,pel
18596,pel
18878,pel
19387,pel
19388,pel
19488,pel
19735,pel
19855,pel
20047,pel
20314,pel
20315,pel
20317,pel
20425,pel
20729,pel
20730,pel
20731,pel
20732,pel
20733,pel
20738,pel
20855,pel
21257,pel
21309,pel
21326,pel
21341,pel
21343,pel
21500,pel
21628,pel
21856,pel
21857,pel
21858,pel
21859,pel
21860,pel
21994,pel
22003,pel
22103,pel
22104,pel
22105,pel
22563,pel
22823,pel
23148,pel
23211,pel
23259,pel
39324,pel
39333,pel
39336,pel
39337,pel
39338,pel
39339,pel
39341,pel
39342,pel
39347,pel
39349,pel
39350,pel
39352,pel
39354,pel
39359,pel
39361,pel
39368,pel
39369,pel
39370,pel
39372,pel
39373,pel
39374,pel
39378,pel
39380,pel
39381,pel
39384,pel
39385,pel
39386,pel
39388,pel
39389,pel
39396,pel
39397,pel
39415,pel
39416,pel
39427,pel
39465,pel
39541,pel
39543,pel
39544,pel
39771,pel
40635,pel
40797,pel
41005,pel
41009,pel
41664,pel
41665,pel
41666,pel
41667,pel
41668,pel
41670,pel
41671,pel
41672,pel
41673,pel
41677,pel
41711,pel
41712,pel
41713,pel
41714,pel
41715,pel
41726,pel
41733,pel
41735,pel
41736,pel
41737,pel
41738,pel
41739,pel
41741,pel
41742,pel
41745,pel
41747,pel
41749,pel
41754,pel
41755,pel
41759,pel
41760,pel
41761,pel
41762,pel
41791,pel
41792,pel
41794,pel
41795,pel
41796,pel
41797,pel
41798,pel
41801,pel
41802,pel
41813,pel
41823,pel
41825,pel
41830,pel
41831,pel
41832,pel
41835,pel
41836,pel
41850,pel
41851,pel
41852,pel
41855,pel
41856,pel
41858,pel
41859,pel
41871,pel
41876,pel
41878,pel
42716,pel
42833,pel
42834,pel
43972,pel
43973,pel
43993,pel
44070,pel
44071,pel
44168,pel
44169,pel
44173,pel
44174,pel
44175,pel
44176,pel
44177,pel
44178,pel
44179,pel
44205,pel
44206,pel
44209,pel
44210,pel
44211,pel
44212,pel
44213,pel
44214,pel
44215,pel
44216,pel
44218,pel
44219,pel
44220,pel
44221,pel
44224,pel
44226,pel
44229,pel
44496,pel
44514,pel
44515,pel
44563,pel
44564,pel
44565,pel
44567,pel
44568,pel
44569,pel
44570,pel
44571,pel
44572,pel
44573,pel
44574,pel
44575,pel
44576,pel
44577,pel
44578,pel
44580,pel
44581,pel
44582,pel
44583,pel
44584,pel
44585,pel
44586,pel
44587,pel
44588,pel
44589,pel
44590,pel
44591,pel
44592,pel
44595,pel
44596,pel
44597,pel
44598,pel
44600,pel
44603,pel
44606,pel
44607,pel
44609,pel
44613,pel
44619,pel
44640,pel
44641,pel
44642,pel
44643,pel
44644,pel
44645,pel
44646,pel
44647,pel
44649,pel
44650,pel
44651,pel
44652,pel
44653,pel
44654,pel
44655,pel
44656,pel
44657,pel
44666,pel
44668,pel
44669,pel
44670,pel
44671,pel
44680,pel
44685,pel
44993,pel
44994,pel
44995,pel
46864,pel
60086,pel
60087,pel
60095,pel
60096,pel
60108,pel
60109,pel
60110,pel
60113,pel
60115,pel
60117,pel
60119,pel
60120,pel
60121,pel
60123,pel
60126,pel
60127,pel
60128,pel
60129,pel
60130,pel
60132,pel
60133,pel
60134,pel
60135,pel
60137,pel
60138,pel
60141,pel
60142,pel
60145,pel
60147,pel
60148,pel
60149,pel
60151,pel
60153,pel
60154,pel
60155,pel
60157,pel
60158,pel
60159,pel
60160,pel
60161,pel
60163,pel
60167,pel
60176,pel
60183,pel
60184,pel
60186,pel
60187,pel
60188,pel
60189,pel
60190,pel
60191,pel
60193,pel
60194,pel
60196,pel
60198,pel
60199,pel
60200,pel
60201,pel
60202,pel
60203,pel
60204,pel
60205,pel
60206,pel
60208,pel
60209,pel
60210,pel
60211,pel
60212,pel
60213,pel
60214,pel
60215,pel
60216,pel
60217,pel
60218,pel
60219,pel
60220,pel
60221,pel
60223,pel
60224,pel
60225,pel
60226,pel
60227,pel
60228,pel
60230,pel
60231,pel
60232,pel
60233,pel
60234,pel
60235,pel
60236,pel
60237,pel
60238,pel
60239,pel
60240,pel
60241,pel
60242,pel
60243,pel
60244,pel
60245,pel
60246,pel
60247,pel
60324,pel
60344,pel
60447,pel
61314,pel
61333,pel
61334,pel
61335,pel
61340,pel
61398,pel
61399,pel
61400,pel
61401,pel
61402,pel
61403,pel
61404,pel
61406,pel
61407,pel
61408,pel
