iucn_sid,marine_km2,bird_km2
907,771.9536777705409,NA
1793,17512.170933108566,NA
2057,105459.00267799334,NA
2469,539621.8213762837,NA
2475,316403472.7804917,NA
2478,205981749.28817698,NA
2480,173393352.59464157,NA
3590,16835337.004763857,NA
3851,10861891.299976585,NA
3852,15660502.966375068,NA
3853,9897667.009127108,NA
3854,10833425.070528036,NA
3897,126615927.63935739,NA
4160,172450.43563045395,NA
4161,141691.9237267496,NA
4162,86033.53922718558,NA
4615,178791903.2598317,NA
6204,7570916.525631832,NA
6229,6824163.987370638,NA
6494,33372246.67099603,NA
6909,3458076.5490178615,NA
7750,1949741.9277227141,NA
7859,2331426.741282858,NA
7860,1134708.1652862662,NA
7861,2149816.7783203083,NA
7862,977816.4388948255,NA
8005,278822807.9613796,NA
8099,2116465.5847854624,NA
8239,6374459.924952663,NA
9281,443196.5978340143,NA
10030,12201631.75976385,NA
10070,6475436.531750385,NA
10088,61632.292971736526,NA
11130,1667695.9007628558,NA
11200,93241651.53373246,NA
11533,13678470.844767397,NA
11534,79556799.8461328,NA
12303,168935.60126774883,NA
12305,12364.357691164,NA
12419,105710.49866077445,NA
12421,8632.957122860806,NA
12427,21878.424772164013,NA
13653,277541.79972845264,NA
13654,284716.42807646043,NA
14049,298129.55992474343,NA
14050,865601.0948326197,NA
14051,16025.024901615934,NA
14549,418314.19033709035,NA
15106,6502633.053869882,NA
15419,591515.6218256694,NA
17026,872179.2928744123,NA
17028,8386.700407132732,NA
17029,894948.4335186764,NA
17031,377128.1909435615,NA
17978,276997.76451632695,NA
18596,194315370.47633117,NA
19488,171905789.1169443,NA
20047,280427.893531661,NA
20425,163262.96428054647,NA
21856,199321380.07439393,NA
21857,210734196.5532682,NA
21858,66287056.64371205,NA
21859,219928932.4939664,NA
21860,31861906.193311647,NA
22103,855811.080534815,NA
22104,317273.8366193038,NA
22823,15358545.948554177,NA
39339,264507005.5206913,NA
39341,223106217.00372761,NA
39345,110382.39054835752,NA
39346,134364.47649273934,NA
39348,762777.5630210043,NA
39349,610812.7172444517,NA
39350,1053170.121022265,NA
39352,11158103.200449178,NA
39353,629422.5644814287,NA
39358,3562864.8945652544,NA
39359,2282320.3574173856,NA
39360,8552.61806154043,NA
39361,120735.65168506656,NA
39362,273213.0957043613,NA
39365,4521943.118589133,NA
39367,2164792.1559661087,NA
39368,8128155.308310669,NA
39369,5692291.26731159,NA
39370,167186165.60180655,NA
39371,331999.4644127998,NA
39372,7379032.767299465,NA
39374,201566211.77667865,NA
39378,29474116.355001215,NA
39379,984.1536184753386,NA
39380,5991514.137313687,NA
39381,282296638.8278457,NA
