iucn_sid,assess_gp,kingdom,phylum,class,order,family,rank
99008295,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Actinopterygii
191214,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Actinopterygii
190092,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Actinopterygii
97756224,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
98842673,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
201948,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
191208,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
99087971,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Pristigasteridae,Actinopterygii
98891738,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Actinopterygii
98835748,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
167997,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
99092808,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Pristigasteridae,Actinopterygii
201947,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
98470734,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
195080,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
98832271,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
16406635,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Actinopterygii
98472446,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
98472718,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
155123,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
98940490,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Actinopterygii
98470668,clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
