iucn_sid,stressor,code,score_num,sens
2057,oa,11.1,NA,FALSE
2057,oa,11.3,NA,FALSE
2057,slr,11.1,NA,FALSE
2057,sst,11.1,8,TRUE
2057,sst,11.3,8,TRUE
2058,oa,11.5,NA,FALSE
2058,slr,11.5,NA,FALSE
2058,sst,11.5,4,TRUE
2059,oa,11.1,1,FALSE
2059,slr,11.1,1,FALSE
2059,sst,11.1,1,FALSE
2060,oa,11.1,NA,FALSE
2060,oa,11.3,NA,FALSE
2060,slr,11.1,7,TRUE
2060,sst,11.1,7,TRUE
2060,sst,11.3,7,TRUE
2062,oa,11.5,NA,FALSE
2062,slr,11.5,NA,FALSE
2062,sst,11.5,4,TRUE
2066,oa,11.1,NA,FALSE
2066,oa,11.3,NA,FALSE
2066,slr,11.1,7,TRUE
2066,sst,11.1,7,TRUE
2066,sst,11.3,7,TRUE
2067,oa,11.1,NA,FALSE
2067,slr,11.1,NA,FALSE
2067,sst,11.1,3,TRUE
2467,oa,11.1,NA,FALSE
2467,slr,NA,NA,NA
2467,sst,11.1,3,TRUE
2472,oa,11.1,NA,FALSE
2472,slr,NA,NA,NA
2472,sst,11.1,NA,FALSE
2480,oa,11.1,1,FALSE
2480,slr,NA,NA,NA
2480,sst,11.1,1,FALSE
2762,oa,11.1,1,FALSE
2762,slr,NA,NA,NA
2762,sst,11.1,1,FALSE
2763,oa,11.1,1,FALSE
2763,slr,NA,NA,NA
2763,sst,11.1,1,FALSE
2958,oa,11.3,NA,FALSE
2958,slr,NA,NA,NA
2958,sst,11.3,NA,FALSE
3590,oa,11.1,NA,FALSE
3590,slr,11.1,NA,FALSE
3590,sst,11.1,5,TRUE
3764,oa,11.1,NA,FALSE
3764,oa,11.3,NA,FALSE
3764,slr,NA,NA,NA
3764,sst,11.1,NA,FALSE
3764,sst,11.3,NA,FALSE
3897,oa,11.1,NA,FALSE
3897,oa,11.3,NA,FALSE
3897,slr,11.1,3,TRUE
3897,sst,11.1,3,TRUE
3897,sst,11.3,3,TRUE
4161,oa,11.1,NA,FALSE
4161,oa,11.3,NA,FALSE
4161,slr,NA,NA,NA
4161,sst,11.1,4,TRUE
4161,sst,11.3,4,TRUE
6204,oa,11.1,NA,FALSE
6204,slr,11.1,NA,FALSE
6204,sst,11.1,7,TRUE
6335,oa,11.1,NA,FALSE
6335,slr,NA,NA,NA
6335,sst,11.1,5,TRUE
6336,oa,11.1,NA,FALSE
6336,slr,NA,NA,NA
6336,sst,11.1,3,TRUE
6494,oa,11.1,NA,FALSE
6494,oa,11.3,NA,FALSE
6494,slr,11.1,NA,FALSE
6494,sst,11.1,NA,FALSE
6494,sst,11.3,NA,FALSE
6814,oa,11.1,NA,FALSE
6814,oa,11.3,NA,FALSE
6814,oa,11.5,NA,FALSE
6814,slr,11.1,NA,FALSE
6814,slr,11.5,NA,FALSE
6814,sst,11.1,NA,FALSE
6814,sst,11.3,NA,FALSE
6814,sst,11.5,NA,FALSE
8005,oa,11.5,NA,FALSE
8005,slr,11.5,7,TRUE
8005,sst,11.5,7,TRUE
8010,oa,11.1,7,TRUE
8010,slr,11.1,NA,FALSE
8010,sst,11.1,7,TRUE
8012,oa,11.1,NA,FALSE
8012,slr,11.1,NA,FALSE
8012,sst,11.1,7,TRUE
8013,oa,11.1,NA,FALSE
8013,slr,11.1,NA,FALSE
8013,sst,11.1,7,TRUE
8153,oa,11.1,NA,FALSE
8153,slr,NA,NA,NA
8153,sst,11.1,4,TRUE
9250,oa,11.1,1,FALSE
9250,slr,NA,NA,NA
9250,sst,11.1,1,FALSE
10060,oa,11.1,NA,FALSE
10060,oa,11.3,NA,FALSE
10060,slr,NA,NA,NA
10060,sst,11.1,NA,FALSE
10060,sst,11.3,NA,FALSE
10064,oa,11.1,NA,FALSE
10064,oa,11.3,NA,FALSE
10064,slr,NA,NA,NA
10064,sst,11.1,NA,FALSE
10064,sst,11.3,NA,FALSE
10070,oa,11.1,NA,FALSE
10070,oa,11.3,NA,FALSE
10070,slr,NA,NA,NA
10070,sst,11.1,NA,FALSE
10070,sst,11.3,NA,FALSE
10083,oa,11.1,NA,FALSE
10083,oa,11.3,NA,FALSE
10083,slr,NA,NA,NA
10083,sst,11.1,NA,FALSE
10083,sst,11.3,NA,FALSE
10340,oa,11.1,NA,FALSE
10340,slr,11.1,7,TRUE
10340,sst,11.1,7,TRUE
10707,oa,11.1,1,FALSE
10707,slr,NA,NA,NA
10707,sst,11.1,1,FALSE
10708,oa,11.1,1,FALSE
10708,slr,NA,NA,NA
10708,sst,11.1,1,FALSE
11047,oa,11.5,1,FALSE
11047,slr,NA,NA,NA
11047,sst,11.5,1,FALSE
11048,oa,11.5,1,FALSE
11048,slr,NA,NA,NA
11048,sst,11.5,1,FALSE
11141,oa,11.1,NA,FALSE
11141,slr,NA,NA,NA
11141,sst,11.1,NA,FALSE
