iucn_sid,sens,stressor,code,score_num
222,TRUE,direct_human,1.1,3
222,TRUE,direct_human,1.2,3
222,FALSE,nutrient,9.1.1,NA
222,TRUE,organic,9.2.1,3
224,TRUE,nutrient,9.1.1,3
232,TRUE,organic,9.2.1,3
233,TRUE,direct_human,1.1,3
235,TRUE,organic,9.2.1,3
236,TRUE,nutrient,9.1.1,3
236,TRUE,organic,9.2.1,3
241,TRUE,organic,9.2.1,3
242,TRUE,direct_human,1.1,3
242,TRUE,direct_human,1.2,3
242,FALSE,nutrient,2.4.3,1
242,TRUE,nutrient,9.1.1,3
243,TRUE,direct_human,1.1,3
243,TRUE,direct_human,1.2,3
243,FALSE,nutrient,2.4.3,1
243,TRUE,nutrient,9.1.1,3
245,TRUE,direct_human,1.1,3
245,TRUE,direct_human,1.2,3
245,FALSE,nutrient,2.4.3,1
245,TRUE,nutrient,9.1.1,3
1086,TRUE,organic,9.2.1,3
1308,FALSE,direct_human,1.1,NA
1308,FALSE,direct_human,1.3,NA
1793,TRUE,direct_human,1.1,3
1793,TRUE,direct_human,1.2,3
2055,TRUE,direct_human,6.1,3
2055,TRUE,direct_human,6.3,3
2055,TRUE,organic,9.2.1,3
2057,TRUE,organic,9.2.1,5
2059,FALSE,organic,9.2.1,1
2060,TRUE,direct_human,6.1,4
2060,FALSE,organic,9.2.1,NA
2061,TRUE,nutrient,9.1.2,3
2061,TRUE,organic,9.1.2,3
2061,TRUE,organic,9.2.1,3
2064,TRUE,organic,9.2.1,3
2066,TRUE,direct_human,6.1,4
2067,TRUE,organic,9.2.1,3
2467,TRUE,direct_human,1.2,3
2467,FALSE,organic,9.2.1,1
2476,TRUE,organic,9.2.1,3
2621,TRUE,direct_human,1.1,6
2958,FALSE,direct_human,1.1,NA
2958,FALSE,direct_human,1.2,NA
2958,FALSE,direct_human,6.1,NA
2958,FALSE,nutrient,9.1.2,NA
2958,FALSE,organic,9.1.2,NA
3590,TRUE,organic,9.2.1,3
3853,TRUE,direct_human,1.1,3
3897,TRUE,direct_human,1.1,3
3897,TRUE,direct_human,1.2,3
3897,TRUE,direct_human,1.3,3
3897,TRUE,direct_human,6.1,3
3897,TRUE,direct_human,6.3,3
3897,TRUE,light,9.6.1,3
3898,TRUE,direct_human,1.1,3
4160,TRUE,nutrient,2.4.3,3
4161,FALSE,direct_human,1.1,NA
4161,FALSE,direct_human,1.2,NA
4161,TRUE,direct_human,1.3,5
4161,TRUE,direct_human,6.1,5
4615,TRUE,direct_human,1.3,3
4982,FALSE,direct_human,1.1,NA
4982,FALSE,direct_human,1.2,NA
4982,FALSE,nutrient,9.1.1,NA
4982,FALSE,nutrient,9.1.2,NA
4982,FALSE,organic,9.1.2,NA
4982,FALSE,nutrient,9.3.1,NA
5272,FALSE,organic,9.2.1,NA
5659,FALSE,direct_human,1.1,NA
5659,FALSE,direct_human,1.2,NA
5659,FALSE,direct_human,1.3,NA
5659,FALSE,nutrient,2.4.3,NA
6335,FALSE,direct_human,1.2,NA
6335,FALSE,organic,9.3.3,NA
6336,TRUE,organic,9.3.3,3
6494,TRUE,direct_human,1.2,5
6494,TRUE,direct_human,1.3,5
6814,FALSE,direct_human,1.1,NA
6814,FALSE,direct_human,1.2,NA
6814,FALSE,direct_human,1.3,NA
6814,FALSE,nutrient,9.1.1,NA
6814,FALSE,nutrient,9.1.2,NA
6814,FALSE,organic,9.1.2,NA
6814,FALSE,nutrient,9.3.1,NA
6909,TRUE,direct_human,1.1,5
6909,FALSE,direct_human,6.1,NA
6909,TRUE,organic,9.2.1,5
7750,TRUE,direct_human,6.1,3
7750,TRUE,organic,9.2.1,3
8005,FALSE,direct_human,1.3,NA
8005,TRUE,direct_human,6.1,5
8005,TRUE,organic,9.2.1,6
8010,TRUE,organic,9.2.1,3
8012,FALSE,organic,9.2.1,2
8013,TRUE,direct_human,1.2,3
8013,FALSE,organic,9.2.1,1
8099,TRUE,direct_human,1.2,5
8099,TRUE,organic,9.2.1,3
