iucn_sid,sens,stressor,code
222,TRUE,shipping,4.3
230,TRUE,shipping,4.3
233,TRUE,shipping,4.3
236,TRUE,shipping,4.3
242,TRUE,shipping,4.3
245,TRUE,shipping,4.3
908,TRUE,shipping,4.3
2061,TRUE,shipping,4.3
2467,TRUE,shipping,4.3
2472,FALSE,shipping,4.3
2475,TRUE,shipping,4.3
2476,TRUE,shipping,4.3
2478,TRUE,shipping,4.3
2958,FALSE,shipping,4.3
3778,FALSE,shipping,4.3
4161,TRUE,shipping,4.3
4162,TRUE,shipping,4.3
4292,FALSE,shipping,4.3
6204,FALSE,shipping,4.3
6335,FALSE,shipping,4.3
6909,TRUE,shipping,4.3
8012,FALSE,shipping,4.3
8013,TRUE,shipping,4.3
8099,TRUE,shipping,4.3
8153,TRUE,shipping,4.3
10268,TRUE,shipping,4.3
10269,TRUE,shipping,4.3
12419,TRUE,shipping,4.3
12695,TRUE,shipping,4.3
13006,TRUE,shipping,4.3
13653,TRUE,shipping,4.3
13704,TRUE,shipping,4.3
14549,TRUE,shipping,4.3
15106,FALSE,shipping,4.3
15108,TRUE,shipping,4.3
15239,FALSE,shipping,4.3
15419,TRUE,shipping,4.3
15421,TRUE,shipping,4.3
17978,FALSE,shipping,4.3
18428,TRUE,shipping,4.3
19488,TRUE,shipping,4.3
20425,TRUE,shipping,4.3
22103,TRUE,shipping,4.3
22104,TRUE,shipping,4.3
22563,TRUE,shipping,4.3
22823,TRUE,shipping,4.3
41672,TRUE,shipping,4.3
41673,TRUE,shipping,4.3
41677,TRUE,shipping,4.3
41711,FALSE,shipping,4.3
41712,FALSE,shipping,4.3
41714,TRUE,shipping,4.3
41754,TRUE,shipping,4.3
41755,TRUE,shipping,4.3
41880,TRUE,shipping,4.3
43993,FALSE,shipping,4.3
61442,TRUE,shipping,4.3
63572,TRUE,shipping,4.3
63616,TRUE,shipping,4.3
132832,TRUE,shipping,4.3
132859,TRUE,shipping,4.3
132860,TRUE,shipping,4.3
132861,TRUE,shipping,4.3
132862,TRUE,shipping,4.3
132863,TRUE,shipping,4.3
132864,TRUE,shipping,4.3
132865,TRUE,shipping,4.3
132866,TRUE,shipping,4.3
132867,TRUE,shipping,4.3
132868,TRUE,shipping,4.3
132869,TRUE,shipping,4.3
132870,TRUE,shipping,4.3
132871,TRUE,shipping,4.3
132872,TRUE,shipping,4.3
132873,TRUE,shipping,4.3
132874,TRUE,shipping,4.3
132875,TRUE,shipping,4.3
132876,TRUE,shipping,4.3
132877,TRUE,shipping,4.3
132878,TRUE,shipping,4.3
132879,TRUE,shipping,4.3
132880,TRUE,shipping,4.3
132881,TRUE,shipping,4.3
132882,TRUE,shipping,4.3
132883,TRUE,shipping,4.3
132884,TRUE,shipping,4.3
132885,TRUE,shipping,4.3
132886,TRUE,shipping,4.3
132887,TRUE,shipping,4.3
132888,TRUE,shipping,4.3
132889,TRUE,shipping,4.3
132890,TRUE,shipping,4.3
132891,TRUE,shipping,4.3
132892,TRUE,shipping,4.3
132893,TRUE,shipping,4.3
132894,TRUE,shipping,4.3
132895,TRUE,shipping,4.3
132896,TRUE,shipping,4.3
132897,TRUE,shipping,4.3
132898,TRUE,shipping,4.3
132899,TRUE,shipping,4.3
132900,TRUE,shipping,4.3
132901,TRUE,shipping,4.3
132902,TRUE,shipping,4.3
132903,TRUE,shipping,4.3
132904,TRUE,shipping,4.3
132905,TRUE,shipping,4.3
132906,TRUE,shipping,4.3
132907,TRUE,shipping,4.3
132908,TRUE,shipping,4.3
132909,TRUE,shipping,4.3
132910,TRUE,shipping,4.3
132911,TRUE,shipping,4.3
132912,TRUE,shipping,4.3
132913,TRUE,shipping,4.3
132914,TRUE,shipping,4.3
132915,TRUE,shipping,4.3
132916,TRUE,shipping,4.3
132917,TRUE,shipping,4.3
132918,TRUE,shipping,4.3
132919,TRUE,shipping,4.3
132920,TRUE,shipping,4.3
132921,TRUE,shipping,4.3
132922,TRUE,shipping,4.3
132923,TRUE,shipping,4.3
132924,TRUE,shipping,4.3
132925,TRUE,shipping,4.3
132926,TRUE,shipping,4.3
132927,TRUE,shipping,4.3
132928,TRUE,shipping,4.3
132929,TRUE,shipping,4.3
132930,TRUE,shipping,4.3
132931,TRUE,shipping,4.3
132932,TRUE,shipping,4.3
132933,TRUE,shipping,4.3
132934,TRUE,shipping,4.3
132935,TRUE,shipping,4.3
132936,TRUE,shipping,4.3
132937,TRUE,shipping,4.3
132938,TRUE,shipping,4.3
132939,TRUE,shipping,4.3
132940,TRUE,shipping,4.3
132941,TRUE,shipping,4.3
132942,TRUE,shipping,4.3
132943,TRUE,shipping,4.3
132944,TRUE,shipping,4.3
132945,TRUE,shipping,4.3
132946,TRUE,shipping,4.3
132947,TRUE,shipping,4.3
132948,TRUE,shipping,4.3
132949,TRUE,shipping,4.3
132950,TRUE,shipping,4.3
132951,TRUE,shipping,4.3
132952,TRUE,shipping,4.3
132953,TRUE,shipping,4.3
132954,TRUE,shipping,4.3
132955,TRUE,shipping,4.3
132956,TRUE,shipping,4.3
132957,TRUE,shipping,4.3
132958,TRUE,shipping,4.3
132959,TRUE,shipping,4.3
