iucn_sid,shallow,shoreline
222,TRUE,TRUE
224,TRUE,FALSE
225,TRUE,FALSE
228,TRUE,FALSE
229,TRUE,FALSE
230,TRUE,FALSE
231,TRUE,FALSE
232,TRUE,FALSE
233,TRUE,FALSE
234,TRUE,FALSE
235,TRUE,FALSE
236,TRUE,FALSE
241,TRUE,FALSE
242,TRUE,TRUE
243,TRUE,FALSE
244,TRUE,FALSE
245,TRUE,TRUE
850,TRUE,TRUE
884,TRUE,TRUE
889,TRUE,TRUE
903,TRUE,FALSE
904,TRUE,FALSE
906,TRUE,TRUE
907,TRUE,FALSE
908,TRUE,TRUE
1086,TRUE,TRUE
1118,TRUE,TRUE
1308,TRUE,TRUE
1615,TRUE,FALSE
1784,TRUE,TRUE
1793,TRUE,TRUE
1846,TRUE,TRUE
1847,TRUE,TRUE
1904,TRUE,TRUE
2055,TRUE,TRUE
2057,TRUE,TRUE
2058,TRUE,TRUE
2059,TRUE,TRUE
2060,TRUE,TRUE
2061,TRUE,TRUE
2062,TRUE,TRUE
2064,TRUE,TRUE
2066,TRUE,TRUE
2067,TRUE,TRUE
2113,TRUE,FALSE
2352,TRUE,TRUE
2467,TRUE,FALSE
2468,TRUE,FALSE
2469,TRUE,FALSE
2472,TRUE,FALSE
2474,TRUE,FALSE
2475,TRUE,FALSE
2476,TRUE,FALSE
2477,TRUE,FALSE
2478,TRUE,FALSE
2480,TRUE,FALSE
2539,TRUE,FALSE
2621,TRUE,TRUE
2636,FALSE,FALSE
2644,TRUE,TRUE
2761,TRUE,TRUE
2762,TRUE,FALSE
2763,TRUE,FALSE
2895,TRUE,TRUE
3381,TRUE,TRUE
3590,TRUE,TRUE
3755,TRUE,TRUE
3764,TRUE,FALSE
3778,TRUE,FALSE
3851,TRUE,FALSE
3852,TRUE,FALSE
3853,TRUE,FALSE
3854,TRUE,TRUE
3855,TRUE,FALSE
3897,TRUE,TRUE
3898,TRUE,FALSE
3989,TRUE,TRUE
4131,TRUE,FALSE
4159,TRUE,FALSE
4160,TRUE,FALSE
4161,TRUE,FALSE
4162,TRUE,FALSE
4292,TRUE,FALSE
4360,TRUE,FALSE
4361,TRUE,TRUE
4362,TRUE,TRUE
4363,TRUE,FALSE
4364,TRUE,FALSE
4592,TRUE,FALSE
4615,TRUE,TRUE
4621,TRUE,TRUE
4801,TRUE,TRUE
4805,TRUE,FALSE
4982,TRUE,FALSE
4987,TRUE,TRUE
5272,TRUE,FALSE
5273,TRUE,FALSE
5325,TRUE,FALSE
5360,TRUE,FALSE
5362,TRUE,FALSE
5363,TRUE,FALSE
5375,TRUE,FALSE
5380,TRUE,FALSE
5560,TRUE,TRUE
5659,TRUE,TRUE
5660,TRUE,TRUE
5667,TRUE,FALSE
5675,TRUE,TRUE
