iucn_sid,cat_score,sens,code,stressor,score_num
236,0.8,FALSE,11.3,sst,1
236,0.8,FALSE,11.3,oa,1
2055,0,TRUE,11.1,sst,3
2055,0,TRUE,11.1,slr,3
2055,0,TRUE,11.1,oa,3
2057,0.6,TRUE,11.1,sst,8
2057,0.6,TRUE,11.1,slr,8
2057,0.6,TRUE,11.1,oa,8
2057,0.6,TRUE,11.3,sst,8
2057,0.6,TRUE,11.3,oa,8
2058,0,TRUE,11.5,oa,4
2058,0,TRUE,11.5,slr,4
2058,0,TRUE,11.5,sst,4
2059,0,FALSE,11.1,sst,1
2059,0,FALSE,11.1,slr,1
2059,0,FALSE,11.1,oa,1
2060,0,TRUE,11.1,sst,7
2060,0,TRUE,11.1,slr,7
2060,0,TRUE,11.1,oa,7
2060,0,TRUE,11.3,sst,7
2060,0,TRUE,11.3,oa,7
2062,0,TRUE,11.5,oa,4
2062,0,TRUE,11.5,slr,4
2062,0,TRUE,11.5,sst,4
2066,0,TRUE,11.1,sst,7
2066,0,TRUE,11.1,slr,7
2066,0,TRUE,11.1,oa,7
2066,0,TRUE,11.3,sst,7
2066,0,TRUE,11.3,oa,7
2067,0,TRUE,11.1,sst,3
2067,0,TRUE,11.1,slr,3
2067,0,TRUE,11.1,oa,3
2467,0,TRUE,11.1,sst,3
2467,0,TRUE,11.1,slr,3
2467,0,TRUE,11.1,oa,3
2472,0.6,FALSE,11.1,sst,NA
2472,0.6,FALSE,11.1,slr,NA
2472,0.6,FALSE,11.1,oa,NA
2477,0.6,TRUE,11.1,sst,4
2477,0.6,TRUE,11.1,slr,4
2477,0.6,TRUE,11.1,oa,4
2480,0.2,FALSE,11.1,sst,1
2480,0.2,FALSE,11.1,slr,1
2480,0.2,FALSE,11.1,oa,1
2762,NA,FALSE,11.1,sst,1
2762,NA,FALSE,11.1,slr,1
2762,NA,FALSE,11.1,oa,1
2763,NA,FALSE,11.1,sst,1
2763,NA,FALSE,11.1,slr,1
2763,NA,FALSE,11.1,oa,1
2958,0.8,FALSE,11.3,sst,NA
2958,0.8,FALSE,11.3,oa,NA
3590,0.4,TRUE,11.1,sst,5
3590,0.4,TRUE,11.1,slr,5
3590,0.4,TRUE,11.1,oa,5
3764,0.6,FALSE,11.1,sst,NA
3764,0.6,FALSE,11.1,slr,NA
3764,0.6,FALSE,11.1,oa,NA
3764,0.6,FALSE,11.3,sst,NA
3764,0.6,FALSE,11.3,oa,NA
3897,0.4,TRUE,11.1,sst,3
3897,0.4,TRUE,11.1,slr,3
3897,0.4,TRUE,11.1,oa,3
3897,0.4,TRUE,11.3,sst,3
3897,0.4,TRUE,11.3,oa,3
4161,0.2,TRUE,11.1,sst,4
4161,0.2,TRUE,11.1,slr,4
4161,0.2,TRUE,11.1,oa,4
4161,0.2,TRUE,11.3,sst,4
4161,0.2,TRUE,11.3,oa,4
6204,0.4,TRUE,11.1,sst,7
6204,0.4,TRUE,11.1,slr,7
6204,0.4,TRUE,11.1,oa,7
6335,0,TRUE,11.1,sst,5
6335,0,TRUE,11.1,slr,5
6335,0,TRUE,11.1,oa,5
6336,0,TRUE,11.1,sst,3
6336,0,TRUE,11.1,slr,3
6336,0,TRUE,11.1,oa,3
6494,0.4,FALSE,11.1,sst,NA
6494,0.4,FALSE,11.1,slr,NA
6494,0.4,FALSE,11.1,oa,NA
6494,0.4,FALSE,11.3,sst,NA
6494,0.4,FALSE,11.3,oa,NA
6814,NA,FALSE,11.1,sst,NA
6814,NA,FALSE,11.1,slr,NA
6814,NA,FALSE,11.1,oa,NA
6814,NA,FALSE,11.3,sst,NA
6814,NA,FALSE,11.3,oa,NA
6814,NA,FALSE,11.5,oa,NA
6814,NA,FALSE,11.5,slr,NA
6814,NA,FALSE,11.5,sst,NA
7862,0.8,FALSE,11.1,sst,NA
7862,0.8,FALSE,11.1,slr,NA
7862,0.8,FALSE,11.1,oa,NA
8005,0.8,TRUE,11.5,oa,7
8005,0.8,TRUE,11.5,slr,7
8005,0.8,TRUE,11.5,sst,7
8010,0,TRUE,11.1,sst,7
8010,0,TRUE,11.1,slr,7
8010,0,TRUE,11.1,oa,7
8012,0,TRUE,11.1,sst,7
8012,0,TRUE,11.1,slr,7
8012,0,TRUE,11.1,oa,7
8013,0,TRUE,11.1,sst,7
8013,0,TRUE,11.1,slr,7
8013,0,TRUE,11.1,oa,7
8153,0,TRUE,11.1,sst,4
8153,0,TRUE,11.1,slr,4
8153,0,TRUE,11.1,oa,4
8239,0.2,TRUE,11.1,sst,5
8239,0.2,TRUE,11.1,slr,5
8239,0.2,TRUE,11.1,oa,5
9249,0,FALSE,11.1,sst,1
9249,0,FALSE,11.1,slr,1
9249,0,FALSE,11.1,oa,1
9250,0,FALSE,11.1,sst,1
9250,0,FALSE,11.1,slr,1
9250,0,FALSE,11.1,oa,1
9461,0,FALSE,11.1,sst,NA
9461,0,FALSE,11.1,slr,NA
9461,0,FALSE,11.1,oa,NA
9660,0,TRUE,11.1,sst,3
9660,0,TRUE,11.1,slr,3
9660,0,TRUE,11.1,oa,3
10056,0.6,FALSE,11.3,sst,NA
10056,0.6,FALSE,11.3,oa,NA
10060,NA,FALSE,11.1,sst,NA
10060,NA,FALSE,11.1,slr,NA
10060,NA,FALSE,11.1,oa,NA
10060,NA,FALSE,11.3,sst,NA
10060,NA,FALSE,11.3,oa,NA
10064,NA,FALSE,11.1,sst,NA
10064,NA,FALSE,11.1,slr,NA
10064,NA,FALSE,11.1,oa,NA
10064,NA,FALSE,11.3,sst,NA
10064,NA,FALSE,11.3,oa,NA
10069,NA,FALSE,11.1,sst,NA
10069,NA,FALSE,11.1,slr,NA
10069,NA,FALSE,11.1,oa,NA
10070,0.4,FALSE,11.1,sst,NA
10070,0.4,FALSE,11.1,slr,NA
10070,0.4,FALSE,11.1,oa,NA
10070,0.4,FALSE,11.3,sst,NA
10070,0.4,FALSE,11.3,oa,NA
10074,0,FALSE,11.1,sst,NA
10074,0,FALSE,11.1,slr,NA
10074,0,FALSE,11.1,oa,NA
10083,0,FALSE,11.1,sst,NA
10083,0,FALSE,11.1,slr,NA
10083,0,FALSE,11.1,oa,NA
10083,0,FALSE,11.3,sst,NA
10083,0,FALSE,11.3,oa,NA
10340,0,TRUE,11.1,sst,7
10340,0,TRUE,11.1,slr,7
10340,0,TRUE,11.1,oa,7
10707,NA,FALSE,11.1,sst,1
10707,NA,FALSE,11.1,slr,1
10707,NA,FALSE,11.1,oa,1
10708,0,FALSE,11.1,sst,1
10708,0,FALSE,11.1,slr,1
10708,0,FALSE,11.1,oa,1
11047,NA,FALSE,11.5,oa,1
11047,NA,FALSE,11.5,slr,1
11047,NA,FALSE,11.5,sst,1
11048,NA,FALSE,11.5,oa,1
11048,NA,FALSE,11.5,slr,1
11048,NA,FALSE,11.5,sst,1
11141,0,FALSE,11.1,sst,NA
11141,0,FALSE,11.1,slr,NA
11141,0,FALSE,11.1,oa,NA
11142,0,FALSE,11.1,sst,NA
11142,0,FALSE,11.1,slr,NA
11142,0,FALSE,11.1,oa,NA
11145,0,FALSE,11.1,sst,NA
