iucn_sid,cat_score,sens,code,stressor,score_num
222,0.4,TRUE,5.4.3,art_fish,3
224,0.8,TRUE,5.4.1,art_fish,3
224,0.8,TRUE,5.4.2,dem_dest,3
224,0.8,TRUE,5.4.2,dem_nondest_hb,3
224,0.8,TRUE,5.4.2,dem_nondest_lb,3
224,0.8,TRUE,5.4.2,pel_hb,3
224,0.8,TRUE,5.4.2,pel_lb,3
225,0.8,TRUE,5.4.1,art_fish,3
225,0.8,TRUE,5.4.2,dem_dest,3
225,0.8,TRUE,5.4.2,dem_nondest_hb,3
225,0.8,TRUE,5.4.2,dem_nondest_lb,3
225,0.8,TRUE,5.4.2,pel_hb,3
225,0.8,TRUE,5.4.2,pel_lb,3
225,0.8,TRUE,5.4.3,art_fish,3
225,0.8,TRUE,5.4.4,dem_dest,3
225,0.8,TRUE,5.4.4,dem_nondest_hb,3
225,0.8,TRUE,5.4.4,dem_nondest_lb,3
225,0.8,TRUE,5.4.4,pel_hb,3
225,0.8,TRUE,5.4.4,pel_lb,3
229,0.8,TRUE,5.4.1,art_fish,3
229,0.8,TRUE,5.4.2,dem_dest,3
229,0.8,TRUE,5.4.2,dem_nondest_hb,3
229,0.8,TRUE,5.4.2,dem_nondest_lb,3
229,0.8,TRUE,5.4.2,pel_hb,3
229,0.8,TRUE,5.4.2,pel_lb,3
230,0.8,FALSE,5.4.1,art_fish,NA
230,0.8,FALSE,5.4.2,dem_dest,NA
230,0.8,FALSE,5.4.2,dem_nondest_hb,NA
230,0.8,FALSE,5.4.2,dem_nondest_lb,NA
230,0.8,FALSE,5.4.2,pel_hb,NA
230,0.8,FALSE,5.4.2,pel_lb,NA
230,0.8,TRUE,5.4.3,art_fish,3
230,0.8,TRUE,5.4.4,dem_dest,3
230,0.8,TRUE,5.4.4,dem_nondest_hb,3
230,0.8,TRUE,5.4.4,dem_nondest_lb,3
230,0.8,TRUE,5.4.4,pel_hb,3
230,0.8,TRUE,5.4.4,pel_lb,3
232,0.8,TRUE,5.4.1,art_fish,3
232,0.8,TRUE,5.4.2,dem_dest,3
232,0.8,TRUE,5.4.2,dem_nondest_hb,3
232,0.8,TRUE,5.4.2,dem_nondest_lb,3
232,0.8,TRUE,5.4.2,pel_hb,3
232,0.8,TRUE,5.4.2,pel_lb,3
232,0.8,TRUE,5.4.3,art_fish,3
232,0.8,TRUE,5.4.4,dem_dest,3
232,0.8,TRUE,5.4.4,dem_nondest_hb,3
232,0.8,TRUE,5.4.4,dem_nondest_lb,3
232,0.8,TRUE,5.4.4,pel_hb,3
232,0.8,TRUE,5.4.4,pel_lb,3
233,0.2,TRUE,5.4.1,art_fish,3
233,0.2,TRUE,5.4.3,art_fish,3
234,0,TRUE,5.4.1,art_fish,3
234,0,TRUE,5.4.3,art_fish,3
235,0.8,TRUE,5.4.1,art_fish,3
235,0.8,TRUE,5.4.2,dem_dest,3
235,0.8,TRUE,5.4.2,dem_nondest_hb,3
235,0.8,TRUE,5.4.2,dem_nondest_lb,3
235,0.8,TRUE,5.4.2,pel_hb,3
235,0.8,TRUE,5.4.2,pel_lb,3
235,0.8,TRUE,5.4.3,art_fish,3
235,0.8,TRUE,5.4.4,dem_dest,3
235,0.8,TRUE,5.4.4,dem_nondest_hb,3
235,0.8,TRUE,5.4.4,dem_nondest_lb,3
235,0.8,TRUE,5.4.4,pel_hb,3
235,0.8,TRUE,5.4.4,pel_lb,3
236,0.8,TRUE,5.4.1,art_fish,3
236,0.8,TRUE,5.4.2,dem_dest,3
236,0.8,TRUE,5.4.2,dem_nondest_hb,3
236,0.8,TRUE,5.4.2,dem_nondest_lb,3
236,0.8,TRUE,5.4.2,pel_hb,3
236,0.8,TRUE,5.4.2,pel_lb,3
236,0.8,TRUE,5.4.3,art_fish,3
236,0.8,TRUE,5.4.4,dem_dest,3
236,0.8,TRUE,5.4.4,dem_nondest_hb,3
236,0.8,TRUE,5.4.4,dem_nondest_lb,3
236,0.8,TRUE,5.4.4,pel_hb,3
236,0.8,TRUE,5.4.4,pel_lb,3
241,0.8,TRUE,5.4.1,art_fish,3
241,0.8,TRUE,5.4.2,dem_dest,3
241,0.8,TRUE,5.4.2,dem_nondest_hb,3
241,0.8,TRUE,5.4.2,dem_nondest_lb,3
241,0.8,TRUE,5.4.2,pel_hb,3
241,0.8,TRUE,5.4.2,pel_lb,3
241,0.8,TRUE,5.4.3,art_fish,3
241,0.8,TRUE,5.4.4,dem_dest,3
241,0.8,TRUE,5.4.4,dem_nondest_hb,3
241,0.8,TRUE,5.4.4,dem_nondest_lb,3
241,0.8,TRUE,5.4.4,pel_hb,3
241,0.8,TRUE,5.4.4,pel_lb,3
242,0.4,TRUE,5.4.1,art_fish,3
242,0.4,TRUE,5.4.3,art_fish,3
243,0.2,TRUE,5.4.1,art_fish,3
245,0.2,TRUE,5.4.1,art_fish,3
245,0.2,TRUE,5.4.3,art_fish,3
907,0.4,TRUE,5.4.1,art_fish,3
907,0.4,TRUE,5.4.2,dem_dest,3
907,0.4,TRUE,5.4.2,dem_nondest_hb,3
907,0.4,TRUE,5.4.2,dem_nondest_lb,3
907,0.4,TRUE,5.4.2,pel_hb,3
907,0.4,TRUE,5.4.2,pel_lb,3
908,NA,FALSE,5.4.1,art_fish,NA
1308,0,FALSE,5.4.1,art_fish,NA
1793,0.2,TRUE,5.4.3,art_fish,3
1793,0.2,TRUE,5.4.4,dem_dest,3
1793,0.2,TRUE,5.4.4,dem_nondest_hb,3
1793,0.2,TRUE,5.4.4,dem_nondest_lb,3
1793,0.2,TRUE,5.4.4,pel_hb,3
1793,0.2,TRUE,5.4.4,pel_lb,3
2055,0,TRUE,5.4.1,art_fish,3
2055,0,FALSE,5.4.2,dem_dest,NA
2055,0,FALSE,5.4.2,dem_nondest_hb,NA
2055,0,FALSE,5.4.2,dem_nondest_lb,NA
2055,0,FALSE,5.4.2,pel_hb,NA
2055,0,FALSE,5.4.2,pel_lb,NA
2055,0,TRUE,5.4.4,dem_dest,3
2055,0,TRUE,5.4.4,dem_nondest_hb,3
2055,0,TRUE,5.4.4,dem_nondest_lb,3
2055,0,TRUE,5.4.4,pel_hb,3
2055,0,TRUE,5.4.4,pel_lb,3
2057,0.6,FALSE,5.4.2,dem_dest,NA
2057,0.6,FALSE,5.4.2,dem_nondest_hb,NA
2057,0.6,FALSE,5.4.2,dem_nondest_lb,NA
2057,0.6,FALSE,5.4.2,pel_hb,NA
2057,0.6,FALSE,5.4.2,pel_lb,NA
2057,0.6,TRUE,5.4.3,art_fish,4
2058,0,FALSE,5.4.2,dem_dest,NA
2058,0,FALSE,5.4.2,dem_nondest_hb,NA
2058,0,FALSE,5.4.2,dem_nondest_lb,NA
2058,0,FALSE,5.4.2,pel_hb,NA
2058,0,FALSE,5.4.2,pel_lb,NA
2058,0,TRUE,5.4.3,art_fish,4
2059,0,FALSE,5.4.2,dem_dest,NA
2059,0,FALSE,5.4.2,dem_nondest_hb,NA
2059,0,FALSE,5.4.2,dem_nondest_lb,NA
2059,0,FALSE,5.4.2,pel_hb,NA
2059,0,FALSE,5.4.2,pel_lb,NA
2059,0,TRUE,5.4.4,dem_dest,3
2059,0,TRUE,5.4.4,dem_nondest_hb,3
2059,0,TRUE,5.4.4,dem_nondest_lb,3
2059,0,TRUE,5.4.4,pel_hb,3
2059,0,TRUE,5.4.4,pel_lb,3
2060,0,TRUE,5.4.2,dem_dest,5
2060,0,TRUE,5.4.2,dem_nondest_hb,5
2060,0,TRUE,5.4.2,dem_nondest_lb,5
2060,0,TRUE,5.4.2,pel_hb,5
2060,0,TRUE,5.4.2,pel_lb,5
2060,0,TRUE,5.4.4,dem_dest,5
2060,0,TRUE,5.4.4,dem_nondest_hb,5
2060,0,TRUE,5.4.4,dem_nondest_lb,5
2060,0,TRUE,5.4.4,pel_hb,5
2060,0,TRUE,5.4.4,pel_lb,5
2061,0,FALSE,5.4.2,dem_dest,NA
2061,0,FALSE,5.4.2,dem_nondest_hb,NA
2061,0,FALSE,5.4.2,dem_nondest_lb,NA
2061,0,FALSE,5.4.2,pel_hb,NA
2061,0,FALSE,5.4.2,pel_lb,NA
2061,0,TRUE,5.4.3,art_fish,3
2062,0,FALSE,5.4.2,dem_dest,NA
2062,0,FALSE,5.4.2,dem_nondest_hb,NA
2062,0,FALSE,5.4.2,dem_nondest_lb,NA
2062,0,FALSE,5.4.2,pel_hb,NA
2062,0,FALSE,5.4.2,pel_lb,NA
2062,0,TRUE,5.4.3,art_fish,4
2064,0,TRUE,5.4.3,art_fish,3
2064,0,TRUE,5.4.4,dem_dest,3
2064,0,TRUE,5.4.4,dem_nondest_hb,3
2064,0,TRUE,5.4.4,dem_nondest_lb,3
2064,0,TRUE,5.4.4,pel_hb,3
2064,0,TRUE,5.4.4,pel_lb,3
2066,0,TRUE,5.4.2,dem_dest,5
2066,0,TRUE,5.4.2,dem_nondest_hb,5
2066,0,TRUE,5.4.2,dem_nondest_lb,5
2066,0,TRUE,5.4.2,pel_hb,5
2066,0,TRUE,5.4.2,pel_lb,5
2066,0,TRUE,5.4.4,dem_dest,5
2066,0,TRUE,5.4.4,dem_nondest_hb,5
2066,0,TRUE,5.4.4,dem_nondest_lb,5
2066,0,TRUE,5.4.4,pel_hb,5
2066,0,TRUE,5.4.4,pel_lb,5
2067,0,TRUE,5.4.4,dem_dest,3
2067,0,TRUE,5.4.4,dem_nondest_hb,3
2067,0,TRUE,5.4.4,dem_nondest_lb,3
2067,0,TRUE,5.4.4,pel_hb,3
2067,0,TRUE,5.4.4,pel_lb,3
2467,0,TRUE,5.4.1,art_fish,4
2467,0,FALSE,5.4.2,dem_dest,NA
2467,0,FALSE,5.4.2,dem_nondest_hb,NA
2467,0,FALSE,5.4.2,dem_nondest_lb,NA
2467,0,FALSE,5.4.2,pel_hb,NA
2467,0,FALSE,5.4.2,pel_lb,NA
2467,0,TRUE,5.4.4,dem_dest,3
2467,0,TRUE,5.4.4,dem_nondest_hb,3
2467,0,TRUE,5.4.4,dem_nondest_lb,3
2467,0,TRUE,5.4.4,pel_hb,3
2467,0,TRUE,5.4.4,pel_lb,3
2469,0.6,FALSE,5.4.2,dem_dest,NA
2469,0.6,FALSE,5.4.2,dem_nondest_hb,NA
2469,0.6,FALSE,5.4.2,dem_nondest_lb,NA
2469,0.6,FALSE,5.4.2,pel_hb,NA
2469,0.6,FALSE,5.4.2,pel_lb,NA
2469,0.6,TRUE,5.4.4,dem_dest,3
2469,0.6,TRUE,5.4.4,dem_nondest_hb,3
2469,0.6,TRUE,5.4.4,dem_nondest_lb,3
2469,0.6,TRUE,5.4.4,pel_hb,3
2469,0.6,TRUE,5.4.4,pel_lb,3
2472,0.6,FALSE,5.4.2,dem_dest,NA
2472,0.6,FALSE,5.4.2,dem_nondest_hb,NA
2472,0.6,FALSE,5.4.2,dem_nondest_lb,NA
2472,0.6,FALSE,5.4.2,pel_hb,NA
2472,0.6,FALSE,5.4.2,pel_lb,NA
2472,0.6,FALSE,5.4.4,dem_dest,NA
2472,0.6,FALSE,5.4.4,dem_nondest_hb,NA
2472,0.6,FALSE,5.4.4,dem_nondest_lb,NA
2472,0.6,FALSE,5.4.4,pel_hb,NA
2472,0.6,FALSE,5.4.4,pel_lb,NA
2474,0,FALSE,5.4.1,art_fish,NA
2474,0,FALSE,5.4.2,dem_dest,NA
2474,0,FALSE,5.4.2,dem_nondest_hb,NA
2474,0,FALSE,5.4.2,dem_nondest_lb,NA
2474,0,FALSE,5.4.2,pel_hb,NA
2474,0,FALSE,5.4.2,pel_lb,NA
2474,0,FALSE,5.4.3,art_fish,NA
2475,0.6,TRUE,5.4.1,art_fish,4
2475,0.6,FALSE,5.4.2,dem_dest,NA
2475,0.6,FALSE,5.4.2,dem_nondest_hb,NA
2475,0.6,FALSE,5.4.2,dem_nondest_lb,NA
2475,0.6,FALSE,5.4.2,pel_hb,NA
2475,0.6,FALSE,5.4.2,pel_lb,NA
2476,0,FALSE,5.4.2,dem_dest,NA
2476,0,FALSE,5.4.2,dem_nondest_hb,NA
2476,0,FALSE,5.4.2,dem_nondest_lb,NA
2476,0,FALSE,5.4.2,pel_hb,NA
2476,0,FALSE,5.4.2,pel_lb,NA
2477,0.6,FALSE,5.4.2,dem_dest,NA
2477,0.6,FALSE,5.4.2,dem_nondest_hb,NA
2477,0.6,FALSE,5.4.2,dem_nondest_lb,NA
2477,0.6,FALSE,5.4.2,pel_hb,NA
2477,0.6,FALSE,5.4.2,pel_lb,NA
2478,0.4,TRUE,5.4.1,art_fish,3
2478,0.4,FALSE,5.4.2,dem_dest,NA
2478,0.4,FALSE,5.4.2,dem_nondest_hb,NA
2478,0.4,FALSE,5.4.2,dem_nondest_lb,NA
2478,0.4,FALSE,5.4.2,pel_hb,NA
2478,0.4,FALSE,5.4.2,pel_lb,NA
2478,0.4,TRUE,5.4.3,art_fish,3
2480,0.2,TRUE,5.4.1,art_fish,3
2480,0.2,FALSE,5.4.2,dem_dest,NA
2480,0.2,FALSE,5.4.2,dem_nondest_hb,NA
2480,0.2,FALSE,5.4.2,dem_nondest_lb,NA
2480,0.2,FALSE,5.4.2,pel_hb,NA
2480,0.2,FALSE,5.4.2,pel_lb,NA
2539,0.2,FALSE,5.4.1,art_fish,NA
2539,0.2,FALSE,5.4.2,dem_dest,NA
2539,0.2,FALSE,5.4.2,dem_nondest_hb,NA
2539,0.2,FALSE,5.4.2,dem_nondest_lb,NA
2539,0.2,FALSE,5.4.2,pel_hb,NA
2539,0.2,FALSE,5.4.2,pel_lb,NA
2636,NA,FALSE,5.4.4,dem_dest,NA
2636,NA,FALSE,5.4.4,dem_nondest_hb,NA
2636,NA,FALSE,5.4.4,dem_nondest_lb,NA
2636,NA,FALSE,5.4.4,pel_hb,NA
2636,NA,FALSE,5.4.4,pel_lb,NA
2763,NA,TRUE,5.4.2,dem_dest,3
2763,NA,TRUE,5.4.2,dem_nondest_hb,3
2763,NA,TRUE,5.4.2,dem_nondest_lb,3
2763,NA,TRUE,5.4.2,pel_hb,3
2763,NA,TRUE,5.4.2,pel_lb,3
2763,NA,TRUE,5.4.3,art_fish,3
2958,0.8,FALSE,5.4.4,dem_dest,NA
2958,0.8,FALSE,5.4.4,dem_nondest_hb,NA
2958,0.8,FALSE,5.4.4,dem_nondest_lb,NA
2958,0.8,FALSE,5.4.4,pel_hb,NA
2958,0.8,FALSE,5.4.4,pel_lb,NA
3590,0.4,TRUE,5.4.1,art_fish,4
3590,0.4,FALSE,5.4.2,dem_dest,NA
3590,0.4,FALSE,5.4.2,dem_nondest_hb,NA
