stressor,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,desc
cum_all,0.042265516836716116,10.574753640929583,4.195485179369494e-25,1266,0.03442437305571574,0.0501066606177165,Paired t-test,two.sided,all spp
cum_climate,0.1116852350848331,21.712901982654458,4.0642748423480854e-89,1266,0.10159406833392967,0.12177640183573656,Paired t-test,two.sided,all spp
cum_fishing,0.00167635921533776,0.9450806124444364,0.34479805456742996,1266,-0.001803500400414059,0.00515621883108958,Paired t-test,two.sided,all spp
cum_land-based,0.002951757966453959,5.979732052111676,2.9033248667078727e-9,1266,0.0019833407271771008,0.003920175205730818,Paired t-test,two.sided,all spp
cum_ocean,0.018520054241585333,23.270553008353787,5.232490920944392e-100,1266,0.016958708647479545,0.020081399835691117,Paired t-test,two.sided,all spp
cum_all,0.08200648204302977,4.71997054026812,4.5372340820416885e-6,192,0.04773734920271807,0.11627561488334145,Paired t-test,two.sided,bony fishes
cum_all,0.010966655461826794,1.3605149758513186,0.17829542796341336,66,-0.0051269814908216655,0.027060292414475252,Paired t-test,two.sided,cone snails
cum_all,0.03495555216813581,1.1955111088697,0.259467470867317,10,-0.030193005047776517,0.10010410938404814,Paired t-test,two.sided,hagfishes
cum_all,0.014451783036750212,1.2582622013920095,0.2132536637717579,59,-0.00853066929288331,0.03743423536638373,Paired t-test,two.sided,mammals
cum_all,0.5346478731939834,13.895810240791619,2.391336015227674e-10,16,0.4530835138683101,0.6162122325196567,Paired t-test,two.sided,mangrove plants
cum_all,0.1802107007040423,2.6406897928218336,0.01405399124064717,25,0.039659967813129665,0.32076143359495496,Paired t-test,two.sided,marine reptiles
cum_all,0.04564557379245086,31.516778081630402,3.817823757755259e-111,406,0.04279848160657097,0.04849266597833074,Paired t-test,two.sided,reef-building corals
cum_all,0.03938530689430193,4.171826433439039,5.0634902075902586e-5,152,0.02073320980500195,0.05803740398360192,Paired t-test,two.sided,sea birds
cum_all,0.005853834544295709,0.9201837889209376,0.3730607598198775,14,-0.0077904249558654794,0.019498094044456897,Paired t-test,two.sided,seagrasses
cum_all,-0.008609543354275329,-2.003479254229622,0.04597936256563818,316,-0.017064471136068144,-1.5461557248251553e-4,Paired t-test,two.sided,sharks and rays
cum_climate,0.0857456094310512,4.944295846847043,1.6616760263565689e-6,192,0.051539658892033324,0.11995155997006905,Paired t-test,two.sided,bony fishes
cum_climate,0,NaN,NaN,66,NaN,NaN,Paired t-test,two.sided,cone snails
cum_climate,0,NaN,NaN,10,NaN,NaN,Paired t-test,two.sided,hagfishes
cum_climate,0.027931950737955333,2.52443909162835,0.014298362542071674,59,0.00579170401424226,0.050072197461668404,Paired t-test,two.sided,mammals
cum_climate,0.6952042883186628,13.68334861006938,3.0050535806206274e-10,16,0.5874991280654518,0.8029094485718737,Paired t-test,two.sided,mangrove plants
cum_climate,0.1866753772233696,2.6902011150422322,0.01253926125578777,25,0.04376221950755363,0.3295885349391856,Paired t-test,two.sided,marine reptiles
cum_climate,0.24672981904237073,43.17731581694577,7.701951781545153e-154,406,0.23549643330172287,0.2579632047830186,Paired t-test,two.sided,reef-building corals
