iucn_sid,code,title,timing,scope,severity,score,invasive,score_num,desc,stressor,category,sciname
2472,11.1,Habitat shifting & alteration,Ongoing,Whole (>90%),Unknown,Unknown,NA,NA,NA,NA,NA,Balaena mysticetus
2472,4.3,Shipping lanes,Future,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,Balaena mysticetus
2472,5.4,Fishing & harvesting aquatic resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balaena mysticetus
2472,5.4.2,Intentional use: (large scale) [harvest],"Past, Unlikely to Return",Whole (>90%),Rapid Declines,Past Impact,NA,NA,NA,NA,NA,Balaena mysticetus
2472,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,Balaena mysticetus
2477,11.1,Habitat shifting & alteration,Future,Majority (50-90%),"Slow, Significant Declines",Low Impact: 4,NA,4,NA,NA,NA,Balaenoptera musculus
2477,5.4,Fishing & harvesting aquatic resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balaenoptera musculus
2477,5.4.2,Intentional use: (large scale) [harvest],"Past, Unlikely to Return",Whole (>90%),Very Rapid Declines,Past Impact,NA,NA,NA,NA,NA,Balaenoptera musculus
3764,11.1,Habitat shifting & alteration,Ongoing,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,Canthigaster rapaensis
3764,11.3,Temperature extremes,Ongoing,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,Canthigaster rapaensis
3855,5.4,Fishing & harvesting aquatic resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4,Fishing & harvesting aquatic resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.5,Persecution/control,Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
3855,5.4.5,Persecution/control,Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Carcharodon carcharias
4292,4.3,Shipping lanes,Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Cetorhinus maximus
4292,5.4,Fishing & harvesting aquatic resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cetorhinus maximus
4292,5.4.1,Intentional use: (subsistence/small scale) [harvest],"Past, Unlikely to Return",Minority (<50%),Rapid Declines,Past Impact,NA,NA,NA,NA,NA,Cetorhinus maximus
4292,5.4.2,Intentional use: (large scale) [harvest],"Past, Unlikely to Return",Minority (<50%),Rapid Declines,Past Impact,NA,NA,NA,NA,NA,Cetorhinus maximus
4292,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Cetorhinus maximus
4292,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,NA,NA,NA,NA,NA,Cetorhinus maximus
4982,1.1,Housing & urban areas,Ongoing,Whole (>90%),Unknown,Unknown,NA,NA,Residential & commercial development: Housing & urban areas,direct_human,land-based,Clinus spatulatus
4982,1.2,Commercial & industrial areas,Ongoing,Whole (>90%),Unknown,Unknown,NA,NA,Residential & commercial development: Commercial & industrial areas,direct_human,land-based,Clinus spatulatus
4982,9.1,Domestic & urban waste water,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clinus spatulatus
4982,9.1.1,Sewage,Ongoing,Whole (>90%),Unknown,Unknown,NA,NA,Pollution: Domestic & urban waste water: Sewage,nutrient,land-based,Clinus spatulatus
4982,9.1.2,Run-off,Ongoing,Whole (>90%),Unknown,Unknown,NA,NA,Pollution: Domestic & urban waste water: Run-off,nutrient,land-based,Clinus spatulatus
4982,9.1.2,Run-off,Ongoing,Whole (>90%),Unknown,Unknown,NA,NA,Pollution: Domestic & urban waste water: Run-off,organic,land-based,Clinus spatulatus
4982,9.3,Agricultural & forestry effluents,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clinus spatulatus
4982,9.3.1,Nutrient loads,Ongoing,Whole (>90%),Unknown,Unknown,NA,NA,Pollution: Agricultural & forestry effluents: Nutrient loads,nutrient,land-based,Clinus spatulatus
