iucn_sid,dimension,text,codes,sciname,taxon
2055,threats,"Development of large and small scale commercial fisheries have a negligible effect on South American Fur Seals in the Atlantic due to the minimal overlap between Fur Seal prey items and target commercial species (Crespo pers. comm.). In contrast, industrial fishing along the coast of Peru may threaten the pelagic resources on which Fur Seals depend. Those fisheries started in the 1950s and 1960s, and contributed to several declines in biomass of Anchoveta which is a major prey of Fur Seals (Pauly and Palomares 1989, Pauly and Tsukayama 1987).  Mortality due to bycatch and interactions is known to occur occasionally in artisanal and other fisheries (Maijluf  et al.  2002, Franco-Trecu  et al.  2009, De Maria 2012, Sepúlveda pers. comm., Cárdenas-Alayza unpublished data). Incidental captures of Fur Seals in shark nets have been reported in Uruguay (Scialabba 1989, Franco-Trecu  et al.  2009).   During the 1970s and part of the 1980s, South American Fur Seals (and other wildlife) were hunted illegally in southern Chile and Argentina to bait traps set for Southern King Crab. Bait used between 1976 and 1980 was estimated as 200–400 tons per year (Cárdenas  et al.  1987). Because this fishery is decreasing due to overexploitation, hunting pressure on the Fur Seal is being reduced. In Peru, Arias-Schreiber (1993) reported that it is common for some fishermen to kill and use pinnipeds as bait to catch saltwater Snails. However, the incidence of illegal Fur Seal catches and their impact on populations are not known.   The limited number of large, dense breeding aggregations could make this species particularly sensitive to the effects of oil spills and disease epidemics. Like other Fur Seals, South American Fur Seals are vulnerable to oil spills because of their dependence on their thick pelage for thermoregulation. In February 1997, 5,000 metric tons of crude oil were spilled from the vessel San Jorge onto on the coast of Isla de Lobos in southern Uruguay. Nearly 5,000 South American Fur Seal pups (2-3 months old) were heavily oiled and/or died (Mearns  et al.  1999).  With the breeding population located at a limited number of rookeries, human activities could have populations consequences if disturbance occurs (Cárdenas-Alayza 2012).",11.1,Arctocephalus australis,mammals
2467,threats," Extensive commercial hunting, beginning in the 1500s, depleted Bowhead Whales throughout their range. Commercial whaling for the species has been prohibited under international conventions since the 1930s. The limited subsistence whaling by indigenous communities  mentioned above has not impeded the recovery of the affected populations.  Accidental human-caused deaths are relatively few. During 2010-15, two dead-stranded and one live Bowhead were observed to be entangled with fishing gear but it was unclear whether the entanglement was the cause of death. Of the Bowhead Whales taken in Alaskan hunts during 1990-2012, 12% showed scars or wounds from fishing gear and 2% showed scars or wounds from ship strikes (George  et al.  2017a).    There has been concern since the 1970s that disturbance from oil and gas exploration and extraction activities in the Arctic region would affect Bowhead Whales. Effects on diving behavior (Robertson  et al.  2013) and calling rates (Blackwell  et al.  2015) in the vicinity of seismic surveys have been observed, but to date there has been no discernible population-level impact. Examination of whales taken in subsistence hunts off Alaska since 1980 found relatively low levels of morbidity, which would be consistent with an increasing population and good individual animal health (George  et al . 2017b).    During this century, a profound reduction in the extent and thickness of sea ice in the Arctic has occurred and this reduction is predicted to continue, possibly leading eventually to the complete disappearance of sea ice in summer as mean Arctic temperatures rise faster than the global average (Frey  et al . 2015). The short-term effects of reduced ice cover on Bowhead Whales in the western Arctic appear to be positive, due to increased feeding opportunities (George  et al . 2015, Moore 2016). However, the long-term effects are less clear. The emergence of Bowheads as a separate, ice-adapted species may have coincided with the appearance of sea ice in the late Pliocene, and Bowheads could lose out to non-ice-adapted species in the long term, but no projections of the time scale of such an eventuality are available (Harington 2008, IWC 2016).&#160;     There is also concern that, as the sea ice diminishes, the opening up of the Arctic to increased vessel traffic, fishing activities, and extractive industries will increase human-caused impacts on Bowhead Whales (Reeves  et al . 2012, 2014).&#160;  ",11.1,Balaena mysticetus,mammals
2477,threats," The main threat to Blue Whales in the past was direct exploitation, which only became possible on a regular basis in the modern era using deck-mounted harpoon cannons. Modern Blue Whale hunting started in the North Atlantic in 1868 and spread to other regions after the northeastern Atlantic population had been severely reduced, and whaling was temporarily banned in Norway from 1905 and in Iceland from 1915 (Tønnessen and Johnsen 1982). The Antarctic and North Atlantic populations were each probably depleted to the low hundreds by the time whaling ceased in the 1960-1970s, but have increased since. Blue Whales have been legally protected worldwide since 1966, although they continued to be caught illegally by former USSR fleets until 1972. The last recorded deliberate catches were off Spain in 1978 (Allison 2017).  Blue Whales in a calving ground off southern Sri Lanka appears to be especially subject to ship strikes, as indicated by both direct observations of strikes and strandings that exhibit blunt trauma (Ilangakoon 2012, de Vos  et al . 2016) and observations of living animals that appear to have injuries that prevent normal swimming (IWC 2018b). The large volume of ship traffic around the southern coast of Sri Lanka makes it one of the busiest ocean-going shipping lanes in the world, but Priyadasharnha  et al.  (2016)&#160;showed that the expected frequency of ship strikes on Blue Whales would be greatly reduced by moving the lanes slightly further offshore.  Nine deaths of Blue Whales plus some serious injuries were attributed to ship strikes on the west coast of North America during 2007-13 (Carretta  et al . 2017). Of 21 carcasses of Blue Whales found off California during 1988-2007, eight were found to have been killed by ship strike (Berman-Kowalewski  et al.  2010).&#160;This suggests that ship strikes represent a substantial addition to natural mortality (Rockwood  et al.  2017).&#160;Monnahan  et al . (2015), on the other hand, argued that ship strikes have only a small effect on this population.&#160;As of 2018 this issue had not been resolved.  Of the Blue Whales in the Gulf of Saint Lawrence photo-identification catalogue, 16% appear to have scars or wounds resulting from ship strikes (Sears and Calambokidis 2002).  McKenna  et al.  (2015) concluded from tracking data that Blue Whales do not demonstrate effective avoidance behaviour when ships are near.&#160;However, Priyardashana  et al.  (2016) showed, based on densities of whales and shipping, that the expected frequency of ship strikes off southern Sri Lanka would be an order of magnitude higher than current estimates if the Blue Whales took no evasive action.  Incidental catches of Blue Whales in fisheries appear to be rare. The only reported cases this century were one in the northeastern Pacific in 2015 and one in the Gulf of Saint Lawrence in 2002. Blue whales in cold waters often have marks or scars caused by contact with ice, which can make it harder to identify scars caused by contact with fishing gear.  The main food of Antarctic Blue Whales,  Euphausia superba  and  E. crystallorophias  ,  are predicted to decline during the 21 st  century due both to reduced ocean productivity associated with warming (Piñones and Fedorov 2016) and to increasing ocean acidity that limits their shell-building (Kawaguchi  et al.  2013).&#160; Comparable changes are likely in other oceans. ",11.1,Balaenoptera musculus,mammals
6204,threats,"By-catch of Hooded Seals in coastal net fisheries has been reported from the USA, from trawl fisheries off Norway and Newfoundland, and from salmon drift nets used off Greenland (Woodley and Lavigne 1991, Reeves    et al.    1992, Waring    et al.    2005). Competition for food with commercial fisheries and other predators has been suggested as a factor that may limit population growth or lead to declines of Hooded Seals (Reijnders    et al.    1993). This factor may be playing a role in the continuing decline of Hooded Seals in the Northeast Atlantic given that abundance of Redfish, which are favoured prey of Hooded Seals, has declined in the late 1990s in both the Barents and Norwegian Seas due to excessive fishing pressure. No targeted catch is allowed for some Redfish species in this region and juvenile fish are being protected to attempt to promote recovery (ICES 2013b).  Impacts of oil spills on Hooded Seals have not been reported; however as an ice breeding species, they might be at risk of mortality from spills during the pupping season when newborn and newly weaned pups could be fouled (St. Aubin 1990). Hooded Seals have been exposed to  Morbillivirus  (Duignan    et al.    1997), but are not known to have suffered fatalities during the mass die-offs of Harbour Seals in European waters from phocine distemper virus in 1998 and 2002. Subsequent testing revealed antibodies to the virus in 18-24% percent of the Hooded Seals sampled indicating exposure to the virus (Harkonen    et al.    2006). Hooded Seals in the northeast Atlantic have high organohalogen contaminant burdens that are thought to be impacting thyroid homeostasis (Villanger    et al.    2013).  The Hooded Seal is a pack ice species, and is dependent on ice as a substrate for pupping, moulting, and resting and as such is vulnerable to reduction in extent or timing of pack ice formation and retreat (Tynan and DeMaster 1997, Johnston    et al.    2005, Learmonth    et al.    2006, Kovacs and Lydersen 2008, Laidre    et al.    2008). The very short, intense breeding season of Hooded Seals that is timed right at the end of the sea ice season, has likely put them at heightened risk of impacts arising from changes in the duration of the sea ice season (Kovacs    et al.    2011b, 2012; Stenson and Hammill 2014). The Barents Sea region’s sea ice cover is declining at twice the rate of other arctic areas with a shortening of &gt;20 weeks having taken place in the last few decades (Laidre    et al.    2015), so it is not surprising that the West Ice stock is the first to be heavily impacted.  The productivity of the ice-edge ecosystem is also dependent on the dynamics and seasonality of arctic ice, and alterations to the cycle of formation and retreat of the ice could be having negative effects on important Hooded Seal prey. For example, Polar cod abundance has declined markedly in the last decade in the Barents Region within a broad, rapid “borealization” of the fish community in this sector of the Arctic (Fossheim    et al.    2015). Decreases in sea ice cover could also lead to more shipping and development of extraction based industries in the Arctic (gas, oil, mining, etc.) which in turn could negatively affect Hooded Seals through increased exposure to contaminants and pollution, increased disturbance, and increased risk of shipping accidents and spills (Pagnan 2000).  Predation by Polar Bears is thought to be an increasing issue of concern with respect to the West Ice stock’s conservation status. Polar Bear diets have shown an increase in Hooded Seal consumption by 9.5% per decade since the mid-1980s in East Greenland along with a concomitant decrease in the consumption of Ringed Seals (McKinney    et al.    2013). These changes are likely primarily due to changes in sea ice distribution and extent (but could also reflect a declining Ringed Seal population).",11.1,Cystophora cristata,mammals
8012,threats,"Global climate warming is currently causing major reductions in the extent and duration of sea ice cover in the Arctic, creating a threat to many species of ice-associated marine mammals. Pinnipeds such as the Bearded Seal that are dependent on sea ice for pupping, moulting, resting, and access to foraging areas, may be especially vulnerable to such changes (Laidre   et al.   2008, 2015; Cameron   et al.   2010; Kovacs 2011, 2012). Atlantic Bearded Seals are able to use glacier ice pieces that have calved into the sea as haul-out platforms, so tidal glacier fronts are very important to them in some areas (Lydersen   et al.   2014). Such areas may represent important breeding refugia in the future as sea ice continues to decline.  Increasing development and industrialization of the Arctic may threaten Bearded Seals in several ways. Oil spills from offshore extraction and transportation could negatively affect them through direct contact with oil, but likely more importantly cause damage to foraging areas and stocks of benthic invertebrate prey. An increase in human-caused noise in the arctic environment could also negatively impact Bearded Seals, which communicate over distances of many kilometers during the breeding season. Increased shipping will pose a greater threat of marine accidents and disturbance of marine mammals (Pagnan 2000).",11.1,Erignathus barbatus ssp. barbatus,mammals
8013,threats,"Pacific Bearded Seals continue to be hunted by indigenous peoples of the Arctic with no evidence of an impact on their population. Reports from Alaska Native subsistence hunters do not give any indication that their numbers have declined (Quakenbush  et al . 2011).  Global climate warming is currently causing major reductions in the extent and duration of sea ice cover in the Arctic, creating a threat to many species of ice-associated marine mammals (Laidre  et al.  2015). Pinnipeds such as the Bearded Seal that are dependent on sea ice for pupping, moulting, resting and access to foraging areas, may be especially vulnerable to such changes (Tynan and DeMaster 1997, Laidre  et al . 2008). Cameron  et al.  (2010) concluded that climate warming and sea ice loss constitute the highest threat to the persistence of Pacific Bearded Seals. Impacts are likely to be more severe in the Okhotsk Sea than elsewhere in the North Pacific region; this sea is likely to become completely ice-free during the pupping and moulting periods.&#160;Within the USA there are currently no legal mechanisms to regulate discharge of greenhouse gas emissions, the primary cause of climate warming and sea ice loss (Cameron  et al.  2010).  Increasing development and industrialization of the Arctic may threaten Bearded Seals in several ways. Oil spills from offshore extraction and transportation could negatively affect them through direct contact with oil and damage to foraging areas and stocks of prey, particularly benthic invertebrates, which are vulnerable to oil contamination. An increase in human-created noise in the Arctic environment could cause marine mammals, including Bearded Seals that are very vocal during their breeding season, to abandon areas of habitat they otherwise might use. Increased shipping will pose a greater threat of marine accidents and disturbance of marine mammals. Cameron  et al.  (2010) concluded that these factors could constitute low-moderate threats to Bearded Seals.  Quakenbush  et al . (2011) analysed life history data on Bearded Seals collected in the Bering Sea in the 1960s, 1970s and 2000s. While they found that parameters such as growth rates, body condition and pregnancy rate sometimes varied among time periods, there was no indication that the current population is showing signs of stress.",11.1,Erignathus barbatus ssp. nauticus,mammals
8239,threats," The greatest threat to Loughlin’s Steller Sea Lions has been intentional culling in Southeast Alaska and Canada in the 1950s and 1960s. Those practices were discontinued in the early 1970s and the population has been increasing ever since. Some are killed in net fisheries off the west coast of North America. An unknown number may be shot during commercial fishing operations although it is generally believed that this source of mortality has been reduced greatly since the establishment of federal laws prohibiting killing of Sea Lions in Canada and the USA (NMFS 2013). The 2008 Steller Sea Lion Recovery Plan found that there were no apparent threats limiting the recovery of the Loughlin’s Steller Sea Lion population (NMFS 2008), and the increasing population trend confirms that conclusion.    The reasons for the large declines in Western Steller Sea Lion are unclear, but they have been the subject of intensive and ongoing investigations. Deliberate killing by fishermen, disease, incidental take by fisheries, and reduced food supply have been suggested as factors that may have contributed to the decline (Lowry  et al . 1989, Loughlin and York 2000). In the 2008 Recovery Plan, the Steller Sea Lion Recovery Team identified and ranked threats to recovery using a weight of evidence approach to assess their relative impact (NMFS 2008). They recognized three threats as “potentially high”: environmental variability, competition with commercial fisheries, and Killer Whale predation. The fact that this subspecies has been increasing since 2000 indicates that at least some of the threats previously affecting the population have been reduced. ",11.1,Eumetopias jubatus,mammals
9660,threats,"Grey Seals have been important in subsistence harvests in coastal areas within their range throughout history. They have been hunted in the Baltic Sea for more than 10,000 years (Härkönen   et al.   2005). Commercial harvesting has been ongoing in many areas for hundreds of years, and at times Grey Seals have been important to local economies (Mansfield 1988). Over-harvesting in the Baltic in the early 20th century led to a large decline; this population once numbered somewhere between 80,000 and 100,000, but was reduced to about 20,000 in the 1940s. A further decline to 1,500-2,000 seals was caused by high loads of PCB (Harding and Härkönen 1999).  Government culls, bounties and licensed kills for protection of fishing gear have been put into effect in many countries and continue to be used to control Grey Seal numbers and reduce their impact on commercially important coastal fisheries (i.e., salmonid fisheries). Grey Seals feed on a number of commercial species, and by damaging nets and traps they are in direct conflict with fisheries. They also are vectors for parasites that can have an impact on the economics of some fisheries (ICES 2005).  Entanglement in commercial fishing nets causes by-catch mortality in most parts of the Grey Seals’ range (Woodley and Lavigne 1991). By-catch levels are approximately 300 per year in Swedish fisheries in the Baltic (ICES 2005). A Norwegian study from 1975-1998 reported the death of 259 seals, primarily juveniles less than a year old, which represented 7% of the tagged animals in the region (Bjørge   et al.   2002). Among 528 deaths of tagged seals in the UK, 148 were attributable to fishing nets. However, this may overestimate the rate of entanglement-related mortality due to the high rate of tag returns from fisheries. Woodley and Lavigne (1991) suggested that 1-2% of animals less than a year old die in fishing gear. More recent photographic analysis of Grey Seals at haulout sites on Cape Cod, Massachusetts revealed 5-8% of Seals exhibited signs of entanglement (Sette   et al.   2009). Finally, in the US commercial fisheries there was an average annual mortality of 853 Grey Seals reported for the period 2006-2010 (Waring   et al.   2013). For the period 2008-2012, the total estimated human caused mortality (and serious injury to) Grey Seals was 4,533 per year of which about 1,000 were taken in US observed fisheries, about 400 in the Canadian hunt, 90 taken by the Department of Fisheries and Oceans Canada (DFO) in scientific collections, and about 3,000 were killings of nuisance animals in Canada (DFO 2011).  Grey Seals are known carriers of phocine distemper virus (PDV), in all populations (Ross   et al.   1992, Duignan   et al.   1995, Härkönen   et al.   2006). However, they have suffered almost no mortality from the disease, in marked contrast to Harbour Seals. Härkönen   et al.   (2006) report Grey Seal mortality of approximately 230 (equal to 1% of the Harbour Seal mortality) in the 1988 epizootic in Europe and the death of 30 Grey Seal pups in the Baltic were attributed to PDV. Because Grey Seals haulout with Harbour Seals in the Wadden Sea and are known to travel more widely than the more sedentary Harbour Seal, it is presumed that they had a role in the outbreak and spread of the 2002 epizootic of PDV in Harbour Seals (Härkönen   et al.   2006).  Grey Seals are exposed to agricultural pollutants through the food chain in their coastal ranges. PCBs and DDT contaminant loads are extremely high in Baltic Grey Seals, despite the fact that tissue burdens have declined since the 1970s. Analysis of samples collected from 1996 to 1998 indicated that Grey Seals still have a very heavy load of contaminants when compared to other Seals outside the Baltic (ICES 2005).  Health effects on Grey Seals have been suggested to be linked to their high exposures to PCBs and DDT. Baltic Grey Seals have a relatively high rate of colonic ulcers associated with hookworm infestations, which are sometimes fatal. This condition is not found elsewhere (ICES 2005). Uterine stenosis and a host of other pathologies in other organs have been attributed to long-term exposure to environmental toxics, particularly in older Baltic Grey Seals. These are specifically linked to reproductive and population declines for this subspecies and are conditions not seen in other populations (Bergman   et al.   2001). However, no negative effects have been attributed to heavy metal contaminants in Baltic Grey Seals (Bergman   et al.   2001, ICES 2005).  Grey Seals live close to human population centres and shipping lanes and spend much of their time in the vicinity of favourite haulout locations. Spilled oil from vessel accidents and other sources have fouled Grey Seal sites since at least the 1940s (St. Aubin 1990). Despite numerous records of oiled animals and occasional reports of dead animals coated in oil, or animals having ingested oil, it has not been determined whether those mortalities are attributable to contact with oil (St. Aubin 1990).",11.1,Halichoerus grypus,mammals
13653,threats,"The Mediterranean Monk Seal is one of the most endangered pinniped species, and one of the most endangered Evolutionarily Distinct and Globally Endangered (EDGE) mammals on Earth (Isaac  et al . 2007,  EDGE  web site).  Mediterranean Monk Seals have a long history of interaction with humans that includes exploitation for subsistence needs, commercial harvest, and persecution as a competitor for fisheries resources or because it produced actual and perceived damage to fishing gear (Johnson and Lavigne 1999b, Stringer  et al . 2008). Once abundant, Monk Seals were written about and illustrated in the literature and depictions of classical antiquity (Johnson 2004). Along the coast of northwest Africa, they became the target of a commercial harvest for skins and oil by the Portuguese as early as the 15th century (Isräels 1992).  Reasons for population decline declines in the 20th century include: increased human pressure displacing seals from their habitat; destruction/alteration of suitable habitat; continued mortality due to deliberate aggression by fishermen to eliminate a competitor, even in countries and areas where the species is legally protected; fisheries by-catch; and a mass die-off at the Cabo Blanco Monk Seal colony.  Habitat deterioration, destruction, and fragmentation have played a significant role in the plight of the Mediterranean Monk Seal. Once an open beach dweller, the species has been persecuted by humans for centuries and forced to occupy increasingly marginal habitat. The gradual process from occupying open beaches to being displaced and forced into increasingly marginal habitat (i.e., smaller and more unsuitable marine caves) has been thoroughly documented (Johnson and Lavigne 1999a). This threat is still in place today, particularly in the eastern Mediterranean (MOm 2007, Notarbartolo di Sciara  et al . 2009, Kiraç  et al . 2013). An alarming decline in pupping success has been recorded in the most important pupping location of the species in southern Turkey (where up to seven pup births have been recorded) due to increased human activity (i.e., industrial development, including the construction of a thermal and nuclear power plant and a marine terminal). Critical Monk Seal habitat has been affected by increased tourism activities throughout Turkey, even in protected areas such as the Olympos Beydagları National Park, and the Kas, Kekova Specially Protected Area. Tourists and scuba divers in these areas appear to frequently visit Monk Seal shelters. Although some resting activity of Mediterranean Monk Seals continues, no pupping activity has been recorded in these caves (Gücü  et al . 2009). With human populations and coastal activities increasing around the Mediterranean, so do potential threats to the species habitat.  Interactions with fisheries are of great conservation concern, throughout the species range (Güçlüsoy and Savas 2003, Güçlüsoy 2008, Karamanlidis  et al . 2008, Hale  et al . 2011, González and Fernandez de Larrinoa 2013). Deliberate killing of Monk Seals mainly by fishermen was responsible for one-third of all mortalities of 79 stranded animals in Greece (1991-1995) and is considered the single most important source of mortality for this species in the eastern Mediterranean (Androukaki  et al . 1999). Deliberate killing, hunting, and capturing live animals for exhibition purposes were the main cause for the population reduction of the species in Turkey until 1980 (Kiraç  et al . 2013).  Mediterranean Monk Seals have been entangled in a wide variety of fishing gear including set-nets, trawl nets, and long-lines (Johnson and Karamanlidis 2000) and entanglement remains a major source of mortality in the eastern Mediterranean Sea, especially for sub-adult animals (Karamanlidis  et al . 2008, Kiraç  et al . 2013). Adverse fishing interactions are also considered as one of the probable causes for the lack of recovery of the Cabo Blanco population after commercial sealing ended in the region. Currently, illegal industrial and artisanal fishing is one of the main threats to the survival of the colony, mainly for sub-adult seals (González and Fernandez de Larrinoa 2013). In comparison, the effect of negative seal-fisheries interactions in the archipelago of Madeira is considered to be lower. Traps, purse seines, and illegally used gill nets are the main fishing gear posing a threat to the species in the region (Hale  et al . 2011). However, concurrent with the recent expansion of the species’ range to the island of Madeira, signs of animosity towards the species by fishermen have been recorded, that potentially could pose a future threat (R. Pires pers. comm).  A  Morbillivirus  was isolated from Mediterranean Monk Seals after the mass mortality at Cabo Blanco in 1997. The virus most closely resembled a Dolphin  Morbillivirus  that was previously implicated in the 1991 mass mortality of Striped Dolphins in the Mediterranean Sea (Osterhaus  et al . 1992, van de Bildt  et al . 1999). However, although this virus was already circulating in Monk Seals prior to the mass mortality, there is some doubt as to whether it was responsible for the deaths that occurred. Indeed, the active virus was found in pups that went into a rehabilitation center because their mothers had died, and none of them showed clinical signs and all survived the event without specific treatment. Dinoflagellate-produced saxitoxins were found in tissues from animals that died during the die-off and the suddenness of death of the animals and the general clinical symptoms suggest that the cause of death was from the toxins rather than a  Morbillivirus  epidemic (Hernandez  et al . 1998). Toxic algal blooms (red tides) are favored by oceanographic conditions near Cabo Blanco and were reported from nearby Morocco during a 25-year period leading up to the mass mortality. Toxic algal blooms are unpredictable and following the catastrophic loss of Monk Seals in 1997 must be considered a serious threat to the species in the region (Reyero  et al . 2000, UNEP 2005).  Potentially, limited availability of food sources, genetic inbreeding, and pollution could constitute a threat to the survival of the species. Currently, not enough information is available to fully evaluate the magnitude of these threats, however there is no indication that they are significantly affecting the population at present.  In southern Turkey an important monk seal colony almost disappeared in the 1990s, when industrial-scale fishing in the area reduced the available fish sources and negative interactions of artisanal fishermen with monk seals (i.e., deliberate killings) increased. However, a series of regulations enforced to protect fish sources alleviated the problems and helped the local monk seal population to resume pupping in the area (Gücü  et al . 2004).  Genetic analyses of mitochondrial and nuclear DNA (Pastor  et al . 2004, Pastor  et al . 2007, Karamanlidis  et al . 2014a) have shown that, as a consequence of severe population bottlenecks and population/habitat fragmentation, all sub-populations have suffered a dramatic decrease in genetic variability over the last few centuries. The genetic diversity of Mediterranean Monk Seals is among the lowest found in pinnipeds; it is comparable to Hawaiian Monk Seals and Northern Elephant Seals. The potential consequences of the loss of genetic variability and genetic inbreeding are still hard to evaluate for the Mediterranean Monk Seal, however potential consequences of genetic inbreeding include congenital defects leading to stillborn pups, something that has been recorded in several small Monk Seal populations (Bareham and Furreddu 1975, Pastor  et al . 2004, MOm, unpublished data). Additionally, low fitness and increased susceptibility to disease may be an effect of genetic erosion that can compromise a population and lead to extinction.  Contaminant burdens have always been suspected to be a threat to the Mediterranean Monk Seal and thus monitoring pollutants has been considered a high priority (Boulva 1979, Reijnders  et al . 1993). However, information is only available on organochlorine pollutants, which were analysed in the blubber of individuals collected during the 1990s from the Cabo Blanco and the Greek subpopulations. Residue levels were found to be very low in the former subpopulation and moderate to high in the latter (Yediler  et al . 1993; Borrell  et al . 1997, 2007); currently, efforts are underway to more fully evaluate the effects of pollution on the Mediterranean Monk Seal through the analysis of more recent samples from the eastern Mediterranean (Marsili  et al . 2014, Zaccaroni  et al . 2014).  Mediterranean Monk Seals are at an unknown, but suspected high, level of risk from oil tanker and other ship accidents, spills, and groundings. This results from increased tanker traffic in the area, and a greater chance for accidents, disturbance, and collisions near important habitat. Four accidents or spills have occurred near Monk Seal habitat in the recent past, including a supertanker that spilled oil off Morocco in 1989 (Isräels 1992), an oil spill in the Madeira Islands in 1990 (UNEP 2005), and the grounding of a bulk carrier near Cabo Blanco in 2003 (UNEP 2005). None of these spills or accidents had any known impacts on Monk Seals, but they highlight the threat of significant impacts from a major maritime accident near an important Monk Seal site (UNEP 2005). In contrast, a ship accident that occurred at Çavuş Island near Bodrum in southwest Turkey in 1996 directly affected Monk Seals and their habitat (Kiraç 1998). A clean-up operation lasting until 1997 effectively restored the habitat to its original quality. In response to this accident regulatory measures have been taken in Turkey to reduce the threat from oil spills (Kiraç and Guclusoy 2007).  More recently, the arrival of Lessepsian fishes in the eastern Mediterranean Sea, such as the toxic Pufferfish ( Lagocephalus sceleratus ), could have a negative impact on Monk Seals in the region. The Pufferfish has been implicated in the death of a Monk Seal at Cyprus (A. Gücü pers. comm). Additional risks to Mediterranean Monk Seals come from political instability in some parts of their range, the challenge of implementing effective conservation for a species in a complex multi-national environment, weak enforcement of agreements and international laws, collapse of occupied pupping caves, and reduction of the carrying capacity of the environment as a consequence of fishing overexploitation (Aguilar 1999).",11.1,Monachus monachus,mammals
13654,threats,"Recovery of Hawaiian Monk Seals has been affected to an unknown degree by disturbance from military activities in the NWHI including the alteration, development, and occupation of bases on several key islands that started before World War II (Ragen and Lavigne 1999). However, the military no longer has bases in the area and the vast majority of Monk Seals live where they are isolated from most direct human contact. The only permanent structures remaining in the NWHI are US Fish and Wildlife Service facilities at Tern Island and Midway Atoll, and remnants of former Coast Guard facilities at Kure Atoll. Degradation of these structures, particularly at Tern Island, poses a significant entrapment hazard for Monk Seals. There are also concerns about legacy chemicals and contaminants that were left behind.  Current threats to Monk Seals are thoroughly reviewed and analysed in National Marine Fisheries Service (2007). The most crucial threats in the NWHI at this time are: 1) food limitation that could be due to changes in oceanographic conditions, legacy impacts of fisheries, or competition with other predators; 2) entanglement in marine debris, largely fragments of net and line discarded by North Pacific fisheries; 3) predation by sharks, especially on pre-weaned and recently weaned pups; and 4) intraspecific aggression by sub-dominant males. An emerging threat in this region may be the loss of terrestrial habitat due to sea level increases resulting from global warming (Baker et al. 2006). The situation in the MHI is different, with the main threats there being: 1) interactions with commercial and non-commercial fishing gear especially hookings and entanglements in gillnets; 2) possible transmission of diseases from feral animals, domestic pets, and livestock to seals; and 3) intentional killing and harassment.",11.1,Neomonachus schauinslandi,mammals
