iucn_sid,dimension,text,codes,sciname,taxon
907,threats,Overfishing is the major current threat to the species. It is caught both at sea and in the lower courses of rivers during the migration. Dam construction in the Black Sea basin (over 10 years ago) has led to the loss of large areas of spawning grounds.,5.4.2,Alosa immaculata,clupeiformes
2763,threats,"Baird’s beaked whales are one of the few species of ziphiids to be commercially hunted (Kasuya 2002; Kasuya and Ohsumi 1984). Small numbers have been hunted by the Soviets, Canadians and Americans, whereas hunts by Japan have been major. The Japanese fishery started in the early 1600s and underwent several expansions and declines. At its peak, after World War II, over 300 whales were killed annually. Now the industry operates with a quota of 8 for the Sea of Japan, 2 for the southern Okhotsk Sea and 52 for the Pacific coasts (Kasuya 2002).   Incidental catches have been recorded, but are generally not common. Some Baird's beaked whales have been caught in Japanese salmon driftnets (Reeves and Mitchell 1993).   This species, like other beaked whales, is likely to be vulnerable to loud anthropogenic sounds, such as those generated by navy sonar and seismic exploration (Cox  et al . 2006)   Predicted impacts of global climate change on the marine environment may affect this species of whale, given its cool-temperate to sub-polar habitat, although the nature of likely impacts is unclear (Learmonth  et al . 2006).",5.4.2,Berardius bairdii,mammals
8239,threats," The greatest threat to Loughlin’s Steller Sea Lions has been intentional culling in Southeast Alaska and Canada in the 1950s and 1960s. Those practices were discontinued in the early 1970s and the population has been increasing ever since. Some are killed in net fisheries off the west coast of North America. An unknown number may be shot during commercial fishing operations although it is generally believed that this source of mortality has been reduced greatly since the establishment of federal laws prohibiting killing of Sea Lions in Canada and the USA (NMFS 2013). The 2008 Steller Sea Lion Recovery Plan found that there were no apparent threats limiting the recovery of the Loughlin’s Steller Sea Lion population (NMFS 2008), and the increasing population trend confirms that conclusion.    The reasons for the large declines in Western Steller Sea Lion are unclear, but they have been the subject of intensive and ongoing investigations. Deliberate killing by fishermen, disease, incidental take by fisheries, and reduced food supply have been suggested as factors that may have contributed to the decline (Lowry  et al . 1989, Loughlin and York 2000). In the 2008 Recovery Plan, the Steller Sea Lion Recovery Team identified and ranked threats to recovery using a weight of evidence approach to assess their relative impact (NMFS 2008). They recognized three threats as “potentially high”: environmental variability, competition with commercial fisheries, and Killer Whale predation. The fact that this subspecies has been increasing since 2000 indicates that at least some of the threats previously affecting the population have been reduced. ",5.4.4,Eumetopias jubatus,mammals
10340,threats,"There are currently no major threats from human activity within the species’ normal range.&#160;  Learmonth  et al . (2006) list the effects of global climate change on Leopard Seals as unknown. However, loss of sufficient areas of pack ice habitat suitable for pupping, resting and avoidance of predators, and availability of preferred prey such as Penguins, other Seals, Krill and fish that might all possibly decline, could effect Leopard Seals directly or indirectly to an unknown degree. The effects of loss of large amounts of ice on the Antarctic continent, general climate warming, or sea level rises, on Antarctic ocean circulation and productivity and on Antarctic marine resources such as Seals are unknown.&#160;Siniff  et al . (2008) suggested that similar to Crabeater Seals, Leopard Seals would be less affected by changes in sea ice than Ross or Weddell Seals.   Two species of Antarctic ice seals, Leopard and Crabeater, have tested positive for antibodies to canine distemper virus (CDV). The effects of an outbreak of this or other diseases on Leopard Seals either as a disease within this species, or repeatedly transmitted to it from an outbreak in a prey species such as the Crabeater Seal, are unknown. Leopard Seals are generally solitary except when females attend their pup or when pairs mate, so transmission of disease within the species would likely be slow or only seasonally significant. CDV is believed to have arrived in the Antarctic with sled dogs before the advent of vaccines. A mass mortality of Crabeater Seals occurred in 1955, with many animals displaying viral illness symptoms prior to death, but the exact cause of death is unknown (Bengtson and Boveng 1991).  Seasonal tourism in the Antarctic and Sub-Antarctic has increased steadily in the last 30 plus years, and is currently at all-time high levels. The effects of increased vessel noise, disturbance from vessels passage, and close approaches by people in small boats and on land on Leopard Seal behaviour, distribution and foraging are unknown. There is also a risk of injury to a small number of animals from collision with boats or crushing from large vessels passing through ice fields.  There are no reports of significant fisheries interactions. Commercial harvest of Krill may pose direct or indirect threats to Leopard Seals, if conducted on a large scale.",5.4.4,Hydrurga leptonyx,mammals
12305,threats,"The Southern River Otter habitat is very sensitive to anthropogenic impacts (Medina-Vogel  et al . 2003,&#160;Sepúlveda  et al . 2009,&#160;Valenzuela  et al . 2013). In those subpopulations inhabiting freshwater environments the high demand for water by human activities such agriculture, human use, etc. is altering watercourses through canalization and drainage and loss of riparian vegetation. These activities are promoted to increase the amount of agricultural lands but are impacting those otter subpopulations distributed in lowlands, particularly in the Central Valley and the Coastal Range of Chile (Medina-Vogel&#160; et al .&#160;2003,&#160;Sepúlveda&#160; et al .&#160;2009). In the case of Andean lakes, where the species occurred historically, the high level of urbanization and tourism has been proposed as the main causes responsible for the local extinction of the species in those areas (Medina 1996). Other threats are poaching (Medina 1996,&#160;Espinosa 2012), predation by free-ranging domestic dogs (Espinosa 2012) and transmission of diseases such as Canine Distemper Virus (CDV) (Sepúlveda  et al . 2014). Free-ranging dogs are an important threat to carnivores because of predation and disease transmission (Vanak and Gompper 2009), and are present in rural and protected areas where the Southern River Otter occurs (Sepúlveda&#160; et al .&#160;2014). Implementing dog population control measures as well as vaccination programmes are an important measure to mitigate the impact of dogs on this species (Sepúlveda&#160; et al .&#160;2014). In several parts of the otter's distribution range, hydroelectric dams are installed or are planned to be built in the near future but no research on the potential impact of these on the otters has been conducted so far. The presence of wild exotic salmon and the salmon farming industry are suggested as a potential threat to otter prey leading to potential competition between otters and salmon (Medina 1996,&#160;Aued  et al . 2003,&#160;Cassini  et al . 2009) but no studies have confirmed this as yet. In relation to the invasive American Mink ( Neovison vison ), although several studies have investigated competition between these mustelids and river otters (Medina 1997,&#160;Aued  et al . 2003,&#160;Fasola  et al . 2009,&#160;Valenzuela  et al .&#160;2013), there is no clear evidence of a negative effect of the mink on the otter. Indeed, current studies in the marine part of the range suggest a negative effect of otters over minks by habitat (Valenzuela  et al . 2013) and temporal segregation (Medina‐Vogel  et al . 2013). The invasive mink is a potential vector of CDV to otters given their behavioural similarities and sharing of latrines (Sepúlveda  et al . 2014).",5.4.4,Lontra provocax,mammals
39324,threats,"This shark's flesh is of good quality and it is also taken in some areas for its hide and liver oil. Intensive commercial and sports fisheries in San Francisco Bay targeting it for its fine meat caused a marked local decline in numbers during the early 1980s. It is utilised in China for its skin and liver. Pollution may be a possible threat to inshore bays which are nurseries.  Although wide ranging in temperate waters and moderately common where not heavily exploited (e.g., southern Africa), this large shark has a limited inshore bathymetric range in heavily fished temperate waters and is often concentrated in shallow bays. This exposes it to intensive inshore bycatch and sometimes targeted commercial, sports and semi-commercial fisheries over most of its range, particularly off China, California, Argentina, Namibia and South Africa (Compagno in prep. a). Catch statistics are not reported, except for the west coast of the USA, which show a peak in landings of 1.55 t in 1981 with a sharp decline to less than 0.1 t in 1986 (Compagno in prep. a).","5.4.2, 5.4.4",Notorynchus cepedianus,sharks_and_rays
39365,threats,"This shark shows high site fidelity and some local populations have been severely depleted by modest fishing pressure, as has been shown off Hawaii (Wetherbee  et al.  1997). Very marked declines of sharks, including Grey Reef Sharks, have been reported in the Chagos Archipelago (Indian Ocean) between the 1970s and 1996. Shark numbers here were reduced to only 14% of the numbers found in the 1970s (Anderson  et al.  1998). The quality of its coral reef habitat is threatened in many parts of the world.",5.4.4,Carcharhinus amblyrhynchos,sharks_and_rays
39367,threats,"This rare shark is (or was) found in areas that have been and are being heavily exploited by artisanal and commercial fisheries. These are likely to have detrimentally affected the population of this species, which has not been recorded since 1937.",5.4.4,Carcharhinus borneensis,sharks_and_rays
39369,threats,"This apparently rare shark occurs (or occurred) in inshore localities and habitats subject to large, expanding, and unregulated artisanal and commercial fisheries. If still extant, it is probably caught and utilized as bycatch of other fisheries, although market surveys have failed to locate it. Its populations are thought to have been severely depleted as a result of this exploitation.",5.4.4,Carcharhinus hemiodon,sharks_and_rays
39383,threats,"The abundance of this species in inshore waters makes it a major component of a variety of fisheries in Southeast Asia. For example, Kasim (1991) reported that the annual recorded catch of Spadenose Shark in the Verval coast, India from 1979-1981 averaged 823 t. This was taken mostly by trawl and gillnet fishing. Parry-Jones (1996) reported that the Spadenose Shark was the most commonly observed coastal species in Chinese market surveys. Unfortunately, there are no data available on the overall catch of this species, or the impact of fishing on stocks.  The occurrence of this species in estuarine and inshore areas may also make this species susceptible to the impacts of habitat degradation and modification. However, there are no data available on this subject.",5.4.4,Scoliodon laticaudus,sharks_and_rays
